-0.28 -0.46 -0.12 0.06 
0.47 0.47 -0.21 -0.10 
0.22 -0.43 
0.45 0.27 
0.21 -0.16 
0.29 0.13 0.31 0.06 -0.41 

##################LEARN##################
Epoca 1 | ACIERTOS = 40 27%
Epoca 1 | FALLOS = 110 73%
Epoca 2 | ACIERTOS = 43 29%
Epoca 2 | FALLOS = 107 71%
Epoca 3 | ACIERTOS = 44 29%
Epoca 3 | FALLOS = 106 71%
Epoca 4 | ACIERTOS = 43 29%
Epoca 4 | FALLOS = 107 71%
Epoca 5 | ACIERTOS = 40 27%
Epoca 5 | FALLOS = 110 73%
Epoca 6 | ACIERTOS = 45 30%
Epoca 6 | FALLOS = 105 70%
Epoca 7 | ACIERTOS = 43 29%
Epoca 7 | FALLOS = 107 71%
Epoca 8 | ACIERTOS = 43 29%
Epoca 8 | FALLOS = 107 71%
Epoca 9 | ACIERTOS = 43 29%
Epoca 9 | FALLOS = 107 71%
Epoca 10 | ACIERTOS = 43 29%
Epoca 10 | FALLOS = 107 71%
Epoca 11 | ACIERTOS = 43 29%
Epoca 11 | FALLOS = 107 71%
Epoca 12 | ACIERTOS = 43 29%
Epoca 12 | FALLOS = 107 71%
Epoca 13 | ACIERTOS = 43 29%
Epoca 13 | FALLOS = 107 71%
Epoca 14 | ACIERTOS = 43 29%
Epoca 14 | FALLOS = 107 71%
Epoca 15 | ACIERTOS = 43 29%
Epoca 15 | FALLOS = 107 71%
Epoca 16 | ACIERTOS = 43 29%
Epoca 16 | FALLOS = 107 71%
Epoca 17 | ACIERTOS = 43 29%
Epoca 17 | FALLOS = 107 71%
Epoca 18 | ACIERTOS = 43 29%
Epoca 18 | FALLOS = 107 71%
Epoca 19 | ACIERTOS = 43 29%
Epoca 19 | FALLOS = 107 71%
Epoca 20 | ACIERTOS = 43 29%
Epoca 20 | FALLOS = 107 71%
Epoca 21 | ACIERTOS = 43 29%
Epoca 21 | FALLOS = 107 71%
Epoca 22 | ACIERTOS = 43 29%
Epoca 22 | FALLOS = 107 71%
Epoca 23 | ACIERTOS = 43 29%
Epoca 23 | FALLOS = 107 71%
Epoca 24 | ACIERTOS = 43 29%
Epoca 24 | FALLOS = 107 71%
Epoca 25 | ACIERTOS = 43 29%
Epoca 25 | FALLOS = 107 71%
Epoca 26 | ACIERTOS = 43 29%
Epoca 26 | FALLOS = 107 71%
Epoca 27 | ACIERTOS = 43 29%
Epoca 27 | FALLOS = 107 71%
Epoca 28 | ACIERTOS = 43 29%
Epoca 28 | FALLOS = 107 71%
Epoca 29 | ACIERTOS = 43 29%
Epoca 29 | FALLOS = 107 71%
Epoca 30 | ACIERTOS = 43 29%
Epoca 30 | FALLOS = 107 71%
Epoca 31 | ACIERTOS = 43 29%
Epoca 31 | FALLOS = 107 71%
Epoca 32 | ACIERTOS = 43 29%
Epoca 32 | FALLOS = 107 71%
Epoca 33 | ACIERTOS = 43 29%
Epoca 33 | FALLOS = 107 71%
Epoca 34 | ACIERTOS = 43 29%
Epoca 34 | FALLOS = 107 71%
Epoca 35 | ACIERTOS = 42 28%
Epoca 35 | FALLOS = 108 72%
Epoca 36 | ACIERTOS = 43 29%
Epoca 36 | FALLOS = 107 71%
Epoca 37 | ACIERTOS = 43 29%
