0.01 -0.11 0.22 0.04 
0.32 0.18 -0.12 0.17 
0.03 -0.40 
0.47 0.18 
-0.03 0.30 
0.30 0.34 0.48 -0.14 -0.00 

##################LEARN##################
Epoca 1 | ACIERTOS = 57 38%
Epoca 1 | FALLOS = 93 62%
Epoca 2 | ACIERTOS = 56 37%
Epoca 2 | FALLOS = 94 63%
Epoca 3 | ACIERTOS = 56 37%
Epoca 3 | FALLOS = 94 63%
Epoca 4 | ACIERTOS = 56 37%
Epoca 4 | FALLOS = 94 63%
Epoca 5 | ACIERTOS = 56 37%
Epoca 5 | FALLOS = 94 63%
Epoca 6 | ACIERTOS = 56 37%
Epoca 6 | FALLOS = 94 63%
Epoca 7 | ACIERTOS = 56 37%
Epoca 7 | FALLOS = 94 63%
Epoca 8 | ACIERTOS = 56 37%
Epoca 8 | FALLOS = 94 63%
Epoca 9 | ACIERTOS = 56 37%
Epoca 9 | FALLOS = 94 63%
Epoca 10 | ACIERTOS = 56 37%
Epoca 10 | FALLOS = 94 63%
Epoca 11 | ACIERTOS = 56 37%
Epoca 11 | FALLOS = 94 63%
Epoca 12 | ACIERTOS = 56 37%
Epoca 12 | FALLOS = 94 63%
Epoca 13 | ACIERTOS = 56 37%
Epoca 13 | FALLOS = 94 63%
Epoca 14 | ACIERTOS = 56 37%
Epoca 14 | FALLOS = 94 63%
Epoca 15 | ACIERTOS = 56 37%
Epoca 15 | FALLOS = 94 63%
Epoca 16 | ACIERTOS = 56 37%
Epoca 16 | FALLOS = 94 63%
Epoca 17 | ACIERTOS = 56 37%
Epoca 17 | FALLOS = 94 63%
Epoca 18 | ACIERTOS = 56 37%
Epoca 18 | FALLOS = 94 63%
Epoca 19 | ACIERTOS = 56 37%
Epoca 19 | FALLOS = 94 63%
Epoca 20 | ACIERTOS = 56 37%
Epoca 20 | FALLOS = 94 63%
Epoca 21 | ACIERTOS = 56 37%
Epoca 21 | FALLOS = 94 63%
Epoca 22 | ACIERTOS = 56 37%
Epoca 22 | FALLOS = 94 63%
Epoca 23 | ACIERTOS = 56 37%
Epoca 23 | FALLOS = 94 63%
Epoca 24 | ACIERTOS = 56 37%
Epoca 24 | FALLOS = 94 63%
Epoca 25 | ACIERTOS = 56 37%
Epoca 25 | FALLOS = 94 63%
Epoca 26 | ACIERTOS = 56 37%
Epoca 26 | FALLOS = 94 63%
Epoca 27 | ACIERTOS = 56 37%
Epoca 27 | FALLOS = 94 63%
Epoca 28 | ACIERTOS = 56 37%
Epoca 28 | FALLOS = 94 63%
Epoca 29 | ACIERTOS = 56 37%
Epoca 29 | FALLOS = 94 63%
Epoca 30 | ACIERTOS = 56 37%
Epoca 30 | FALLOS = 94 63%
Epoca 31 | ACIERTOS = 56 37%
Epoca 31 | FALLOS = 94 63%
Epoca 32 | ACIERTOS = 56 37%
Epoca 32 | FALLOS = 94 63%
Epoca 33 | ACIERTOS = 56 37%
Epoca 33 | FALLOS = 94 63%
Epoca 34 | ACIERTOS = 56 37%
Epoca 34 | FALLOS = 94 63%
Epoca 35 | ACIERTOS = 56 37%
Epoca 35 | FALLOS = 94 63%
Epoca 36 | ACIERTOS = 56 37%
Epoca 36 | FALLOS = 94 63%
Epoca 37 | ACIERTOS = 56 37%
Epoca 37 | FALLOS = 94 63%
Epoca 38 | ACIERTOS = 56 37%
Epoca 38 | FALLOS = 94 63%
Epoca 39 | ACIERTOS = 56 37%
Epoca 39 | FALLOS = 94 63%
Epoca 40 | ACIERTOS = 56 37%
Epoca 40 | FALLOS = 94 63%
Epoca 41 | ACIERTOS = 56 37%
Epoca 41 | FALLOS = 94 63%
Epoca 42 | ACIERTOS = 56 37%
Epoca 42 | FALLOS = 94 63%
Epoca 43 | ACIERTOS = 56 37%
Epoca 43 | FALLOS = 94 63%
Epoca 44 | ACIERTOS = 56 37%
Epoca 44 | FALLOS = 94 63%
Epoca 45 | ACIERTOS = 56 37%
Epoca 45 | FALLOS = 94 63%
Epoca 46 | ACIERTOS = 56 37%
Epoca 46 | FALLOS = 94 63%
Epoca 47 | ACIERTOS = 56 37%
Epoca 47 | FALLOS = 94 63%
Epoca 48 | ACIERTOS = 56 37%
Epoca 48 | FALLOS = 94 63%
Epoca 49 | ACIERTOS = 56 37%
Epoca 49 | FALLOS = 94 63%
Epoca 50 | ACIERTOS = 56 37%
Epoca 50 | FALLOS = 94 63%
Epoca 51 | ACIERTOS = 56 37%
Epoca 51 | FALLOS = 94 63%
Epoca 52 | ACIERTOS = 56 37%
Epoca 52 | FALLOS = 94 63%
Epoca 53 | ACIERTOS = 56 37%
Epoca 53 | FALLOS = 94 63%
Epoca 54 | ACIERTOS = 56 37%
Epoca 54 | FALLOS = 94 63%
Epoca 55 | ACIERTOS = 56 37%
Epoca 55 | FALLOS = 94 63%
Epoca 56 | ACIERTOS = 56 37%
Epoca 56 | FALLOS = 94 63%
Epoca 57 | ACIERTOS = 56 37%
Epoca 57 | FALLOS = 94 63%
Epoca 58 | ACIERTOS = 56 37%
Epoca 58 | FALLOS = 94 63%
Epoca 59 | ACIERTOS = 56 37%
Epoca 59 | FALLOS = 94 63%
Epoca 60 | ACIERTOS = 56 37%
Epoca 60 | FALLOS = 94 63%
Epoca 61 | ACIERTOS = 56 37%
Epoca 61 | FALLOS = 94 63%
Epoca 62 | ACIERTOS = 56 37%
Epoca 62 | FALLOS = 94 63%
Epoca 63 | ACIERTOS = 56 37%
Epoca 63 | FALLOS = 94 63%
Epoca 64 | ACIERTOS = 56 37%
Epoca 64 | FALLOS = 94 63%
Epoca 65 | ACIERTOS = 56 37%
Epoca 65 | FALLOS = 94 63%
Epoca 66 | ACIERTOS = 56 37%
Epoca 66 | FALLOS = 94 63%
Epoca 67 | ACIERTOS = 56 37%
Epoca 67 | FALLOS = 94 63%
Epoca 68 | ACIERTOS = 56 37%
Epoca 68 | FALLOS = 94 63%
Epoca 69 | ACIERTOS = 56 37%
Epoca 69 | FALLOS = 94 63%
Epoca 70 | ACIERTOS = 56 37%
Epoca 70 | FALLOS = 94 63%
Epoca 71 | ACIERTOS = 56 37%
Epoca 71 | FALLOS = 94 63%
Epoca 72 | ACIERTOS = 56 37%
Epoca 72 | FALLOS = 94 63%
