0.19 0.42 -0.35 0.08 
0.01 -0.19 -0.46 -0.08 
0.21 -0.08 
-0.03 -0.15 
-0.28 0.05 
0.24 0.03 -0.16 -0.13 0.38 

##################LEARN##################
Epoca 1 | ACIERTOS = 43 29%
Epoca 1 | FALLOS = 107 71%
Epoca 2 | ACIERTOS = 42 28%
Epoca 2 | FALLOS = 108 72%
Epoca 3 | ACIERTOS = 42 28%
Epoca 3 | FALLOS = 108 72%
Epoca 4 | ACIERTOS = 42 28%
Epoca 4 | FALLOS = 108 72%
Epoca 5 | ACIERTOS = 42 28%
Epoca 5 | FALLOS = 108 72%
Epoca 6 | ACIERTOS = 42 28%
Epoca 6 | FALLOS = 108 72%
Epoca 7 | ACIERTOS = 42 28%
Epoca 7 | FALLOS = 108 72%
Epoca 8 | ACIERTOS = 42 28%
Epoca 8 | FALLOS = 108 72%
Epoca 9 | ACIERTOS = 42 28%
Epoca 9 | FALLOS = 108 72%
Epoca 10 | ACIERTOS = 42 28%
Epoca 10 | FALLOS = 108 72%
Epoca 11 | ACIERTOS = 42 28%
Epoca 11 | FALLOS = 108 72%
Epoca 12 | ACIERTOS = 42 28%
Epoca 12 | FALLOS = 108 72%
Epoca 13 | ACIERTOS = 42 28%
Epoca 13 | FALLOS = 108 72%
Epoca 14 | ACIERTOS = 42 28%
Epoca 14 | FALLOS = 108 72%
Epoca 15 | ACIERTOS = 42 28%
Epoca 15 | FALLOS = 108 72%
Epoca 16 | ACIERTOS = 42 28%
Epoca 16 | FALLOS = 108 72%
Epoca 17 | ACIERTOS = 42 28%
Epoca 17 | FALLOS = 108 72%
Epoca 18 | ACIERTOS = 42 28%
Epoca 18 | FALLOS = 108 72%
Epoca 19 | ACIERTOS = 42 28%
Epoca 19 | FALLOS = 108 72%
Epoca 20 | ACIERTOS = 42 28%
Epoca 20 | FALLOS = 108 72%
Epoca 21 | ACIERTOS = 42 28%
Epoca 21 | FALLOS = 108 72%
Epoca 22 | ACIERTOS = 42 28%
Epoca 22 | FALLOS = 108 72%
Epoca 23 | ACIERTOS = 42 28%
