0.33 0.25 
-0.13 0.04 
-0.34 0.31 
0.31 0.49 
-0.03 -0.30 -0.43 0.31 

##################LEARN##################
Epoca 1 | ACIERTOS = 2 50%
Epoca 1 | FALLOS = 2 50%
Epoca 2 | ACIERTOS = 1 25%
Epoca 2 | FALLOS = 3 75%
Epoca 3 | ACIERTOS = 1 25%
Epoca 3 | FALLOS = 3 75%
Epoca 4 | ACIERTOS = 2 50%
Epoca 4 | FALLOS = 2 50%
Epoca 5 | ACIERTOS = 1 25%
Epoca 5 | FALLOS = 3 75%
Epoca 6 | ACIERTOS = 1 25%
Epoca 6 | FALLOS = 3 75%
Epoca 7 | ACIERTOS = 1 25%
Epoca 7 | FALLOS = 3 75%
Epoca 8 | ACIERTOS = 1 25%
Epoca 8 | FALLOS = 3 75%
Epoca 9 | ACIERTOS = 1 25%
Epoca 9 | FALLOS = 3 75%
Epoca 10 | ACIERTOS = 1 25%
Epoca 10 | FALLOS = 3 75%
Epoca 11 | ACIERTOS = 2 50%
Epoca 11 | FALLOS = 2 50%
Epoca 12 | ACIERTOS = 2 50%
Epoca 12 | FALLOS = 2 50%
Epoca 13 | ACIERTOS = 2 50%
Epoca 13 | FALLOS = 2 50%
Epoca 14 | ACIERTOS = 2 50%
Epoca 14 | FALLOS = 2 50%
Epoca 15 | ACIERTOS = 2 50%
Epoca 15 | FALLOS = 2 50%
Epoca 16 | ACIERTOS = 2 50%
Epoca 16 | FALLOS = 2 50%
Epoca 17 | ACIERTOS = 2 50%
Epoca 17 | FALLOS = 2 50%
Epoca 18 | ACIERTOS = 2 50%
Epoca 18 | FALLOS = 2 50%
Epoca 19 | ACIERTOS = 2 50%
Epoca 19 | FALLOS = 2 50%
Epoca 20 | ACIERTOS = 1 25%
Epoca 20 | FALLOS = 3 75%
Epoca 21 | ACIERTOS = 2 50%
Epoca 21 | FALLOS = 2 50%
Epoca 22 | ACIERTOS = 1 25%
Epoca 22 | FALLOS = 3 75%
Epoca 23 | ACIERTOS = 2 50%
Epoca 23 | FALLOS = 2 50%
Epoca 24 | ACIERTOS = 2 50%
Epoca 24 | FALLOS = 2 50%
Epoca 25 | ACIERTOS = 2 50%
Epoca 25 | FALLOS = 2 50%
Epoca 26 | ACIERTOS = 2 50%
Epoca 26 | FALLOS = 2 50%
Epoca 27 | ACIERTOS = 2 50%
Epoca 27 | FALLOS = 2 50%
Epoca 28 | ACIERTOS = 2 50%
Epoca 28 | FALLOS = 2 50%
Epoca 29 | ACIERTOS = 2 50%
Epoca 29 | FALLOS = 2 50%
Epoca 30 | ACIERTOS = 1 25%
Epoca 30 | FALLOS = 3 75%
Epoca 31 | ACIERTOS = 1 25%
Epoca 31 | FALLOS = 3 75%
Epoca 32 | ACIERTOS = 1 25%
Epoca 32 | FALLOS = 3 75%
Epoca 33 | ACIERTOS = 1 25%
Epoca 33 | FALLOS = 3 75%
Epoca 34 | ACIERTOS = 2 50%
Epoca 34 | FALLOS = 2 50%
Epoca 35 | ACIERTOS = 2 50%
Epoca 35 | FALLOS = 2 50%
Epoca 36 | ACIERTOS = 2 50%
Epoca 36 | FALLOS = 2 50%
Epoca 37 | ACIERTOS = 2 50%
Epoca 37 | FALLOS = 2 50%
Epoca 38 | ACIERTOS = 2 50%
Epoca 38 | FALLOS = 2 50%
Epoca 39 | ACIERTOS = 1 25%
Epoca 39 | FALLOS = 3 75%
Epoca 40 | ACIERTOS = 1 25%
Epoca 40 | FALLOS = 3 75%
Epoca 41 | ACIERTOS = 1 25%
Epoca 41 | FALLOS = 3 75%
Epoca 42 | ACIERTOS = 2 50%
Epoca 42 | FALLOS = 2 50%
Epoca 43 | ACIERTOS = 2 50%
Epoca 43 | FALLOS = 2 50%
Epoca 44 | ACIERTOS = 2 50%
Epoca 44 | FALLOS = 2 50%
Epoca 45 | ACIERTOS = 2 50%
Epoca 45 | FALLOS = 2 50%
Epoca 46 | ACIERTOS = 2 50%
Epoca 46 | FALLOS = 2 50%
Epoca 47 | ACIERTOS = 2 50%
Epoca 47 | FALLOS = 2 50%
Epoca 48 | ACIERTOS = 2 50%
Epoca 48 | FALLOS = 2 50%
Epoca 49 | ACIERTOS = 2 50%
Epoca 49 | FALLOS = 2 50%
Epoca 50 | ACIERTOS = 1 25%
Epoca 50 | FALLOS = 3 75%
Epoca 51 | ACIERTOS = 2 50%
Epoca 51 | FALLOS = 2 50%
Epoca 52 | ACIERTOS = 2 50%
Epoca 52 | FALLOS = 2 50%
Epoca 53 | ACIERTOS = 2 50%
Epoca 53 | FALLOS = 2 50%
Epoca 54 | ACIERTOS = 2 50%
Epoca 54 | FALLOS = 2 50%
Epoca 55 | ACIERTOS = 1 25%
Epoca 55 | FALLOS = 3 75%
Epoca 56 | ACIERTOS = 1 25%
Epoca 56 | FALLOS = 3 75%
Epoca 57 | ACIERTOS = 2 50%
Epoca 57 | FALLOS = 2 50%
Epoca 58 | ACIERTOS = 2 50%
Epoca 58 | FALLOS = 2 50%
Epoca 59 | ACIERTOS = 2 50%
Epoca 59 | FALLOS = 2 50%
Epoca 60 | ACIERTOS = 2 50%
Epoca 60 | FALLOS = 2 50%
Epoca 61 | ACIERTOS = 1 25%
Epoca 61 | FALLOS = 3 75%
Epoca 62 | ACIERTOS = 1 25%
Epoca 62 | FALLOS = 3 75%
Epoca 63 | ACIERTOS = 2 50%
Epoca 63 | FALLOS = 2 50%
Epoca 64 | ACIERTOS = 2 50%
Epoca 64 | FALLOS = 2 50%
