0.47 0.31 
0.15 -0.04 
-0.45 -0.36 
-0.21 0.18 0.17 
-0.40 -0.40 0.39 
0.28 -0.43 -0.49 0.22 -0.00 

##################LEARN##################
Epoca 1 | ACIERTOS = 3 75%
Epoca 1 | FALLOS = 1 25%
Epoca 2 | ACIERTOS = 3 75%
Epoca 2 | FALLOS = 1 25%
Epoca 3 | ACIERTOS = 3 75%
Epoca 3 | FALLOS = 1 25%
Epoca 4 | ACIERTOS = 3 75%
Epoca 4 | FALLOS = 1 25%
Epoca 5 | ACIERTOS = 3 75%
Epoca 5 | FALLOS = 1 25%
Epoca 6 | ACIERTOS = 3 75%
Epoca 6 | FALLOS = 1 25%
Epoca 7 | ACIERTOS = 3 75%
Epoca 7 | FALLOS = 1 25%
Epoca 8 | ACIERTOS = 3 75%
Epoca 8 | FALLOS = 1 25%
Epoca 9 | ACIERTOS = 3 75%
Epoca 9 | FALLOS = 1 25%
Epoca 10 | ACIERTOS = 3 75%
Epoca 10 | FALLOS = 1 25%
Epoca 11 | ACIERTOS = 3 75%
Epoca 11 | FALLOS = 1 25%
Epoca 12 | ACIERTOS = 3 75%
Epoca 12 | FALLOS = 1 25%
Epoca 13 | ACIERTOS = 3 75%
Epoca 13 | FALLOS = 1 25%
Epoca 14 | ACIERTOS = 3 75%
Epoca 14 | FALLOS = 1 25%
Epoca 15 | ACIERTOS = 3 75%
Epoca 15 | FALLOS = 1 25%
Epoca 16 | ACIERTOS = 3 75%
Epoca 16 | FALLOS = 1 25%
Epoca 17 | ACIERTOS = 3 75%
Epoca 17 | FALLOS = 1 25%
Epoca 18 | ACIERTOS = 3 75%
Epoca 18 | FALLOS = 1 25%
Epoca 19 | ACIERTOS = 3 75%
Epoca 19 | FALLOS = 1 25%
Epoca 20 | ACIERTOS = 3 75%
Epoca 20 | FALLOS = 1 25%
Epoca 21 | ACIERTOS = 3 75%
Epoca 21 | FALLOS = 1 25%
Epoca 22 | ACIERTOS = 3 75%
Epoca 22 | FALLOS = 1 25%
Epoca 23 | ACIERTOS = 3 75%
Epoca 23 | FALLOS = 1 25%
Epoca 24 | ACIERTOS = 3 75%
Epoca 24 | FALLOS = 1 25%
Epoca 25 | ACIERTOS = 3 75%
Epoca 25 | FALLOS = 1 25%
Epoca 26 | ACIERTOS = 3 75%
Epoca 26 | FALLOS = 1 25%
Epoca 27 | ACIERTOS = 3 75%
Epoca 27 | FALLOS = 1 25%
Epoca 28 | ACIERTOS = 3 75%
Epoca 28 | FALLOS = 1 25%
Epoca 29 | ACIERTOS = 3 75%
Epoca 29 | FALLOS = 1 25%
Epoca 30 | ACIERTOS = 3 75%
Epoca 30 | FALLOS = 1 25%
Epoca 31 | ACIERTOS = 3 75%
Epoca 31 | FALLOS = 1 25%
Epoca 32 | ACIERTOS = 3 75%
Epoca 32 | FALLOS = 1 25%
Epoca 33 | ACIERTOS = 3 75%
Epoca 33 | FALLOS = 1 25%
Epoca 34 | ACIERTOS = 3 75%
Epoca 34 | FALLOS = 1 25%
Epoca 35 | ACIERTOS = 3 75%
Epoca 35 | FALLOS = 1 25%
Epoca 36 | ACIERTOS = 3 75%
Epoca 36 | FALLOS = 1 25%
Epoca 37 | ACIERTOS = 3 75%
Epoca 37 | FALLOS = 1 25%
Epoca 38 | ACIERTOS = 3 75%
Epoca 38 | FALLOS = 1 25%
Epoca 39 | ACIERTOS = 3 75%
Epoca 39 | FALLOS = 1 25%
Epoca 40 | ACIERTOS = 3 75%
Epoca 40 | FALLOS = 1 25%
Epoca 41 | ACIERTOS = 3 75%
Epoca 41 | FALLOS = 1 25%
Epoca 42 | ACIERTOS = 3 75%
Epoca 42 | FALLOS = 1 25%
Epoca 43 | ACIERTOS = 3 75%
Epoca 43 | FALLOS = 1 25%
Epoca 44 | ACIERTOS = 3 75%
Epoca 44 | FALLOS = 1 25%
Epoca 45 | ACIERTOS = 3 75%
Epoca 45 | FALLOS = 1 25%
Epoca 46 | ACIERTOS = 3 75%
Epoca 46 | FALLOS = 1 25%
Epoca 47 | ACIERTOS = 3 75%
Epoca 47 | FALLOS = 1 25%
Epoca 48 | ACIERTOS = 3 75%
Epoca 48 | FALLOS = 1 25%
Epoca 49 | ACIERTOS = 3 75%
Epoca 49 | FALLOS = 1 25%
Epoca 50 | ACIERTOS = 3 75%
Epoca 50 | FALLOS = 1 25%
Epoca 51 | ACIERTOS = 3 75%
Epoca 51 | FALLOS = 1 25%
Epoca 52 | ACIERTOS = 3 75%
Epoca 52 | FALLOS = 1 25%
Epoca 53 | ACIERTOS = 3 75%
Epoca 53 | FALLOS = 1 25%
Epoca 54 | ACIERTOS = 3 75%
Epoca 54 | FALLOS = 1 25%
Epoca 55 | ACIERTOS = 3 75%
Epoca 55 | FALLOS = 1 25%
Epoca 56 | ACIERTOS = 3 75%
Epoca 56 | FALLOS = 1 25%
Epoca 57 | ACIERTOS = 3 75%
Epoca 57 | FALLOS = 1 25%
Epoca 58 | ACIERTOS = 3 75%
Epoca 58 | FALLOS = 1 25%
Epoca 59 | ACIERTOS = 3 75%
Epoca 59 | FALLOS = 1 25%
Epoca 60 | ACIERTOS = 3 75%
Epoca 60 | FALLOS = 1 25%
Epoca 61 | ACIERTOS = 3 75%
Epoca 61 | FALLOS = 1 25%
Epoca 62 | ACIERTOS = 3 75%
Epoca 62 | FALLOS = 1 25%
Epoca 63 | ACIERTOS = 3 75%
Epoca 63 | FALLOS = 1 25%
Epoca 64 | ACIERTOS = 3 75%
Epoca 64 | FALLOS = 1 25%
Epoca 65 | ACIERTOS = 3 75%
Epoca 65 | FALLOS = 1 25%
Epoca 66 | ACIERTOS = 3 75%
Epoca 66 | FALLOS = 1 25%
Epoca 67 | ACIERTOS = 3 75%
Epoca 67 | FALLOS = 1 25%
Epoca 68 | ACIERTOS = 3 75%
Epoca 68 | FALLOS = 1 25%
Epoca 69 | ACIERTOS = 3 75%
Epoca 69 | FALLOS = 1 25%
Epoca 70 | ACIERTOS = 3 75%
Epoca 70 | FALLOS = 1 25%
Epoca 71 | ACIERTOS = 4 100%
Epoca 71 | FALLOS = 0 0%
Epoca 72 | ACIERTOS = 4 100%
Epoca 72 | FALLOS = 0 0%
Epoca 73 | ACIERTOS = 4 100%
Epoca 73 | FALLOS = 0 0%
Epoca 74 | ACIERTOS = 4 100%
Epoca 74 | FALLOS = 0 0%
Epoca 75 | ACIERTOS = 4 100%
Epoca 75 | FALLOS = 0 0%
Epoca 76 | ACIERTOS = 4 100%
Epoca 76 | FALLOS = 0 0%
Epoca 77 | ACIERTOS = 4 100%
Epoca 77 | FALLOS = 0 0%
Epoca 78 | ACIERTOS = 4 100%
Epoca 78 | FALLOS = 0 0%
Epoca 79 | ACIERTOS = 4 100%
Epoca 79 | FALLOS = 0 0%
Epoca 80 | ACIERTOS = 4 100%
Epoca 80 | FALLOS = 0 0%
Epoca 81 | ACIERTOS = 4 100%
Epoca 81 | FALLOS = 0 0%
Epoca 82 | ACIERTOS = 4 100%
Epoca 82 | FALLOS = 0 0%
Epoca 83 | ACIERTOS = 4 100%
Epoca 83 | FALLOS = 0 0%
Epoca 84 | ACIERTOS = 4 100%
Epoca 84 | FALLOS = 0 0%
Epoca 85 | ACIERTOS = 4 100%
Epoca 85 | FALLOS = 0 0%
Epoca 86 | ACIERTOS = 4 100%
Epoca 86 | FALLOS = 0 0%
Epoca 87 | ACIERTOS = 4 100%
Epoca 87 | FALLOS = 0 0%
Epoca 88 | ACIERTOS = 4 100%
Epoca 88 | FALLOS = 0 0%
Epoca 89 | ACIERTOS = 4 100%
Epoca 89 | FALLOS = 0 0%
Epoca 90 | ACIERTOS = 4 100%
Epoca 90 | FALLOS = 0 0%
Epoca 91 | ACIERTOS = 4 100%
Epoca 91 | FALLOS = 0 0%
Epoca 92 | ACIERTOS = 4 100%
Epoca 92 | FALLOS = 0 0%
Epoca 93 | ACIERTOS = 4 100%
Epoca 93 | FALLOS = 0 0%
Epoca 94 | ACIERTOS = 4 100%
Epoca 94 | FALLOS = 0 0%
Epoca 95 | ACIERTOS = 4 100%
Epoca 95 | FALLOS = 0 0%
Epoca 96 | ACIERTOS = 4 100%
Epoca 96 | FALLOS = 0 0%
Epoca 97 | ACIERTOS = 4 100%
Epoca 97 | FALLOS = 0 0%
Epoca 98 | ACIERTOS = 4 100%
Epoca 98 | FALLOS = 0 0%
Epoca 99 | ACIERTOS = 4 100%
Epoca 99 | FALLOS = 0 0%
Epoca 100 | ACIERTOS = 4 100%
Epoca 100 | FALLOS = 0 0%
Epoca 101 | ACIERTOS = 4 100%
Epoca 101 | FALLOS = 0 0%
Epoca 102 | ACIERTOS = 4 100%
Epoca 102 | FALLOS = 0 0%
Epoca 103 | ACIERTOS = 4 100%
Epoca 103 | FALLOS = 0 0%
Epoca 104 | ACIERTOS = 4 100%
Epoca 104 | FALLOS = 0 0%
Epoca 105 | ACIERTOS = 4 100%
Epoca 105 | FALLOS = 0 0%
Epoca 106 | ACIERTOS = 4 100%
Epoca 106 | FALLOS = 0 0%
Epoca 107 | ACIERTOS = 4 100%
Epoca 107 | FALLOS = 0 0%
Epoca 108 | ACIERTOS = 4 100%
Epoca 108 | FALLOS = 0 0%
Epoca 109 | ACIERTOS = 4 100%
Epoca 109 | FALLOS = 0 0%
Epoca 110 | ACIERTOS = 4 100%
Epoca 110 | FALLOS = 0 0%
Epoca 111 | ACIERTOS = 4 100%
Epoca 111 | FALLOS = 0 0%
Epoca 112 | ACIERTOS = 4 100%
Epoca 112 | FALLOS = 0 0%
Epoca 113 | ACIERTOS = 4 100%
Epoca 113 | FALLOS = 0 0%
Epoca 114 | ACIERTOS = 4 100%
Epoca 114 | FALLOS = 0 0%
Epoca 115 | ACIERTOS = 4 100%
Epoca 115 | FALLOS = 0 0%
Epoca 116 | ACIERTOS = 4 100%
Epoca 116 | FALLOS = 0 0%
Epoca 117 | ACIERTOS = 4 100%
Epoca 117 | FALLOS = 0 0%
Epoca 118 | ACIERTOS = 4 100%
Epoca 118 | FALLOS = 0 0%
Epoca 119 | ACIERTOS = 4 100%
Epoca 119 | FALLOS = 0 0%
Epoca 120 | ACIERTOS = 4 100%
Epoca 120 | FALLOS = 0 0%
Epoca 121 | ACIERTOS = 4 100%
Epoca 121 | FALLOS = 0 0%
Epoca 122 | ACIERTOS = 4 100%
Epoca 122 | FALLOS = 0 0%
Epoca 123 | ACIERTOS = 4 100%
Epoca 123 | FALLOS = 0 0%
Epoca 124 | ACIERTOS = 4 100%
Epoca 124 | FALLOS = 0 0%
Epoca 125 | ACIERTOS = 4 100%
Epoca 125 | FALLOS = 0 0%
Epoca 126 | ACIERTOS = 4 100%
Epoca 126 | FALLOS = 0 0%
Epoca 127 | ACIERTOS = 4 100%
Epoca 127 | FALLOS = 0 0%
Epoca 128 | ACIERTOS = 4 100%
Epoca 128 | FALLOS = 0 0%
Epoca 129 | ACIERTOS = 4 100%
Epoca 129 | FALLOS = 0 0%
Epoca 130 | ACIERTOS = 4 100%
Epoca 130 | FALLOS = 0 0%
Epoca 131 | ACIERTOS = 4 100%
Epoca 131 | FALLOS = 0 0%
Epoca 132 | ACIERTOS = 4 100%
Epoca 132 | FALLOS = 0 0%
Epoca 133 | ACIERTOS = 4 100%
Epoca 133 | FALLOS = 0 0%
Epoca 134 | ACIERTOS = 4 100%
Epoca 134 | FALLOS = 0 0%
Epoca 135 | ACIERTOS = 4 100%
Epoca 135 | FALLOS = 0 0%
Epoca 136 | ACIERTOS = 4 100%
Epoca 136 | FALLOS = 0 0%
Epoca 137 | ACIERTOS = 4 100%
Epoca 137 | FALLOS = 0 0%
Epoca 138 | ACIERTOS = 4 100%
Epoca 138 | FALLOS = 0 0%
Epoca 139 | ACIERTOS = 4 100%
Epoca 139 | FALLOS = 0 0%
Epoca 140 | ACIERTOS = 4 100%
Epoca 140 | FALLOS = 0 0%
Epoca 141 | ACIERTOS = 4 100%
Epoca 141 | FALLOS = 0 0%
Epoca 142 | ACIERTOS = 4 100%
Epoca 142 | FALLOS = 0 0%
Epoca 143 | ACIERTOS = 4 100%
Epoca 143 | FALLOS = 0 0%
Epoca 144 | ACIERTOS = 4 100%
Epoca 144 | FALLOS = 0 0%
Epoca 145 | ACIERTOS = 4 100%
Epoca 145 | FALLOS = 0 0%
Epoca 146 | ACIERTOS = 4 100%
Epoca 146 | FALLOS = 0 0%
Epoca 147 | ACIERTOS = 4 100%
