0.09 0.10 -0.21 0.05 
0.48 0.40 -0.27 -0.19 
0.19 -0.48 
-0.36 0.48 
0.20 -0.10 
-0.26 -0.24 -0.36 -0.33 0.01 

##################LEARN##################
Epoca 1 | ACIERTOS = 55 37%
Epoca 1 | FALLOS = 95 63%
Epoca 2 | ACIERTOS = 50 33%
Epoca 2 | FALLOS = 100 67%
Epoca 3 | ACIERTOS = 45 30%
Epoca 3 | FALLOS = 105 70%
Epoca 4 | ACIERTOS = 49 33%
Epoca 4 | FALLOS = 101 67%
Epoca 5 | ACIERTOS = 45 30%
Epoca 5 | FALLOS = 105 70%
Epoca 6 | ACIERTOS = 44 29%
Epoca 6 | FALLOS = 106 71%
Epoca 7 | ACIERTOS = 46 31%
Epoca 7 | FALLOS = 104 69%
Epoca 8 | ACIERTOS = 49 33%
Epoca 8 | FALLOS = 101 67%
Epoca 9 | ACIERTOS = 46 31%
Epoca 9 | FALLOS = 104 69%
Epoca 10 | ACIERTOS = 46 31%
Epoca 10 | FALLOS = 104 69%
Epoca 11 | ACIERTOS = 48 32%
Epoca 11 | FALLOS = 102 68%
Epoca 12 | ACIERTOS = 46 31%
Epoca 12 | FALLOS = 104 69%
Epoca 13 | ACIERTOS = 46 31%
Epoca 13 | FALLOS = 104 69%
Epoca 14 | ACIERTOS = 44 29%
Epoca 14 | FALLOS = 106 71%
Epoca 15 | ACIERTOS = 44 29%
Epoca 15 | FALLOS = 106 71%
Epoca 16 | ACIERTOS = 46 31%
Epoca 16 | FALLOS = 104 69%
Epoca 17 | ACIERTOS = 46 31%
Epoca 17 | FALLOS = 104 69%
Epoca 18 | ACIERTOS = 46 31%
Epoca 18 | FALLOS = 104 69%
Epoca 19 | ACIERTOS = 55 37%
Epoca 19 | FALLOS = 95 63%
Epoca 20 | ACIERTOS = 46 31%
Epoca 20 | FALLOS = 104 69%
Epoca 21 | ACIERTOS = 46 31%
Epoca 21 | FALLOS = 104 69%
Epoca 22 | ACIERTOS = 46 31%
Epoca 22 | FALLOS = 104 69%
Epoca 23 | ACIERTOS = 46 31%
Epoca 23 | FALLOS = 104 69%
Epoca 24 | ACIERTOS = 46 31%
Epoca 24 | FALLOS = 104 69%
Epoca 25 | ACIERTOS = 45 30%
Epoca 25 | FALLOS = 105 70%
Epoca 26 | ACIERTOS = 46 31%
Epoca 26 | FALLOS = 104 69%
Epoca 27 | ACIERTOS = 46 31%
Epoca 27 | FALLOS = 104 69%
Epoca 28 | ACIERTOS = 46 31%
Epoca 28 | FALLOS = 104 69%
Epoca 29 | ACIERTOS = 46 31%
Epoca 29 | FALLOS = 104 69%
Epoca 30 | ACIERTOS = 46 31%
Epoca 30 | FALLOS = 104 69%
Epoca 31 | ACIERTOS = 46 31%
Epoca 31 | FALLOS = 104 69%
Epoca 32 | ACIERTOS = 46 31%
Epoca 32 | FALLOS = 104 69%
Epoca 33 | ACIERTOS = 46 31%
Epoca 33 | FALLOS = 104 69%
Epoca 34 | ACIERTOS = 46 31%
Epoca 34 | FALLOS = 104 69%
Epoca 35 | ACIERTOS = 46 31%
Epoca 35 | FALLOS = 104 69%
Epoca 36 | ACIERTOS = 46 31%
Epoca 36 | FALLOS = 104 69%
Epoca 37 | ACIERTOS = 46 31%
Epoca 37 | FALLOS = 104 69%
Epoca 38 | ACIERTOS = 46 31%
Epoca 38 | FALLOS = 104 69%
Epoca 39 | ACIERTOS = 46 31%
Epoca 39 | FALLOS = 104 69%
Epoca 40 | ACIERTOS = 46 31%
Epoca 40 | FALLOS = 104 69%
Epoca 41 | ACIERTOS = 46 31%
Epoca 41 | FALLOS = 104 69%
Epoca 42 | ACIERTOS = 46 31%
Epoca 42 | FALLOS = 104 69%
Epoca 43 | ACIERTOS = 46 31%
Epoca 43 | FALLOS = 104 69%
Epoca 44 | ACIERTOS = 46 31%
Epoca 44 | FALLOS = 104 69%
Epoca 45 | ACIERTOS = 46 31%
Epoca 45 | FALLOS = 104 69%
Epoca 46 | ACIERTOS = 46 31%
Epoca 46 | FALLOS = 104 69%
Epoca 47 | ACIERTOS = 46 31%
Epoca 47 | FALLOS = 104 69%
Epoca 48 | ACIERTOS = 46 31%
Epoca 48 | FALLOS = 104 69%
Epoca 49 | ACIERTOS = 46 31%
Epoca 49 | FALLOS = 104 69%
Epoca 50 | ACIERTOS = 46 31%
Epoca 50 | FALLOS = 104 69%
Epoca 51 | ACIERTOS = 46 31%
Epoca 51 | FALLOS = 104 69%
Epoca 52 | ACIERTOS = 46 31%
Epoca 52 | FALLOS = 104 69%
Epoca 53 | ACIERTOS = 46 31%
Epoca 53 | FALLOS = 104 69%
Epoca 54 | ACIERTOS = 46 31%
Epoca 54 | FALLOS = 104 69%
Epoca 55 | ACIERTOS = 46 31%
Epoca 55 | FALLOS = 104 69%
Epoca 56 | ACIERTOS = 46 31%
Epoca 56 | FALLOS = 104 69%
Epoca 57 | ACIERTOS = 46 31%
Epoca 57 | FALLOS = 104 69%
Epoca 58 | ACIERTOS = 46 31%
Epoca 58 | FALLOS = 104 69%
Epoca 59 | ACIERTOS = 46 31%
Epoca 59 | FALLOS = 104 69%
Epoca 60 | ACIERTOS = 46 31%
Epoca 60 | FALLOS = 104 69%
Epoca 61 | ACIERTOS = 46 31%
Epoca 61 | FALLOS = 104 69%
Epoca 62 | ACIERTOS = 46 31%
Epoca 62 | FALLOS = 104 69%
