0.09 0.10 -0.21 0.05 
0.48 0.40 -0.27 -0.19 
0.19 -0.48 -0.36 0.48 
0.20 -0.10 -0.26 
-0.24 -0.36 -0.33 
0.01 -0.30 0.48 
-0.44 0.42 -0.10 -0.49 0.06 0.29 

##################LEARN##################
Epoca 1 | ACIERTOS = 56 37%
Epoca 1 | FALLOS = 94 63%
Epoca 2 | ACIERTOS = 49 33%
Epoca 2 | FALLOS = 101 67%
Epoca 3 | ACIERTOS = 50 33%
Epoca 3 | FALLOS = 100 67%
Epoca 4 | ACIERTOS = 40 27%
Epoca 4 | FALLOS = 110 73%
Epoca 5 | ACIERTOS = 45 30%
Epoca 5 | FALLOS = 105 70%
Epoca 6 | ACIERTOS = 49 33%
Epoca 6 | FALLOS = 101 67%
Epoca 7 | ACIERTOS = 50 33%
Epoca 7 | FALLOS = 100 67%
Epoca 8 | ACIERTOS = 47 31%
Epoca 8 | FALLOS = 103 69%
Epoca 9 | ACIERTOS = 45 30%
Epoca 9 | FALLOS = 105 70%
Epoca 10 | ACIERTOS = 48 32%
Epoca 10 | FALLOS = 102 68%
Epoca 11 | ACIERTOS = 49 33%
Epoca 11 | FALLOS = 101 67%
Epoca 12 | ACIERTOS = 48 32%
Epoca 12 | FALLOS = 102 68%
Epoca 13 | ACIERTOS = 48 32%
Epoca 13 | FALLOS = 102 68%
Epoca 14 | ACIERTOS = 46 31%
Epoca 14 | FALLOS = 104 69%
Epoca 15 | ACIERTOS = 48 32%
Epoca 15 | FALLOS = 102 68%
Epoca 16 | ACIERTOS = 48 32%
Epoca 16 | FALLOS = 102 68%
Epoca 17 | ACIERTOS = 48 32%
Epoca 17 | FALLOS = 102 68%
Epoca 18 | ACIERTOS = 46 31%
Epoca 18 | FALLOS = 104 69%
Epoca 19 | ACIERTOS = 48 32%
Epoca 19 | FALLOS = 102 68%
Epoca 20 | ACIERTOS = 48 32%
Epoca 20 | FALLOS = 102 68%
Epoca 21 | ACIERTOS = 48 32%
Epoca 21 | FALLOS = 102 68%
Epoca 22 | ACIERTOS = 48 32%
Epoca 22 | FALLOS = 102 68%
Epoca 23 | ACIERTOS = 49 33%
Epoca 23 | FALLOS = 101 67%
Epoca 24 | ACIERTOS = 48 32%
Epoca 24 | FALLOS = 102 68%
Epoca 25 | ACIERTOS = 48 32%
Epoca 25 | FALLOS = 102 68%
Epoca 26 | ACIERTOS = 48 32%
