-0.04 -0.37 -0.35 -0.42 
-0.24 0.38 0.03 -0.29 
-0.45 -0.01 -0.23 0.00 
0.48 -0.47 0.01 -0.26 
-0.18 -0.36 -0.15 0.38 
-0.41 -0.09 -0.19 -0.15 0.40 
0.13 0.14 -0.31 0.11 -0.31 
0.33 -0.43 -0.18 0.47 -0.34 
0.08 0.35 0.19 0.29 0.40 -0.33 -0.44 -0.10 

##################LEARN##################
Epoca 1 | ACIERTOS = 46 31%
Epoca 1 | FALLOS = 104 69%
Epoca 2 | ACIERTOS = 61 41%
Epoca 2 | FALLOS = 89 59%
Epoca 3 | ACIERTOS = 54 36%
Epoca 3 | FALLOS = 96 64%
Epoca 4 | ACIERTOS = 56 37%
Epoca 4 | FALLOS = 94 63%
Epoca 5 | ACIERTOS = 81 54%
Epoca 5 | FALLOS = 69 46%
Epoca 6 | ACIERTOS = 61 41%
Epoca 6 | FALLOS = 89 59%
Epoca 7 | ACIERTOS = 79 53%
Epoca 7 | FALLOS = 71 47%
Epoca 8 | ACIERTOS = 59 39%
Epoca 8 | FALLOS = 91 61%
Epoca 9 | ACIERTOS = 52 35%
Epoca 9 | FALLOS = 98 65%
Epoca 10 | ACIERTOS = 53 35%
Epoca 10 | FALLOS = 97 65%
Epoca 11 | ACIERTOS = 54 36%
Epoca 11 | FALLOS = 96 64%
Epoca 12 | ACIERTOS = 54 36%
Epoca 12 | FALLOS = 96 64%
Epoca 13 | ACIERTOS = 53 35%
Epoca 13 | FALLOS = 97 65%
Epoca 14 | ACIERTOS = 53 35%
Epoca 14 | FALLOS = 97 65%
Epoca 15 | ACIERTOS = 53 35%
Epoca 15 | FALLOS = 97 65%
Epoca 16 | ACIERTOS = 53 35%
Epoca 16 | FALLOS = 97 65%
Epoca 17 | ACIERTOS = 51 34%
Epoca 17 | FALLOS = 99 66%
Epoca 18 | ACIERTOS = 53 35%
Epoca 18 | FALLOS = 97 65%
Epoca 19 | ACIERTOS = 52 35%
Epoca 19 | FALLOS = 98 65%
Epoca 20 | ACIERTOS = 54 36%
Epoca 20 | FALLOS = 96 64%
Epoca 21 | ACIERTOS = 52 35%
Epoca 21 | FALLOS = 98 65%
Epoca 22 | ACIERTOS = 54 36%
Epoca 22 | FALLOS = 96 64%
Epoca 23 | ACIERTOS = 53 35%
Epoca 23 | FALLOS = 97 65%
Epoca 24 | ACIERTOS = 53 35%
Epoca 24 | FALLOS = 97 65%
Epoca 25 | ACIERTOS = 53 35%
Epoca 25 | FALLOS = 97 65%
Epoca 26 | ACIERTOS = 53 35%
Epoca 26 | FALLOS = 97 65%
Epoca 27 | ACIERTOS = 53 35%
Epoca 27 | FALLOS = 97 65%
Epoca 28 | ACIERTOS = 53 35%
Epoca 28 | FALLOS = 97 65%
Epoca 29 | ACIERTOS = 53 35%
Epoca 29 | FALLOS = 97 65%
Epoca 30 | ACIERTOS = 53 35%
Epoca 30 | FALLOS = 97 65%
Epoca 31 | ACIERTOS = 53 35%
Epoca 31 | FALLOS = 97 65%
Epoca 32 | ACIERTOS = 53 35%
Epoca 32 | FALLOS = 97 65%
Epoca 33 | ACIERTOS = 53 35%
Epoca 33 | FALLOS = 97 65%
Epoca 34 | ACIERTOS = 55 37%
Epoca 34 | FALLOS = 95 63%
Epoca 35 | ACIERTOS = 53 35%
Epoca 35 | FALLOS = 97 65%
Epoca 36 | ACIERTOS = 53 35%
Epoca 36 | FALLOS = 97 65%
Epoca 37 | ACIERTOS = 53 35%
Epoca 37 | FALLOS = 97 65%
Epoca 38 | ACIERTOS = 53 35%
Epoca 38 | FALLOS = 97 65%
Epoca 39 | ACIERTOS = 53 35%
Epoca 39 | FALLOS = 97 65%
Epoca 40 | ACIERTOS = 53 35%
Epoca 40 | FALLOS = 97 65%
Epoca 41 | ACIERTOS = 53 35%
Epoca 41 | FALLOS = 97 65%
Epoca 42 | ACIERTOS = 53 35%
Epoca 42 | FALLOS = 97 65%
Epoca 43 | ACIERTOS = 53 35%
Epoca 43 | FALLOS = 97 65%
Epoca 44 | ACIERTOS = 53 35%
Epoca 44 | FALLOS = 97 65%
Epoca 45 | ACIERTOS = 53 35%
Epoca 45 | FALLOS = 97 65%
Epoca 46 | ACIERTOS = 53 35%
Epoca 46 | FALLOS = 97 65%
Epoca 47 | ACIERTOS = 53 35%
Epoca 47 | FALLOS = 97 65%
Epoca 48 | ACIERTOS = 53 35%
Epoca 48 | FALLOS = 97 65%
Epoca 49 | ACIERTOS = 53 35%
Epoca 49 | FALLOS = 97 65%
Epoca 50 | ACIERTOS = 53 35%
Epoca 50 | FALLOS = 97 65%
Epoca 51 | ACIERTOS = 53 35%
Epoca 51 | FALLOS = 97 65%
Epoca 52 | ACIERTOS = 53 35%
Epoca 52 | FALLOS = 97 65%
Epoca 53 | ACIERTOS = 53 35%
Epoca 53 | FALLOS = 97 65%
Epoca 54 | ACIERTOS = 53 35%
Epoca 54 | FALLOS = 97 65%
Epoca 55 | ACIERTOS = 53 35%
Epoca 55 | FALLOS = 97 65%
Epoca 56 | ACIERTOS = 53 35%
Epoca 56 | FALLOS = 97 65%
Epoca 57 | ACIERTOS = 53 35%
Epoca 57 | FALLOS = 97 65%
Epoca 58 | ACIERTOS = 53 35%
Epoca 58 | FALLOS = 97 65%
Epoca 59 | ACIERTOS = 53 35%
Epoca 59 | FALLOS = 97 65%
Epoca 60 | ACIERTOS = 53 35%
Epoca 60 | FALLOS = 97 65%
Epoca 61 | ACIERTOS = 53 35%
Epoca 61 | FALLOS = 97 65%
Epoca 62 | ACIERTOS = 53 35%
Epoca 62 | FALLOS = 97 65%
Epoca 63 | ACIERTOS = 53 35%
Epoca 63 | FALLOS = 97 65%
Epoca 64 | ACIERTOS = 53 35%
Epoca 64 | FALLOS = 97 65%
Epoca 65 | ACIERTOS = 53 35%
Epoca 65 | FALLOS = 97 65%
Epoca 66 | ACIERTOS = 53 35%
Epoca 66 | FALLOS = 97 65%
Epoca 67 | ACIERTOS = 53 35%
Epoca 67 | FALLOS = 97 65%
Epoca 68 | ACIERTOS = 53 35%
Epoca 68 | FALLOS = 97 65%
Epoca 69 | ACIERTOS = 53 35%
Epoca 69 | FALLOS = 97 65%
Epoca 70 | ACIERTOS = 53 35%
Epoca 70 | FALLOS = 97 65%
Epoca 71 | ACIERTOS = 53 35%
Epoca 71 | FALLOS = 97 65%
Epoca 72 | ACIERTOS = 53 35%
Epoca 72 | FALLOS = 97 65%
Epoca 73 | ACIERTOS = 53 35%
Epoca 73 | FALLOS = 97 65%
Epoca 74 | ACIERTOS = 53 35%
Epoca 74 | FALLOS = 97 65%
Epoca 75 | ACIERTOS = 53 35%
Epoca 75 | FALLOS = 97 65%
Epoca 76 | ACIERTOS = 53 35%
Epoca 76 | FALLOS = 97 65%
Epoca 77 | ACIERTOS = 53 35%
Epoca 77 | FALLOS = 97 65%
Epoca 78 | ACIERTOS = 54 36%
Epoca 78 | FALLOS = 96 64%
Epoca 79 | ACIERTOS = 53 35%
Epoca 79 | FALLOS = 97 65%
Epoca 80 | ACIERTOS = 53 35%
Epoca 80 | FALLOS = 97 65%
Epoca 81 | ACIERTOS = 53 35%
Epoca 81 | FALLOS = 97 65%
