-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 0.49 -0.09 
0.15 -0.41 0.27 0.23 -0.48 0.47 
0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 0.30 0.45 

##################LEARN##################
Epoca 1 | ACIERTOS = 70 47%
Epoca 1 | FALLOS = 80 53%
Epoca 2 | ACIERTOS = 73 49%
Epoca 2 | FALLOS = 77 51%
Epoca 3 | ACIERTOS = 91 61%
Epoca 3 | FALLOS = 59 39%
Epoca 4 | ACIERTOS = 74 49%
Epoca 4 | FALLOS = 76 51%
Epoca 5 | ACIERTOS = 98 65%
Epoca 5 | FALLOS = 52 35%
Epoca 6 | ACIERTOS = 56 37%
Epoca 6 | FALLOS = 94 63%
Epoca 7 | ACIERTOS = 56 37%
Epoca 7 | FALLOS = 94 63%
Epoca 8 | ACIERTOS = 58 39%
Epoca 8 | FALLOS = 92 61%
Epoca 9 | ACIERTOS = 52 35%
Epoca 9 | FALLOS = 98 65%
Epoca 10 | ACIERTOS = 51 34%
Epoca 10 | FALLOS = 99 66%
Epoca 11 | ACIERTOS = 64 43%
Epoca 11 | FALLOS = 86 57%
Epoca 12 | ACIERTOS = 88 59%
Epoca 12 | FALLOS = 62 41%
Epoca 13 | ACIERTOS = 100 67%
Epoca 13 | FALLOS = 50 33%
Epoca 14 | ACIERTOS = 52 35%
Epoca 14 | FALLOS = 98 65%
Epoca 15 | ACIERTOS = 56 37%
Epoca 15 | FALLOS = 94 63%
Epoca 16 | ACIERTOS = 58 39%
Epoca 16 | FALLOS = 92 61%
Epoca 17 | ACIERTOS = 72 48%
Epoca 17 | FALLOS = 78 52%
Epoca 18 | ACIERTOS = 94 63%
Epoca 18 | FALLOS = 56 37%
Epoca 19 | ACIERTOS = 103 69%
Epoca 19 | FALLOS = 47 31%
Epoca 20 | ACIERTOS = 101 67%
Epoca 20 | FALLOS = 49 33%
Epoca 21 | ACIERTOS = 100 67%
Epoca 21 | FALLOS = 50 33%
Epoca 22 | ACIERTOS = 63 42%
Epoca 22 | FALLOS = 87 58%
Epoca 23 | ACIERTOS = 53 35%
Epoca 23 | FALLOS = 97 65%
