-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 
0.49 -0.09 0.15 -0.41 0.27 0.23 -0.48 
0.47 0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 
0.30 0.45 0.11 0.13 -0.30 0.26 -0.04 -0.50 0.41 0.14 

##################LEARN##################
Epoca 1 | ACIERTOS = 62 41%
Epoca 1 | FALLOS = 88 59%
Epoca 2 | ACIERTOS = 76 51%
Epoca 2 | FALLOS = 74 49%
Epoca 3 | ACIERTOS = 83 55%
Epoca 3 | FALLOS = 67 45%
Epoca 4 | ACIERTOS = 100 67%
Epoca 4 | FALLOS = 50 33%
Epoca 5 | ACIERTOS = 96 64%
Epoca 5 | FALLOS = 54 36%
Epoca 6 | ACIERTOS = 67 45%
Epoca 6 | FALLOS = 83 55%
Epoca 7 | ACIERTOS = 85 57%
Epoca 7 | FALLOS = 65 43%
Epoca 8 | ACIERTOS = 87 58%
Epoca 8 | FALLOS = 63 42%
Epoca 9 | ACIERTOS = 90 60%
Epoca 9 | FALLOS = 60 40%
Epoca 10 | ACIERTOS = 51 34%
Epoca 10 | FALLOS = 99 66%
Epoca 11 | ACIERTOS = 82 55%
Epoca 11 | FALLOS = 68 45%
Epoca 12 | ACIERTOS = 95 63%
Epoca 12 | FALLOS = 55 37%
Epoca 13 | ACIERTOS = 98 65%
Epoca 13 | FALLOS = 52 35%
Epoca 14 | ACIERTOS = 93 62%
Epoca 14 | FALLOS = 57 38%
Epoca 15 | ACIERTOS = 92 61%
Epoca 15 | FALLOS = 58 39%
Epoca 16 | ACIERTOS = 90 60%
Epoca 16 | FALLOS = 60 40%
Epoca 17 | ACIERTOS = 103 69%
Epoca 17 | FALLOS = 47 31%
Epoca 18 | ACIERTOS = 94 63%
