0.31 0.28 0.35 -0.41 
-0.39 0.45 0.18 -0.27 
0.21 -0.19 -0.05 -0.34 
0.05 0.34 -0.30 0.09 
-0.04 0.35 -0.43 0.00 
0.47 0.09 -0.16 -0.17 
0.40 -0.36 0.14 0.36 
-0.46 0.35 0.17 0.35 
0.13 0.01 0.44 0.25 -0.03 0.12 0.47 -0.32 
0.43 -0.07 -0.17 -0.02 -0.23 0.03 -0.43 0.23 
-0.12 -0.36 -0.27 -0.15 0.23 0.07 0.18 0.13 
0.21 -0.19 -0.01 0.25 -0.33 -0.34 0.10 0.30 0.17 0.04 0.05 

##################LEARN##################
Epoca 1 | ACIERTOS = 55 37%
Epoca 1 | FALLOS = 95 63%
Epoca 2 | ACIERTOS = 52 35%
Epoca 2 | FALLOS = 98 65%
Epoca 3 | ACIERTOS = 53 35%
Epoca 3 | FALLOS = 97 65%
Epoca 4 | ACIERTOS = 59 39%
Epoca 4 | FALLOS = 91 61%
Epoca 5 | ACIERTOS = 75 50%
Epoca 5 | FALLOS = 75 50%
Epoca 6 | ACIERTOS = 74 49%
Epoca 6 | FALLOS = 76 51%
Epoca 7 | ACIERTOS = 43 29%
Epoca 7 | FALLOS = 107 71%
Epoca 8 | ACIERTOS = 68 45%
Epoca 8 | FALLOS = 82 55%
Epoca 9 | ACIERTOS = 80 53%
Epoca 9 | FALLOS = 70 47%
Epoca 10 | ACIERTOS = 49 33%
Epoca 10 | FALLOS = 101 67%
Epoca 11 | ACIERTOS = 44 29%
Epoca 11 | FALLOS = 106 71%
Epoca 12 | ACIERTOS = 46 31%
Epoca 12 | FALLOS = 104 69%
Epoca 13 | ACIERTOS = 71 47%
Epoca 13 | FALLOS = 79 53%
Epoca 14 | ACIERTOS = 56 37%
Epoca 14 | FALLOS = 94 63%
Epoca 15 | ACIERTOS = 59 39%
Epoca 15 | FALLOS = 91 61%
Epoca 16 | ACIERTOS = 70 47%
Epoca 16 | FALLOS = 80 53%
Epoca 17 | ACIERTOS = 50 33%
Epoca 17 | FALLOS = 100 67%
Epoca 18 | ACIERTOS = 47 31%
Epoca 18 | FALLOS = 103 69%
Epoca 19 | ACIERTOS = 48 32%
Epoca 19 | FALLOS = 102 68%
Epoca 20 | ACIERTOS = 51 34%
Epoca 20 | FALLOS = 99 66%
Epoca 21 | ACIERTOS = 74 49%
Epoca 21 | FALLOS = 76 51%
Epoca 22 | ACIERTOS = 61 41%
Epoca 22 | FALLOS = 89 59%
Epoca 23 | ACIERTOS = 59 39%
Epoca 23 | FALLOS = 91 61%
Epoca 24 | ACIERTOS = 90 60%
Epoca 24 | FALLOS = 60 40%
Epoca 25 | ACIERTOS = 57 38%
Epoca 25 | FALLOS = 93 62%
Epoca 26 | ACIERTOS = 50 33%
Epoca 26 | FALLOS = 100 67%
Epoca 27 | ACIERTOS = 49 33%
Epoca 27 | FALLOS = 101 67%
Epoca 28 | ACIERTOS = 35 23%
Epoca 28 | FALLOS = 115 77%
Epoca 29 | ACIERTOS = 47 31%
Epoca 29 | FALLOS = 103 69%
Epoca 30 | ACIERTOS = 47 31%
Epoca 30 | FALLOS = 103 69%
Epoca 31 | ACIERTOS = 47 31%
Epoca 31 | FALLOS = 103 69%
Epoca 32 | ACIERTOS = 47 31%
Epoca 32 | FALLOS = 103 69%
Epoca 33 | ACIERTOS = 45 30%
Epoca 33 | FALLOS = 105 70%
Epoca 34 | ACIERTOS = 46 31%
Epoca 34 | FALLOS = 104 69%
Epoca 35 | ACIERTOS = 47 31%
Epoca 35 | FALLOS = 103 69%
Epoca 36 | ACIERTOS = 47 31%
Epoca 36 | FALLOS = 103 69%
Epoca 37 | ACIERTOS = 44 29%
Epoca 37 | FALLOS = 106 71%
Epoca 38 | ACIERTOS = 47 31%
Epoca 38 | FALLOS = 103 69%
Epoca 39 | ACIERTOS = 47 31%
Epoca 39 | FALLOS = 103 69%
Epoca 40 | ACIERTOS = 47 31%
Epoca 40 | FALLOS = 103 69%
Epoca 41 | ACIERTOS = 47 31%
Epoca 41 | FALLOS = 103 69%
Epoca 42 | ACIERTOS = 47 31%
Epoca 42 | FALLOS = 103 69%
Epoca 43 | ACIERTOS = 47 31%
Epoca 43 | FALLOS = 103 69%
Epoca 44 | ACIERTOS = 47 31%
Epoca 44 | FALLOS = 103 69%
Epoca 45 | ACIERTOS = 47 31%
Epoca 45 | FALLOS = 103 69%
Epoca 46 | ACIERTOS = 42 28%
Epoca 46 | FALLOS = 108 72%
Epoca 47 | ACIERTOS = 47 31%
Epoca 47 | FALLOS = 103 69%
Epoca 48 | ACIERTOS = 45 30%
Epoca 48 | FALLOS = 105 70%
Epoca 49 | ACIERTOS = 48 32%
Epoca 49 | FALLOS = 102 68%
Epoca 50 | ACIERTOS = 47 31%
Epoca 50 | FALLOS = 103 69%
Epoca 51 | ACIERTOS = 47 31%
Epoca 51 | FALLOS = 103 69%
Epoca 52 | ACIERTOS = 47 31%
Epoca 52 | FALLOS = 103 69%
Epoca 53 | ACIERTOS = 47 31%
Epoca 53 | FALLOS = 103 69%
Epoca 54 | ACIERTOS = 47 31%
Epoca 54 | FALLOS = 103 69%
Epoca 55 | ACIERTOS = 47 31%
Epoca 55 | FALLOS = 103 69%
Epoca 56 | ACIERTOS = 47 31%
Epoca 56 | FALLOS = 103 69%
Epoca 57 | ACIERTOS = 47 31%
Epoca 57 | FALLOS = 103 69%
Epoca 58 | ACIERTOS = 47 31%
Epoca 58 | FALLOS = 103 69%
Epoca 59 | ACIERTOS = 47 31%
Epoca 59 | FALLOS = 103 69%
Epoca 60 | ACIERTOS = 47 31%
Epoca 60 | FALLOS = 103 69%
Epoca 61 | ACIERTOS = 47 31%
Epoca 61 | FALLOS = 103 69%
Epoca 62 | ACIERTOS = 47 31%
Epoca 62 | FALLOS = 103 69%
Epoca 63 | ACIERTOS = 47 31%
Epoca 63 | FALLOS = 103 69%
Epoca 64 | ACIERTOS = 47 31%
Epoca 64 | FALLOS = 103 69%
Epoca 65 | ACIERTOS = 47 31%
Epoca 65 | FALLOS = 103 69%
Epoca 66 | ACIERTOS = 47 31%
Epoca 66 | FALLOS = 103 69%
Epoca 67 | ACIERTOS = 47 31%
Epoca 67 | FALLOS = 103 69%
Epoca 68 | ACIERTOS = 47 31%
Epoca 68 | FALLOS = 103 69%
Epoca 69 | ACIERTOS = 47 31%
Epoca 69 | FALLOS = 103 69%
Epoca 70 | ACIERTOS = 47 31%
Epoca 70 | FALLOS = 103 69%
Epoca 71 | ACIERTOS = 47 31%
Epoca 71 | FALLOS = 103 69%
Epoca 72 | ACIERTOS = 47 31%
Epoca 72 | FALLOS = 103 69%
Epoca 73 | ACIERTOS = 47 31%
Epoca 73 | FALLOS = 103 69%
Epoca 74 | ACIERTOS = 47 31%
Epoca 74 | FALLOS = 103 69%
Epoca 75 | ACIERTOS = 47 31%
Epoca 75 | FALLOS = 103 69%
Epoca 76 | ACIERTOS = 47 31%
Epoca 76 | FALLOS = 103 69%
Epoca 77 | ACIERTOS = 47 31%
Epoca 77 | FALLOS = 103 69%
Epoca 78 | ACIERTOS = 47 31%
Epoca 78 | FALLOS = 103 69%
Epoca 79 | ACIERTOS = 47 31%
Epoca 79 | FALLOS = 103 69%
Epoca 80 | ACIERTOS = 47 31%
Epoca 80 | FALLOS = 103 69%
Epoca 81 | ACIERTOS = 47 31%
Epoca 81 | FALLOS = 103 69%
Epoca 82 | ACIERTOS = 47 31%
Epoca 82 | FALLOS = 103 69%
Epoca 83 | ACIERTOS = 47 31%
Epoca 83 | FALLOS = 103 69%
Epoca 84 | ACIERTOS = 47 31%
Epoca 84 | FALLOS = 103 69%
Epoca 85 | ACIERTOS = 47 31%
Epoca 85 | FALLOS = 103 69%
Epoca 86 | ACIERTOS = 47 31%
Epoca 86 | FALLOS = 103 69%
Epoca 87 | ACIERTOS = 47 31%
Epoca 87 | FALLOS = 103 69%
Epoca 88 | ACIERTOS = 47 31%
Epoca 88 | FALLOS = 103 69%
Epoca 89 | ACIERTOS = 47 31%
Epoca 89 | FALLOS = 103 69%
Epoca 90 | ACIERTOS = 47 31%
Epoca 90 | FALLOS = 103 69%
Epoca 91 | ACIERTOS = 47 31%
Epoca 91 | FALLOS = 103 69%
Epoca 92 | ACIERTOS = 47 31%
Epoca 92 | FALLOS = 103 69%
Epoca 93 | ACIERTOS = 47 31%
Epoca 93 | FALLOS = 103 69%
Epoca 94 | ACIERTOS = 47 31%
Epoca 94 | FALLOS = 103 69%
Epoca 95 | ACIERTOS = 47 31%
Epoca 95 | FALLOS = 103 69%
Epoca 96 | ACIERTOS = 47 31%
Epoca 96 | FALLOS = 103 69%
Epoca 97 | ACIERTOS = 47 31%
Epoca 97 | FALLOS = 103 69%
Epoca 98 | ACIERTOS = 47 31%
Epoca 98 | FALLOS = 103 69%
Epoca 99 | ACIERTOS = 47 31%
Epoca 99 | FALLOS = 103 69%
Epoca 100 | ACIERTOS = 47 31%
Epoca 100 | FALLOS = 103 69%
Epoca 101 | ACIERTOS = 47 31%
Epoca 101 | FALLOS = 103 69%
Epoca 102 | ACIERTOS = 47 31%
Epoca 102 | FALLOS = 103 69%
Epoca 103 | ACIERTOS = 47 31%
Epoca 103 | FALLOS = 103 69%
Epoca 104 | ACIERTOS = 47 31%
Epoca 104 | FALLOS = 103 69%
Epoca 105 | ACIERTOS = 47 31%
Epoca 105 | FALLOS = 103 69%
Epoca 106 | ACIERTOS = 47 31%
Epoca 106 | FALLOS = 103 69%
Epoca 107 | ACIERTOS = 47 31%
Epoca 107 | FALLOS = 103 69%
Epoca 108 | ACIERTOS = 47 31%
Epoca 108 | FALLOS = 103 69%
Epoca 109 | ACIERTOS = 47 31%
Epoca 109 | FALLOS = 103 69%
Epoca 110 | ACIERTOS = 47 31%
Epoca 110 | FALLOS = 103 69%
Epoca 111 | ACIERTOS = 47 31%
Epoca 111 | FALLOS = 103 69%
Epoca 112 | ACIERTOS = 47 31%
Epoca 112 | FALLOS = 103 69%
Epoca 113 | ACIERTOS = 47 31%
Epoca 113 | FALLOS = 103 69%
Epoca 114 | ACIERTOS = 47 31%
Epoca 114 | FALLOS = 103 69%
Epoca 115 | ACIERTOS = 47 31%
Epoca 115 | FALLOS = 103 69%
Epoca 116 | ACIERTOS = 47 31%
Epoca 116 | FALLOS = 103 69%
Epoca 117 | ACIERTOS = 47 31%
Epoca 117 | FALLOS = 103 69%
Epoca 118 | ACIERTOS = 47 31%
Epoca 118 | FALLOS = 103 69%
Epoca 119 | ACIERTOS = 47 31%
Epoca 119 | FALLOS = 103 69%
Epoca 120 | ACIERTOS = 47 31%
Epoca 120 | FALLOS = 103 69%
Epoca 121 | ACIERTOS = 47 31%
Epoca 121 | FALLOS = 103 69%
Epoca 122 | ACIERTOS = 47 31%
Epoca 122 | FALLOS = 103 69%
Epoca 123 | ACIERTOS = 47 31%
Epoca 123 | FALLOS = 103 69%
Epoca 124 | ACIERTOS = 47 31%
Epoca 124 | FALLOS = 103 69%
Epoca 125 | ACIERTOS = 47 31%
Epoca 125 | FALLOS = 103 69%
Epoca 126 | ACIERTOS = 47 31%
Epoca 126 | FALLOS = 103 69%
Epoca 127 | ACIERTOS = 47 31%
Epoca 127 | FALLOS = 103 69%
Epoca 128 | ACIERTOS = 47 31%
Epoca 128 | FALLOS = 103 69%
Epoca 129 | ACIERTOS = 47 31%
Epoca 129 | FALLOS = 103 69%
Epoca 130 | ACIERTOS = 47 31%
Epoca 130 | FALLOS = 103 69%
Epoca 131 | ACIERTOS = 47 31%
Epoca 131 | FALLOS = 103 69%
Epoca 132 | ACIERTOS = 47 31%
Epoca 132 | FALLOS = 103 69%
Epoca 133 | ACIERTOS = 47 31%
Epoca 133 | FALLOS = 103 69%
Epoca 134 | ACIERTOS = 47 31%
Epoca 134 | FALLOS = 103 69%
Epoca 135 | ACIERTOS = 48 32%
Epoca 135 | FALLOS = 102 68%
Epoca 136 | ACIERTOS = 47 31%
Epoca 136 | FALLOS = 103 69%
Epoca 137 | ACIERTOS = 47 31%
Epoca 137 | FALLOS = 103 69%
Epoca 138 | ACIERTOS = 46 31%
Epoca 138 | FALLOS = 104 69%
Epoca 139 | ACIERTOS = 47 31%
Epoca 139 | FALLOS = 103 69%
Epoca 140 | ACIERTOS = 47 31%
