0.47 0.31 
0.15 -0.04 
-0.45 -0.36 
-0.21 0.18 
0.17 -0.40 -0.40 0.39 
0.28 -0.43 -0.49 0.22 
-0.00 0.04 -0.24 0.48 0.11 0.22 

##################LEARN##################
Epoca 1 | ACIERTOS = 1 25%
Epoca 1 | FALLOS = 3 75%
Epoca 2 | ACIERTOS = 1 25%
Epoca 2 | FALLOS = 3 75%
Epoca 3 | ACIERTOS = 1 25%
Epoca 3 | FALLOS = 3 75%
Epoca 4 | ACIERTOS = 1 25%
Epoca 4 | FALLOS = 3 75%
Epoca 5 | ACIERTOS = 0 0%
Epoca 5 | FALLOS = 4 100%
Epoca 6 | ACIERTOS = 0 0%
Epoca 6 | FALLOS = 4 100%
Epoca 7 | ACIERTOS = 0 0%
Epoca 7 | FALLOS = 4 100%
Epoca 8 | ACIERTOS = 0 0%
Epoca 8 | FALLOS = 4 100%
Epoca 9 | ACIERTOS = 0 0%
Epoca 9 | FALLOS = 4 100%
Epoca 10 | ACIERTOS = 0 0%
Epoca 10 | FALLOS = 4 100%
Epoca 11 | ACIERTOS = 0 0%
Epoca 11 | FALLOS = 4 100%
Epoca 12 | ACIERTOS = 0 0%
Epoca 12 | FALLOS = 4 100%
Epoca 13 | ACIERTOS = 0 0%
Epoca 13 | FALLOS = 4 100%
Epoca 14 | ACIERTOS = 0 0%
Epoca 14 | FALLOS = 4 100%
Epoca 15 | ACIERTOS = 0 0%
Epoca 15 | FALLOS = 4 100%
Epoca 16 | ACIERTOS = 0 0%
Epoca 16 | FALLOS = 4 100%
Epoca 17 | ACIERTOS = 0 0%
Epoca 17 | FALLOS = 4 100%
Epoca 18 | ACIERTOS = 0 0%
Epoca 18 | FALLOS = 4 100%
Epoca 19 | ACIERTOS = 0 0%
Epoca 19 | FALLOS = 4 100%
Epoca 20 | ACIERTOS = 0 0%
Epoca 20 | FALLOS = 4 100%
Epoca 21 | ACIERTOS = 0 0%
Epoca 21 | FALLOS = 4 100%
Epoca 22 | ACIERTOS = 0 0%
Epoca 22 | FALLOS = 4 100%
Epoca 23 | ACIERTOS = 0 0%
Epoca 23 | FALLOS = 4 100%
Epoca 24 | ACIERTOS = 0 0%
Epoca 24 | FALLOS = 4 100%
Epoca 25 | ACIERTOS = 0 0%
Epoca 25 | FALLOS = 4 100%
Epoca 26 | ACIERTOS = 0 0%
Epoca 26 | FALLOS = 4 100%
Epoca 27 | ACIERTOS = 0 0%
Epoca 27 | FALLOS = 4 100%
Epoca 28 | ACIERTOS = 0 0%
Epoca 28 | FALLOS = 4 100%
Epoca 29 | ACIERTOS = 0 0%
Epoca 29 | FALLOS = 4 100%
Epoca 30 | ACIERTOS = 0 0%
Epoca 30 | FALLOS = 4 100%
Epoca 31 | ACIERTOS = 0 0%
Epoca 31 | FALLOS = 4 100%
Epoca 32 | ACIERTOS = 0 0%
Epoca 32 | FALLOS = 4 100%
Epoca 33 | ACIERTOS = 0 0%
Epoca 33 | FALLOS = 4 100%
Epoca 34 | ACIERTOS = 0 0%
Epoca 34 | FALLOS = 4 100%
Epoca 35 | ACIERTOS = 0 0%
Epoca 35 | FALLOS = 4 100%
Epoca 36 | ACIERTOS = 0 0%
Epoca 36 | FALLOS = 4 100%
Epoca 37 | ACIERTOS = 0 0%
Epoca 37 | FALLOS = 4 100%
Epoca 38 | ACIERTOS = 0 0%
Epoca 38 | FALLOS = 4 100%
Epoca 39 | ACIERTOS = 0 0%
Epoca 39 | FALLOS = 4 100%
Epoca 40 | ACIERTOS = 0 0%
Epoca 40 | FALLOS = 4 100%
Epoca 41 | ACIERTOS = 0 0%
Epoca 41 | FALLOS = 4 100%
Epoca 42 | ACIERTOS = 0 0%
Epoca 42 | FALLOS = 4 100%
Epoca 43 | ACIERTOS = 0 0%
Epoca 43 | FALLOS = 4 100%
Epoca 44 | ACIERTOS = 0 0%
Epoca 44 | FALLOS = 4 100%
Epoca 45 | ACIERTOS = 0 0%
Epoca 45 | FALLOS = 4 100%
Epoca 46 | ACIERTOS = 0 0%
Epoca 46 | FALLOS = 4 100%
Epoca 47 | ACIERTOS = 0 0%
Epoca 47 | FALLOS = 4 100%
Epoca 48 | ACIERTOS = 0 0%
Epoca 48 | FALLOS = 4 100%
