0.40 -0.47 
0.01 0.25 
-0.14 -0.28 
0.30 0.33 
-0.43 0.14 
-0.42 -0.15 
0.45 0.32 
-0.30 0.37 -0.44 -0.16 0.45 0.34 -0.17 
-0.31 -0.32 0.07 0.41 -0.19 -0.47 0.41 
0.38 0.20 -0.25 0.28 0.23 0.26 0.03 -0.41 0.48 

##################LEARN##################
Epoca 1 | ACIERTOS = 2 50%
Epoca 1 | FALLOS = 2 50%
Epoca 2 | ACIERTOS = 2 50%
Epoca 2 | FALLOS = 2 50%
Epoca 3 | ACIERTOS = 1 25%
Epoca 3 | FALLOS = 3 75%
Epoca 4 | ACIERTOS = 2 50%
Epoca 4 | FALLOS = 2 50%
Epoca 5 | ACIERTOS = 2 50%
Epoca 5 | FALLOS = 2 50%
Epoca 6 | ACIERTOS = 2 50%
Epoca 6 | FALLOS = 2 50%
Epoca 7 | ACIERTOS = 2 50%
Epoca 7 | FALLOS = 2 50%
Epoca 8 | ACIERTOS = 2 50%
Epoca 8 | FALLOS = 2 50%
Epoca 9 | ACIERTOS = 2 50%
Epoca 9 | FALLOS = 2 50%
Epoca 10 | ACIERTOS = 2 50%
Epoca 10 | FALLOS = 2 50%
Epoca 11 | ACIERTOS = 1 25%
Epoca 11 | FALLOS = 3 75%
Epoca 12 | ACIERTOS = 1 25%
Epoca 12 | FALLOS = 3 75%
Epoca 13 | ACIERTOS = 1 25%
Epoca 13 | FALLOS = 3 75%
Epoca 14 | ACIERTOS = 2 50%
Epoca 14 | FALLOS = 2 50%
Epoca 15 | ACIERTOS = 2 50%
Epoca 15 | FALLOS = 2 50%
Epoca 16 | ACIERTOS = 2 50%
Epoca 16 | FALLOS = 2 50%
Epoca 17 | ACIERTOS = 2 50%
Epoca 17 | FALLOS = 2 50%
Epoca 18 | ACIERTOS = 2 50%
Epoca 18 | FALLOS = 2 50%
Epoca 19 | ACIERTOS = 1 25%
Epoca 19 | FALLOS = 3 75%
Epoca 20 | ACIERTOS = 1 25%
Epoca 20 | FALLOS = 3 75%
Epoca 21 | ACIERTOS = 1 25%
Epoca 21 | FALLOS = 3 75%
Epoca 22 | ACIERTOS = 2 50%
Epoca 22 | FALLOS = 2 50%
Epoca 23 | ACIERTOS = 1 25%
Epoca 23 | FALLOS = 3 75%
Epoca 24 | ACIERTOS = 2 50%
Epoca 24 | FALLOS = 2 50%
Epoca 25 | ACIERTOS = 2 50%
Epoca 25 | FALLOS = 2 50%
Epoca 26 | ACIERTOS = 1 25%
Epoca 26 | FALLOS = 3 75%
Epoca 27 | ACIERTOS = 1 25%
Epoca 27 | FALLOS = 3 75%
Epoca 28 | ACIERTOS = 2 50%
Epoca 28 | FALLOS = 2 50%
Epoca 29 | ACIERTOS = 1 25%
Epoca 29 | FALLOS = 3 75%
Epoca 30 | ACIERTOS = 1 25%
Epoca 30 | FALLOS = 3 75%
Epoca 31 | ACIERTOS = 1 25%
Epoca 31 | FALLOS = 3 75%
Epoca 32 | ACIERTOS = 1 25%
Epoca 32 | FALLOS = 3 75%
Epoca 33 | ACIERTOS = 1 25%
Epoca 33 | FALLOS = 3 75%
Epoca 34 | ACIERTOS = 1 25%
Epoca 34 | FALLOS = 3 75%
Epoca 35 | ACIERTOS = 1 25%
Epoca 35 | FALLOS = 3 75%
Epoca 36 | ACIERTOS = 1 25%
Epoca 36 | FALLOS = 3 75%
Epoca 37 | ACIERTOS = 1 25%
Epoca 37 | FALLOS = 3 75%
Epoca 38 | ACIERTOS = 1 25%
Epoca 38 | FALLOS = 3 75%
Epoca 39 | ACIERTOS = 1 25%
Epoca 39 | FALLOS = 3 75%
Epoca 40 | ACIERTOS = 1 25%
Epoca 40 | FALLOS = 3 75%
Epoca 41 | ACIERTOS = 1 25%
Epoca 41 | FALLOS = 3 75%
Epoca 42 | ACIERTOS = 1 25%
Epoca 42 | FALLOS = 3 75%
Epoca 43 | ACIERTOS = 1 25%
Epoca 43 | FALLOS = 3 75%
Epoca 44 | ACIERTOS = 1 25%
Epoca 44 | FALLOS = 3 75%
Epoca 45 | ACIERTOS = 1 25%
Epoca 45 | FALLOS = 3 75%
Epoca 46 | ACIERTOS = 1 25%
Epoca 46 | FALLOS = 3 75%
Epoca 47 | ACIERTOS = 1 25%
Epoca 47 | FALLOS = 3 75%
Epoca 48 | ACIERTOS = 1 25%
Epoca 48 | FALLOS = 3 75%
Epoca 49 | ACIERTOS = 1 25%
Epoca 49 | FALLOS = 3 75%
Epoca 50 | ACIERTOS = 1 25%
Epoca 50 | FALLOS = 3 75%
Epoca 51 | ACIERTOS = 1 25%
Epoca 51 | FALLOS = 3 75%
Epoca 52 | ACIERTOS = 1 25%
Epoca 52 | FALLOS = 3 75%
Epoca 53 | ACIERTOS = 1 25%
Epoca 53 | FALLOS = 3 75%
Epoca 54 | ACIERTOS = 1 25%
Epoca 54 | FALLOS = 3 75%
Epoca 55 | ACIERTOS = 1 25%
Epoca 55 | FALLOS = 3 75%
Epoca 56 | ACIERTOS = 1 25%
Epoca 56 | FALLOS = 3 75%
Epoca 57 | ACIERTOS = 1 25%
Epoca 57 | FALLOS = 3 75%
Epoca 58 | ACIERTOS = 1 25%
Epoca 58 | FALLOS = 3 75%
Epoca 59 | ACIERTOS = 1 25%
Epoca 59 | FALLOS = 3 75%
Epoca 60 | ACIERTOS = 1 25%
Epoca 60 | FALLOS = 3 75%
Epoca 61 | ACIERTOS = 1 25%
Epoca 61 | FALLOS = 3 75%
Epoca 62 | ACIERTOS = 1 25%
Epoca 62 | FALLOS = 3 75%
Epoca 63 | ACIERTOS = 1 25%
Epoca 63 | FALLOS = 3 75%
Epoca 64 | ACIERTOS = 1 25%
Epoca 64 | FALLOS = 3 75%
Epoca 65 | ACIERTOS = 1 25%
Epoca 65 | FALLOS = 3 75%
Epoca 66 | ACIERTOS = 1 25%
