0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.76780
Epoca 2, RMS = 0.59015
Epoca 3, RMS = 0.51831
Epoca 4, RMS = 0.48201
Epoca 5, RMS = 0.46053
Epoca 6, RMS = 0.44783
Epoca 7, RMS = 0.44043
Epoca 8, RMS = 0.43607
Epoca 9, RMS = 0.43336
Epoca 10, RMS = 0.43155
Epoca 11, RMS = 0.43020
Epoca 12, RMS = 0.42905
Epoca 13, RMS = 0.42797
Epoca 14, RMS = 0.42688
Epoca 15, RMS = 0.42576
Epoca 16, RMS = 0.42460
Epoca 17, RMS = 0.42346
Epoca 18, RMS = 0.42241
Epoca 19, RMS = 0.42158
Epoca 20, RMS = 0.42108
Epoca 21, RMS = 0.42099
Epoca 22, RMS = 0.42128
Epoca 23, RMS = 0.42179
Epoca 24, RMS = 0.42231
Epoca 25, RMS = 0.42265
Epoca 26, RMS = 0.42269
Epoca 27, RMS = 0.42241
Epoca 28, RMS = 0.42183
Epoca 29, RMS = 0.42099
Epoca 30, RMS = 0.41993
Epoca 31, RMS = 0.41868
Epoca 32, RMS = 0.41730
Epoca 33, RMS = 0.41586
Epoca 34, RMS = 0.41451
Epoca 35, RMS = 0.41343
Epoca 36, RMS = 0.41284
Epoca 37, RMS = 0.41288
Epoca 38, RMS = 0.41352
Epoca 39, RMS = 0.41439
Epoca 40, RMS = 0.41489
Epoca 41, RMS = 0.41425
Epoca 42, RMS = 0.41170
Epoca 43, RMS = 0.40670
Epoca 44, RMS = 0.40205
Epoca 45, RMS = 0.41164
Epoca 46, RMS = 0.43160
Epoca 47, RMS = 0.43507
Epoca 48, RMS = 0.43137
Epoca 49, RMS = 0.42820
Epoca 50, RMS = 0.42616
Epoca 51, RMS = 0.42472
Epoca 52, RMS = 0.42349
Epoca 53, RMS = 0.42225
Epoca 54, RMS = 0.42086
Epoca 55, RMS = 0.41924
Epoca 56, RMS = 0.41734
Epoca 57, RMS = 0.41514
Epoca 58, RMS = 0.41270
Epoca 59, RMS = 0.41021
Epoca 60, RMS = 0.40795
Epoca 61, RMS = 0.40623
Epoca 62, RMS = 0.40496
Epoca 63, RMS = 0.40363
Epoca 64, RMS = 0.40229
Epoca 65, RMS = 0.40199
Epoca 66, RMS = 0.40289
Epoca 67, RMS = 0.40427
Epoca 68, RMS = 0.40560
Epoca 69, RMS = 0.40657
Epoca 70, RMS = 0.40702
Epoca 71, RMS = 0.40692
Epoca 72, RMS = 0.40621
Epoca 73, RMS = 0.40484
Epoca 74, RMS = 0.40270
Epoca 75, RMS = 0.39966
Epoca 76, RMS = 0.39553
Epoca 77, RMS = 0.39011
Epoca 78, RMS = 0.38334
Epoca 79, RMS = 0.37580
Epoca 80, RMS = 0.36984
Epoca 81, RMS = 0.36983
Epoca 82, RMS = 0.37656
Epoca 83, RMS = 0.38288
Epoca 84, RMS = 0.38424
Epoca 85, RMS = 0.38210
Epoca 86, RMS = 0.37840
Epoca 87, RMS = 0.37446
Epoca 88, RMS = 0.37130
Epoca 89, RMS = 0.36914
Epoca 90, RMS = 0.36771
Epoca 91, RMS = 0.36700
Epoca 92, RMS = 0.36718
Epoca 93, RMS = 0.36794
Epoca 94, RMS = 0.36840
Epoca 95, RMS = 0.36769
Epoca 96, RMS = 0.36567
Epoca 97, RMS = 0.36280
Epoca 98, RMS = 0.35966
Epoca 99, RMS = 0.35668
Epoca 100, RMS = 0.35403
Epoca 101, RMS = 0.35166
Epoca 102, RMS = 0.34939
Epoca 103, RMS = 0.34706
Epoca 104, RMS = 0.34467
Epoca 105, RMS = 0.34235
Epoca 106, RMS = 0.34034
Epoca 107, RMS = 0.33884
Epoca 108, RMS = 0.33788
Epoca 109, RMS = 0.33731
Epoca 110, RMS = 0.33677
Epoca 111, RMS = 0.33598
Epoca 112, RMS = 0.33487
Epoca 113, RMS = 0.33356
Epoca 114, RMS = 0.33219
Epoca 115, RMS = 0.33081
Epoca 116, RMS = 0.32934
Epoca 117, RMS = 0.32773
