0.40 -0.00 -0.19 -0.26 0.14 0.15 -0.14 -0.26 0.44 
-0.14 -0.48 0.34 0.12 0.32 0.21 0.33 0.40 -0.28 
-0.44 0.33 
0.18 0.10 
0.04 -0.18 -0.39 -0.04 

##################LEARN##################
Epoca 1, RMS = 0.47278
Epoca 2, RMS = 0.46329
Epoca 3, RMS = 0.41083
Epoca 4, RMS = 0.12956
Epoca 5, RMS = 0.08460
Epoca 6, RMS = 0.07987
Epoca 7, RMS = 0.07714
Epoca 8, RMS = 0.07550
Epoca 9, RMS = 0.07460
Epoca 10, RMS = 0.07412
Epoca 11, RMS = 0.07386
Epoca 12, RMS = 0.07370
Epoca 13, RMS = 0.07359
Epoca 14, RMS = 0.07350
Epoca 15, RMS = 0.07342
Epoca 16, RMS = 0.07334
Epoca 17, RMS = 0.07325
Epoca 18, RMS = 0.07315
Epoca 19, RMS = 0.07305
Epoca 20, RMS = 0.07295
Epoca 21, RMS = 0.07284
Epoca 22, RMS = 0.07273
Epoca 23, RMS = 0.07262
Epoca 24, RMS = 0.07251
Epoca 25, RMS = 0.07239
Epoca 26, RMS = 0.07228
Epoca 27, RMS = 0.07217
Epoca 28, RMS = 0.07206
Epoca 29, RMS = 0.07194
Epoca 30, RMS = 0.07183
Epoca 31, RMS = 0.07172
Epoca 32, RMS = 0.07161
Epoca 33, RMS = 0.07149
Epoca 34, RMS = 0.07138
Epoca 35, RMS = 0.07126
Epoca 36, RMS = 0.07115
Epoca 37, RMS = 0.07103
Epoca 38, RMS = 0.07090
Epoca 39, RMS = 0.07078
Epoca 40, RMS = 0.07065
Epoca 41, RMS = 0.07051
Epoca 42, RMS = 0.07037
Epoca 43, RMS = 0.07022
Epoca 44, RMS = 0.07006
Epoca 45, RMS = 0.06990
Epoca 46, RMS = 0.06972
Epoca 47, RMS = 0.06952
Epoca 48, RMS = 0.06931
Epoca 49, RMS = 0.06908
Epoca 50, RMS = 0.06882
Epoca 51, RMS = 0.06853
Epoca 52, RMS = 0.06820
Epoca 53, RMS = 0.06782
Epoca 54, RMS = 0.06740
Epoca 55, RMS = 0.06691
Epoca 56, RMS = 0.06638
Epoca 57, RMS = 0.06582
Epoca 58, RMS = 0.06525
Epoca 59, RMS = 0.06470
Epoca 60, RMS = 0.06420
Epoca 61, RMS = 0.06373
Epoca 62, RMS = 0.06331
Epoca 63, RMS = 0.06293
Epoca 64, RMS = 0.06258
Epoca 65, RMS = 0.06226
Epoca 66, RMS = 0.06196
Epoca 67, RMS = 0.06169
Epoca 68, RMS = 0.06144
Epoca 69, RMS = 0.06121
Epoca 70, RMS = 0.06100
Epoca 71, RMS = 0.06080
Epoca 72, RMS = 0.06062
Epoca 73, RMS = 0.06046
Epoca 74, RMS = 0.06032
Epoca 75, RMS = 0.06019
Epoca 76, RMS = 0.06007
Epoca 77, RMS = 0.05996
Epoca 78, RMS = 0.05986
Epoca 79, RMS = 0.05976
Epoca 80, RMS = 0.05967
Epoca 81, RMS = 0.05958
Epoca 82, RMS = 0.05949
Epoca 83, RMS = 0.05940
Epoca 84, RMS = 0.05931
Epoca 85, RMS = 0.05922
Epoca 86, RMS = 0.05913
Epoca 87, RMS = 0.05904
Epoca 88, RMS = 0.05895
Epoca 89, RMS = 0.05886
Epoca 90, RMS = 0.05877
Epoca 91, RMS = 0.05868
Epoca 92, RMS = 0.05860
Epoca 93, RMS = 0.05852
Epoca 94, RMS = 0.05844
Epoca 95, RMS = 0.05837
Epoca 96, RMS = 0.05830
Epoca 97, RMS = 0.05823
Epoca 98, RMS = 0.05817
Epoca 99, RMS = 0.05811
Epoca 100, RMS = 0.05806
Epoca 101, RMS = 0.05801
Epoca 102, RMS = 0.05797
Epoca 103, RMS = 0.05792
Epoca 104, RMS = 0.05789
Epoca 105, RMS = 0.05786
Epoca 106, RMS = 0.05783
Epoca 107, RMS = 0.05780
Epoca 108, RMS = 0.05778
Epoca 109, RMS = 0.05777
Epoca 110, RMS = 0.05775
Epoca 111, RMS = 0.05774
Epoca 112, RMS = 0.05774
Epoca 113, RMS = 0.05773
Epoca 114, RMS = 0.05773
Epoca 115, RMS = 0.05773
Epoca 116, RMS = 0.05774
Epoca 117, RMS = 0.05775
Epoca 118, RMS = 0.05776
Epoca 119, RMS = 0.05777
Epoca 120, RMS = 0.05778
Epoca 121, RMS = 0.05780
Epoca 122, RMS = 0.05781
Epoca 123, RMS = 0.05783
Epoca 124, RMS = 0.05785
Epoca 125, RMS = 0.05787
Epoca 126, RMS = 0.05789
Epoca 127, RMS = 0.05792
Epoca 128, RMS = 0.05794
Epoca 129, RMS = 0.05797
Epoca 130, RMS = 0.05799
Epoca 131, RMS = 0.05802
Epoca 132, RMS = 0.05804
Epoca 133, RMS = 0.05807
Epoca 134, RMS = 0.05810
Epoca 135, RMS = 0.05813
Epoca 136, RMS = 0.05816
Epoca 137, RMS = 0.05818
Epoca 138, RMS = 0.05821
Epoca 139, RMS = 0.05824
Epoca 140, RMS = 0.05827
Epoca 141, RMS = 0.05830
Epoca 142, RMS = 0.05833
Epoca 143, RMS = 0.05836
Epoca 144, RMS = 0.05839
Epoca 145, RMS = 0.05841
Epoca 146, RMS = 0.05844
Epoca 147, RMS = 0.05847
Epoca 148, RMS = 0.05850
Epoca 149, RMS = 0.05852
Epoca 150, RMS = 0.05855
Epoca 151, RMS = 0.05858
Epoca 152, RMS = 0.05860
Epoca 153, RMS = 0.05863
Epoca 154, RMS = 0.05866
Epoca 155, RMS = 0.05868
Epoca 156, RMS = 0.05871
Epoca 157, RMS = 0.05873
Epoca 158, RMS = 0.05876
Epoca 159, RMS = 0.05878
Epoca 160, RMS = 0.05880
Epoca 161, RMS = 0.05883
Epoca 162, RMS = 0.05885
Epoca 163, RMS = 0.05887
Epoca 164, RMS = 0.05889
Epoca 165, RMS = 0.05891
Epoca 166, RMS = 0.05894
Epoca 167, RMS = 0.05896
Epoca 168, RMS = 0.05898
Epoca 169, RMS = 0.05900
Epoca 170, RMS = 0.05902
Epoca 171, RMS = 0.05904
Epoca 172, RMS = 0.05905
Epoca 173, RMS = 0.05907
Epoca 174, RMS = 0.05909
Epoca 175, RMS = 0.05911
Epoca 176, RMS = 0.05913
Epoca 177, RMS = 0.05914
Epoca 178, RMS = 0.05916
Epoca 179, RMS = 0.05918
Epoca 180, RMS = 0.05919
Epoca 181, RMS = 0.05921
Epoca 182, RMS = 0.05923
Epoca 183, RMS = 0.05924
Epoca 184, RMS = 0.05926
Epoca 185, RMS = 0.05927
Epoca 186, RMS = 0.05929
Epoca 187, RMS = 0.05930
Epoca 188, RMS = 0.05932
Epoca 189, RMS = 0.05933
Epoca 190, RMS = 0.05934
Epoca 191, RMS = 0.05936
Epoca 192, RMS = 0.05937
Epoca 193, RMS = 0.05938
Epoca 194, RMS = 0.05940
Epoca 195, RMS = 0.05941
Epoca 196, RMS = 0.05942
Epoca 197, RMS = 0.05944
Epoca 198, RMS = 0.05945
Epoca 199, RMS = 0.05946
Epoca 200, RMS = 0.05947
Epoca 201, RMS = 0.05948
Epoca 202, RMS = 0.05950
Epoca 203, RMS = 0.05951
Epoca 204, RMS = 0.05952
Epoca 205, RMS = 0.05953
Epoca 206, RMS = 0.05954
Epoca 207, RMS = 0.05955
Epoca 208, RMS = 0.05956
Epoca 209, RMS = 0.05957
Epoca 210, RMS = 0.05959
Epoca 211, RMS = 0.05960
Epoca 212, RMS = 0.05961
