-0.15 0.45 0.15 0.26 -0.11 -0.27 0.27 0.24 -0.25 
-0.17 -0.20 0.15 -0.08 -0.29 0.22 0.09 0.15 -0.14 
0.39 0.19 
-0.43 -0.06 
-0.07 0.02 -0.43 -0.22 

##################LEARN##################
Epoca 1, RMS = 0.30905
Epoca 2, RMS = 0.08607
Epoca 3, RMS = 0.07555
Epoca 4, RMS = 0.07163
Epoca 5, RMS = 0.06907
Epoca 6, RMS = 0.06734
Epoca 7, RMS = 0.06615
Epoca 8, RMS = 0.06534
Epoca 9, RMS = 0.06478
Epoca 10, RMS = 0.06436
Epoca 11, RMS = 0.06403
Epoca 12, RMS = 0.06373
Epoca 13, RMS = 0.06345
Epoca 14, RMS = 0.06320
Epoca 15, RMS = 0.06299
Epoca 16, RMS = 0.06282
Epoca 17, RMS = 0.06269
Epoca 18, RMS = 0.06260
Epoca 19, RMS = 0.06253
Epoca 20, RMS = 0.06248
Epoca 21, RMS = 0.06246
Epoca 22, RMS = 0.06246
Epoca 23, RMS = 0.06247
Epoca 24, RMS = 0.06249
Epoca 25, RMS = 0.06252
Epoca 26, RMS = 0.06255
Epoca 27, RMS = 0.06259
Epoca 28, RMS = 0.06264
Epoca 29, RMS = 0.06268
Epoca 30, RMS = 0.06273
Epoca 31, RMS = 0.06278
Epoca 32, RMS = 0.06284
Epoca 33, RMS = 0.06289
Epoca 34, RMS = 0.06295
Epoca 35, RMS = 0.06300
Epoca 36, RMS = 0.06306
Epoca 37, RMS = 0.06312
Epoca 38, RMS = 0.06318
Epoca 39, RMS = 0.06324
Epoca 40, RMS = 0.06330
Epoca 41, RMS = 0.06337
Epoca 42, RMS = 0.06344
Epoca 43, RMS = 0.06350
Epoca 44, RMS = 0.06357
Epoca 45, RMS = 0.06364
Epoca 46, RMS = 0.06372
Epoca 47, RMS = 0.06379
Epoca 48, RMS = 0.06387
Epoca 49, RMS = 0.06394
Epoca 50, RMS = 0.06402
Epoca 51, RMS = 0.06410
Epoca 52, RMS = 0.06418
Epoca 53, RMS = 0.06425
Epoca 54, RMS = 0.06433
Epoca 55, RMS = 0.06441
Epoca 56, RMS = 0.06449
Epoca 57, RMS = 0.06456
Epoca 58, RMS = 0.06463
Epoca 59, RMS = 0.06471
Epoca 60, RMS = 0.06478
Epoca 61, RMS = 0.06484
Epoca 62, RMS = 0.06491
Epoca 63, RMS = 0.06498
Epoca 64, RMS = 0.06504
Epoca 65, RMS = 0.06510
Epoca 66, RMS = 0.06516
Epoca 67, RMS = 0.06522
Epoca 68, RMS = 0.06528
Epoca 69, RMS = 0.06533
