0.26 -0.23 0.22 -0.06 0.09 -0.24 -0.17 0.18 -0.48 
0.41 0.11 0.34 -0.41 -0.16 0.14 0.18 -0.27 0.16 
0.29 0.10 
-0.38 -0.22 
-0.07 0.10 -0.30 -0.34 

##################LEARN##################
Epoca 1, RMS = 0.33398
Epoca 2, RMS = 0.08833
Epoca 3, RMS = 0.07445
Epoca 4, RMS = 0.06972
Epoca 5, RMS = 0.06726
Epoca 6, RMS = 0.06588
Epoca 7, RMS = 0.06496
Epoca 8, RMS = 0.06417
Epoca 9, RMS = 0.06355
Epoca 10, RMS = 0.06317
Epoca 11, RMS = 0.06299
Epoca 12, RMS = 0.06294
Epoca 13, RMS = 0.06296
Epoca 14, RMS = 0.06301
Epoca 15, RMS = 0.06307
Epoca 16, RMS = 0.06314
Epoca 17, RMS = 0.06323
Epoca 18, RMS = 0.06336
Epoca 19, RMS = 0.06351
Epoca 20, RMS = 0.06370
Epoca 21, RMS = 0.06391
Epoca 22, RMS = 0.06413
Epoca 23, RMS = 0.06436
Epoca 24, RMS = 0.06459
Epoca 25, RMS = 0.06481
Epoca 26, RMS = 0.06501
Epoca 27, RMS = 0.06521
Epoca 28, RMS = 0.06539
Epoca 29, RMS = 0.06555
Epoca 30, RMS = 0.06571
Epoca 31, RMS = 0.06585
Epoca 32, RMS = 0.06597
Epoca 33, RMS = 0.06609
Epoca 34, RMS = 0.06620
Epoca 35, RMS = 0.06630
Epoca 36, RMS = 0.06639
Epoca 37, RMS = 0.06648
Epoca 38, RMS = 0.06656
Epoca 39, RMS = 0.06664
Epoca 40, RMS = 0.06672
Epoca 41, RMS = 0.06679
Epoca 42, RMS = 0.06687
Epoca 43, RMS = 0.06694
Epoca 44, RMS = 0.06701
Epoca 45, RMS = 0.06708
Epoca 46, RMS = 0.06715
Epoca 47, RMS = 0.06722
Epoca 48, RMS = 0.06730
Epoca 49, RMS = 0.06737
Epoca 50, RMS = 0.06744
Epoca 51, RMS = 0.06751
Epoca 52, RMS = 0.06759
Epoca 53, RMS = 0.06766
Epoca 54, RMS = 0.06773
Epoca 55, RMS = 0.06781
Epoca 56, RMS = 0.06788
Epoca 57, RMS = 0.06796
Epoca 58, RMS = 0.06803
Epoca 59, RMS = 0.06811
Epoca 60, RMS = 0.06818
Epoca 61, RMS = 0.06825
Epoca 62, RMS = 0.06833
Epoca 63, RMS = 0.06840
Epoca 64, RMS = 0.06847
Epoca 65, RMS = 0.06853
Epoca 66, RMS = 0.06860
Epoca 67, RMS = 0.06866
Epoca 68, RMS = 0.06872
Epoca 69, RMS = 0.06877
Epoca 70, RMS = 0.06883
Epoca 71, RMS = 0.06888
Epoca 72, RMS = 0.06892
Epoca 73, RMS = 0.06896
Epoca 74, RMS = 0.06900
Epoca 75, RMS = 0.06903
Epoca 76, RMS = 0.06906
Epoca 77, RMS = 0.06908
Epoca 78, RMS = 0.06910
Epoca 79, RMS = 0.06911
Epoca 80, RMS = 0.06912
Epoca 81, RMS = 0.06913
Epoca 82, RMS = 0.06913
Epoca 83, RMS = 0.06913
Epoca 84, RMS = 0.06912
Epoca 85, RMS = 0.06911
Epoca 86, RMS = 0.06910
Epoca 87, RMS = 0.06909
Epoca 88, RMS = 0.06907
Epoca 89, RMS = 0.06905
Epoca 90, RMS = 0.06903
Epoca 91, RMS = 0.06900
Epoca 92, RMS = 0.06898
Epoca 93, RMS = 0.06895
Epoca 94, RMS = 0.06892
Epoca 95, RMS = 0.06889
Epoca 96, RMS = 0.06886
Epoca 97, RMS = 0.06883
Epoca 98, RMS = 0.06879
Epoca 99, RMS = 0.06876
Epoca 100, RMS = 0.06872
Epoca 101, RMS = 0.06869
Epoca 102, RMS = 0.06865
Epoca 103, RMS = 0.06862
Epoca 104, RMS = 0.06858
Epoca 105, RMS = 0.06854
Epoca 106, RMS = 0.06851
Epoca 107, RMS = 0.06847
Epoca 108, RMS = 0.06843
Epoca 109, RMS = 0.06840
Epoca 110, RMS = 0.06836
Epoca 111, RMS = 0.06833
Epoca 112, RMS = 0.06829
Epoca 113, RMS = 0.06826
Epoca 114, RMS = 0.06822
Epoca 115, RMS = 0.06819
Epoca 116, RMS = 0.06816
Epoca 117, RMS = 0.06812
Epoca 118, RMS = 0.06809
Epoca 119, RMS = 0.06806
Epoca 120, RMS = 0.06803
Epoca 121, RMS = 0.06800
Epoca 122, RMS = 0.06797
Epoca 123, RMS = 0.06795
Epoca 124, RMS = 0.06792
Epoca 125, RMS = 0.06789
Epoca 126, RMS = 0.06786
Epoca 127, RMS = 0.06784
Epoca 128, RMS = 0.06781
Epoca 129, RMS = 0.06779
Epoca 130, RMS = 0.06776
Epoca 131, RMS = 0.06774
Epoca 132, RMS = 0.06772
Epoca 133, RMS = 0.06769
Epoca 134, RMS = 0.06767
Epoca 135, RMS = 0.06765
Epoca 136, RMS = 0.06763
Epoca 137, RMS = 0.06760
Epoca 138, RMS = 0.06758
Epoca 139, RMS = 0.06756
Epoca 140, RMS = 0.06754
Epoca 141, RMS = 0.06752
Epoca 142, RMS = 0.06749
Epoca 143, RMS = 0.06747
Epoca 144, RMS = 0.06745
Epoca 145, RMS = 0.06742
Epoca 146, RMS = 0.06740
Epoca 147, RMS = 0.06738
Epoca 148, RMS = 0.06735
Epoca 149, RMS = 0.06733
Epoca 150, RMS = 0.06730
Epoca 151, RMS = 0.06728
Epoca 152, RMS = 0.06725
Epoca 153, RMS = 0.06722
Epoca 154, RMS = 0.06719
Epoca 155, RMS = 0.06717
Epoca 156, RMS = 0.06714
Epoca 157, RMS = 0.06711
Epoca 158, RMS = 0.06708
Epoca 159, RMS = 0.06704
Epoca 160, RMS = 0.06701
Epoca 161, RMS = 0.06698
Epoca 162, RMS = 0.06695
Epoca 163, RMS = 0.06691
Epoca 164, RMS = 0.06688
Epoca 165, RMS = 0.06684
Epoca 166, RMS = 0.06681
Epoca 167, RMS = 0.06677
Epoca 168, RMS = 0.06674
Epoca 169, RMS = 0.06670
Epoca 170, RMS = 0.06666
Epoca 171, RMS = 0.06663
Epoca 172, RMS = 0.06659
Epoca 173, RMS = 0.06655
Epoca 174, RMS = 0.06651
Epoca 175, RMS = 0.06647
Epoca 176, RMS = 0.06643
Epoca 177, RMS = 0.06640
Epoca 178, RMS = 0.06636
Epoca 179, RMS = 0.06632
Epoca 180, RMS = 0.06628
Epoca 181, RMS = 0.06624
Epoca 182, RMS = 0.06620
Epoca 183, RMS = 0.06616
Epoca 184, RMS = 0.06612
Epoca 185, RMS = 0.06608
Epoca 186, RMS = 0.06605
Epoca 187, RMS = 0.06601
Epoca 188, RMS = 0.06597
