0.19 -0.16 0.22 -0.04 -0.38 0.42 0.14 -0.16 -0.42 
0.45 0.01 -0.12 0.14 0.28 -0.37 0.41 -0.35 0.39 
-0.07 0.16 
0.12 -0.05 
-0.17 -0.39 0.07 0.16 

##################LEARN##################
Epoca 1, RMS = 0.24460
Epoca 2, RMS = 0.08401
Epoca 3, RMS = 0.08163
Epoca 4, RMS = 0.07233
Epoca 5, RMS = 0.07402
Epoca 6, RMS = 0.06783
Epoca 7, RMS = 0.06579
Epoca 8, RMS = 0.06987
Epoca 9, RMS = 0.07021
Epoca 10, RMS = 0.06734
Epoca 11, RMS = 0.07005
Epoca 12, RMS = 0.07195
Epoca 13, RMS = 0.06796
Epoca 14, RMS = 0.06790
Epoca 15, RMS = 0.07009
Epoca 16, RMS = 0.06676
Epoca 17, RMS = 0.06988
Epoca 18, RMS = 0.06703
Epoca 19, RMS = 0.07049
Epoca 20, RMS = 0.06733
Epoca 21, RMS = 0.06950
Epoca 22, RMS = 0.06660
Epoca 23, RMS = 0.07239
Epoca 24, RMS = 0.06981
Epoca 25, RMS = 0.06675
Epoca 26, RMS = 0.07285
Epoca 27, RMS = 0.07001
Epoca 28, RMS = 0.06692
Epoca 29, RMS = 0.07289
Epoca 30, RMS = 0.07098
Epoca 31, RMS = 0.06723
Epoca 32, RMS = 0.07111
Epoca 33, RMS = 0.06792
Epoca 34, RMS = 0.06787
Epoca 35, RMS = 0.06845
Epoca 36, RMS = 0.06662
Epoca 37, RMS = 0.06860
Epoca 38, RMS = 0.06648
Epoca 39, RMS = 0.06682
Epoca 40, RMS = 0.06810
Epoca 41, RMS = 0.06609
Epoca 42, RMS = 0.06591
Epoca 43, RMS = 0.06874
Epoca 44, RMS = 0.06728
Epoca 45, RMS = 0.06547
Epoca 46, RMS = 0.06656
Epoca 47, RMS = 0.06847
Epoca 48, RMS = 0.06786
Epoca 49, RMS = 0.06660
Epoca 50, RMS = 0.06625
Epoca 51, RMS = 0.06748
Epoca 52, RMS = 0.06844
Epoca 53, RMS = 0.06882
Epoca 54, RMS = 0.06897
Epoca 55, RMS = 0.06902
Epoca 56, RMS = 0.06941
Epoca 57, RMS = 0.07027
Epoca 58, RMS = 0.07174
Epoca 59, RMS = 0.07373
Epoca 60, RMS = 0.07554
Epoca 61, RMS = 0.07689
Epoca 62, RMS = 0.07798
Epoca 63, RMS = 0.07884
Epoca 64, RMS = 0.07942
Epoca 65, RMS = 0.07959
Epoca 66, RMS = 0.07905
Epoca 67, RMS = 0.07712
Epoca 68, RMS = 0.07304
Epoca 69, RMS = 0.06904
Epoca 70, RMS = 0.06877
Epoca 71, RMS = 0.07011
Epoca 72, RMS = 0.06954
Epoca 73, RMS = 0.06665
Epoca 74, RMS = 0.06665
Epoca 75, RMS = 0.06741
Epoca 76, RMS = 0.06628
Epoca 77, RMS = 0.06455
Epoca 78, RMS = 0.06635
Epoca 79, RMS = 0.06835
Epoca 80, RMS = 0.06603
Epoca 81, RMS = 0.06654
Epoca 82, RMS = 0.06867
Epoca 83, RMS = 0.07060
Epoca 84, RMS = 0.06576
Epoca 85, RMS = 0.06515
Epoca 86, RMS = 0.06548
Epoca 87, RMS = 0.06648
Epoca 88, RMS = 0.06412
Epoca 89, RMS = 0.06689
Epoca 90, RMS = 0.06780
Epoca 91, RMS = 0.06413
Epoca 92, RMS = 0.06455
Epoca 93, RMS = 0.06528
Epoca 94, RMS = 0.06360
Epoca 95, RMS = 0.06364
Epoca 96, RMS = 0.06520
Epoca 97, RMS = 0.06598
Epoca 98, RMS = 0.06737
Epoca 99, RMS = 0.06915
Epoca 100, RMS = 0.06649
Epoca 101, RMS = 0.06638
Epoca 102, RMS = 0.06834
Epoca 103, RMS = 0.06521
Epoca 104, RMS = 0.06607
Epoca 105, RMS = 0.06642
Epoca 106, RMS = 0.06679
Epoca 107, RMS = 0.06830
Epoca 108, RMS = 0.06617
Epoca 109, RMS = 0.06677
Epoca 110, RMS = 0.06682
Epoca 111, RMS = 0.06945
Epoca 112, RMS = 0.06949
Epoca 113, RMS = 0.06757
Epoca 114, RMS = 0.06762
Epoca 115, RMS = 0.06783
Epoca 116, RMS = 0.06813
Epoca 117, RMS = 0.06732
Epoca 118, RMS = 0.06601
Epoca 119, RMS = 0.06658
Epoca 120, RMS = 0.06539
Epoca 121, RMS = 0.06722
Epoca 122, RMS = 0.06795
Epoca 123, RMS = 0.06675
Epoca 124, RMS = 0.06566
Epoca 125, RMS = 0.06622
Epoca 126, RMS = 0.06768
Epoca 127, RMS = 0.06967
Epoca 128, RMS = 0.06672
Epoca 129, RMS = 0.06851
Epoca 130, RMS = 0.06851
Epoca 131, RMS = 0.07258
Epoca 132, RMS = 0.06847
Epoca 133, RMS = 0.06813
Epoca 134, RMS = 0.07085
Epoca 135, RMS = 0.07337
Epoca 136, RMS = 0.06882
Epoca 137, RMS = 0.07040
Epoca 138, RMS = 0.06971
Epoca 139, RMS = 0.06762
Epoca 140, RMS = 0.06709
Epoca 141, RMS = 0.06580
Epoca 142, RMS = 0.06670
Epoca 143, RMS = 0.07044
Epoca 144, RMS = 0.07184
Epoca 145, RMS = 0.06801
Epoca 146, RMS = 0.07023
Epoca 147, RMS = 0.06984
Epoca 148, RMS = 0.07444
Epoca 149, RMS = 0.06948
Epoca 150, RMS = 0.06943
Epoca 151, RMS = 0.07176
Epoca 152, RMS = 0.07446
Epoca 153, RMS = 0.06932
Epoca 154, RMS = 0.07093
Epoca 155, RMS = 0.07075
Epoca 156, RMS = 0.07300
Epoca 157, RMS = 0.06894
Epoca 158, RMS = 0.06946
Epoca 159, RMS = 0.07023
Epoca 160, RMS = 0.07302
Epoca 161, RMS = 0.06815
Epoca 162, RMS = 0.06982
