-0.47 0.34 -0.44 0.37 0.17 -0.19 -0.24 -0.16 -0.29 
0.03 -0.42 0.15 0.03 -0.10 0.43 -0.08 0.47 -0.13 
0.46 -0.16 
0.18 -0.20 
0.03 -0.18 0.09 -0.41 

##################LEARN##################
Epoca 1, RMS = 0.27208
Epoca 2, RMS = 0.07908
Epoca 3, RMS = 0.07345
Epoca 4, RMS = 0.07086
Epoca 5, RMS = 0.06960
Epoca 6, RMS = 0.06904
Epoca 7, RMS = 0.06883
Epoca 8, RMS = 0.06874
Epoca 9, RMS = 0.06869
Epoca 10, RMS = 0.06865
Epoca 11, RMS = 0.06863
Epoca 12, RMS = 0.06862
Epoca 13, RMS = 0.06861
Epoca 14, RMS = 0.06860
Epoca 15, RMS = 0.06859
Epoca 16, RMS = 0.06858
Epoca 17, RMS = 0.06857
Epoca 18, RMS = 0.06856
Epoca 19, RMS = 0.06855
Epoca 20, RMS = 0.06854
Epoca 21, RMS = 0.06854
Epoca 22, RMS = 0.06854
Epoca 23, RMS = 0.06855
Epoca 24, RMS = 0.06856
Epoca 25, RMS = 0.06858
Epoca 26, RMS = 0.06860
Epoca 27, RMS = 0.06862
Epoca 28, RMS = 0.06864
Epoca 29, RMS = 0.06867
Epoca 30, RMS = 0.06869
Epoca 31, RMS = 0.06872
Epoca 32, RMS = 0.06874
Epoca 33, RMS = 0.06877
Epoca 34, RMS = 0.06880
Epoca 35, RMS = 0.06883
Epoca 36, RMS = 0.06887
Epoca 37, RMS = 0.06890
Epoca 38, RMS = 0.06894
Epoca 39, RMS = 0.06899
Epoca 40, RMS = 0.06904
Epoca 41, RMS = 0.06909
Epoca 42, RMS = 0.06915
Epoca 43, RMS = 0.06922
Epoca 44, RMS = 0.06929
Epoca 45, RMS = 0.06936
Epoca 46, RMS = 0.06945
Epoca 47, RMS = 0.06954
Epoca 48, RMS = 0.06964
Epoca 49, RMS = 0.06974
Epoca 50, RMS = 0.06986
Epoca 51, RMS = 0.06997
Epoca 52, RMS = 0.07010
Epoca 53, RMS = 0.07023
Epoca 54, RMS = 0.07037
Epoca 55, RMS = 0.07052
Epoca 56, RMS = 0.07067
Epoca 57, RMS = 0.07083
Epoca 58, RMS = 0.07099
Epoca 59, RMS = 0.07116
Epoca 60, RMS = 0.07133
Epoca 61, RMS = 0.07150
Epoca 62, RMS = 0.07167
Epoca 63, RMS = 0.07184
Epoca 64, RMS = 0.07201
Epoca 65, RMS = 0.07218
Epoca 66, RMS = 0.07234
Epoca 67, RMS = 0.07250
Epoca 68, RMS = 0.07266
Epoca 69, RMS = 0.07282
Epoca 70, RMS = 0.07297
Epoca 71, RMS = 0.07311
Epoca 72, RMS = 0.07325
Epoca 73, RMS = 0.07339
Epoca 74, RMS = 0.07352
Epoca 75, RMS = 0.07364
Epoca 76, RMS = 0.07376
Epoca 77, RMS = 0.07388
Epoca 78, RMS = 0.07399
Epoca 79, RMS = 0.07409
Epoca 80, RMS = 0.07419
Epoca 81, RMS = 0.07429
Epoca 82, RMS = 0.07438
Epoca 83, RMS = 0.07446
Epoca 84, RMS = 0.07454
Epoca 85, RMS = 0.07462
Epoca 86, RMS = 0.07469
Epoca 87, RMS = 0.07476
Epoca 88, RMS = 0.07482
Epoca 89, RMS = 0.07488
Epoca 90, RMS = 0.07493
Epoca 91, RMS = 0.07498
Epoca 92, RMS = 0.07503
Epoca 93, RMS = 0.07507
Epoca 94, RMS = 0.07511
Epoca 95, RMS = 0.07515
Epoca 96, RMS = 0.07518
Epoca 97, RMS = 0.07521
Epoca 98, RMS = 0.07523
Epoca 99, RMS = 0.07526
Epoca 100, RMS = 0.07528
Epoca 101, RMS = 0.07530
Epoca 102, RMS = 0.07531
Epoca 103, RMS = 0.07532
Epoca 104, RMS = 0.07533
Epoca 105, RMS = 0.07534
Epoca 106, RMS = 0.07534
Epoca 107, RMS = 0.07534
Epoca 108, RMS = 0.07534
Epoca 109, RMS = 0.07534
Epoca 110, RMS = 0.07533
Epoca 111, RMS = 0.07532
Epoca 112, RMS = 0.07531
Epoca 113, RMS = 0.07530
Epoca 114, RMS = 0.07528
Epoca 115, RMS = 0.07526
Epoca 116, RMS = 0.07524
Epoca 117, RMS = 0.07522
Epoca 118, RMS = 0.07519
Epoca 119, RMS = 0.07517
Epoca 120, RMS = 0.07514
Epoca 121, RMS = 0.07511
Epoca 122, RMS = 0.07507
Epoca 123, RMS = 0.07504
Epoca 124, RMS = 0.07500
Epoca 125, RMS = 0.07496
Epoca 126, RMS = 0.07492
Epoca 127, RMS = 0.07488
Epoca 128, RMS = 0.07484
Epoca 129, RMS = 0.07479
Epoca 130, RMS = 0.07474
Epoca 131, RMS = 0.07469
Epoca 132, RMS = 0.07464
Epoca 133, RMS = 0.07459
Epoca 134, RMS = 0.07454
Epoca 135, RMS = 0.07449
Epoca 136, RMS = 0.07443
Epoca 137, RMS = 0.07438
Epoca 138, RMS = 0.07432
Epoca 139, RMS = 0.07426
Epoca 140, RMS = 0.07420
Epoca 141, RMS = 0.07414
Epoca 142, RMS = 0.07408
Epoca 143, RMS = 0.07402
Epoca 144, RMS = 0.07396
Epoca 145, RMS = 0.07390
Epoca 146, RMS = 0.07383
Epoca 147, RMS = 0.07377
Epoca 148, RMS = 0.07371
Epoca 149, RMS = 0.07364
Epoca 150, RMS = 0.07358
Epoca 151, RMS = 0.07352
Epoca 152, RMS = 0.07345
Epoca 153, RMS = 0.07339
Epoca 154, RMS = 0.07333
Epoca 155, RMS = 0.07326
Epoca 156, RMS = 0.07320
Epoca 157, RMS = 0.07314
Epoca 158, RMS = 0.07307
Epoca 159, RMS = 0.07301
Epoca 160, RMS = 0.07295
Epoca 161, RMS = 0.07289
Epoca 162, RMS = 0.07283
Epoca 163, RMS = 0.07277
Epoca 164, RMS = 0.07271
Epoca 165, RMS = 0.07265
Epoca 166, RMS = 0.07260
Epoca 167, RMS = 0.07254
Epoca 168, RMS = 0.07249
Epoca 169, RMS = 0.07243
Epoca 170, RMS = 0.07238
Epoca 171, RMS = 0.07233
Epoca 172, RMS = 0.07227
Epoca 173, RMS = 0.07222
Epoca 174, RMS = 0.07218
Epoca 175, RMS = 0.07213
Epoca 176, RMS = 0.07208
Epoca 177, RMS = 0.07204
Epoca 178, RMS = 0.07199
Epoca 179, RMS = 0.07195
Epoca 180, RMS = 0.07191
Epoca 181, RMS = 0.07187
Epoca 182, RMS = 0.07183
Epoca 183, RMS = 0.07179
Epoca 184, RMS = 0.07175
Epoca 185, RMS = 0.07172
Epoca 186, RMS = 0.07168
Epoca 187, RMS = 0.07165
Epoca 188, RMS = 0.07162
Epoca 189, RMS = 0.07159
Epoca 190, RMS = 0.07156
Epoca 191, RMS = 0.07153
Epoca 192, RMS = 0.07150
Epoca 193, RMS = 0.07147
Epoca 194, RMS = 0.07145
Epoca 195, RMS = 0.07142
Epoca 196, RMS = 0.07140
Epoca 197, RMS = 0.07138
Epoca 198, RMS = 0.07136
Epoca 199, RMS = 0.07134
Epoca 200, RMS = 0.07132
Epoca 201, RMS = 0.07130
Epoca 202, RMS = 0.07128
Epoca 203, RMS = 0.07126
Epoca 204, RMS = 0.07125
Epoca 205, RMS = 0.07123
Epoca 206, RMS = 0.07122
Epoca 207, RMS = 0.07120
Epoca 208, RMS = 0.07119
Epoca 209, RMS = 0.07118
Epoca 210, RMS = 0.07116
Epoca 211, RMS = 0.07115
Epoca 212, RMS = 0.07114
Epoca 213, RMS = 0.07113
Epoca 214, RMS = 0.07112
Epoca 215, RMS = 0.07111
Epoca 216, RMS = 0.07110
Epoca 217, RMS = 0.07109
Epoca 218, RMS = 0.07109
Epoca 219, RMS = 0.07108
Epoca 220, RMS = 0.07107
Epoca 221, RMS = 0.07106
Epoca 222, RMS = 0.07106
Epoca 223, RMS = 0.07105
