0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75626
Epoca 2, RMS = 0.63846
Epoca 3, RMS = 0.58787
Epoca 4, RMS = 0.56394
Epoca 5, RMS = 0.55170
Epoca 6, RMS = 0.54531
Epoca 7, RMS = 0.54216
Epoca 8, RMS = 0.54086
Epoca 9, RMS = 0.54056
Epoca 10, RMS = 0.54076
Epoca 11, RMS = 0.54114
Epoca 12, RMS = 0.54154
Epoca 13, RMS = 0.54186
Epoca 14, RMS = 0.54206
Epoca 15, RMS = 0.54210
Epoca 16, RMS = 0.54198
Epoca 17, RMS = 0.54167
Epoca 18, RMS = 0.54118
Epoca 19, RMS = 0.54048
Epoca 20, RMS = 0.53957
Epoca 21, RMS = 0.53843
Epoca 22, RMS = 0.53710
Epoca 23, RMS = 0.53566
Epoca 24, RMS = 0.53427
Epoca 25, RMS = 0.53322
Epoca 26, RMS = 0.53279
Epoca 27, RMS = 0.53313
Epoca 28, RMS = 0.53408
Epoca 29, RMS = 0.53529
Epoca 30, RMS = 0.53645
Epoca 31, RMS = 0.53737
Epoca 32, RMS = 0.53799
Epoca 33, RMS = 0.53831
Epoca 34, RMS = 0.53836
Epoca 35, RMS = 0.53816
Epoca 36, RMS = 0.53772
Epoca 37, RMS = 0.53707
Epoca 38, RMS = 0.53621
Epoca 39, RMS = 0.53520
Epoca 40, RMS = 0.53410
Epoca 41, RMS = 0.53302
Epoca 42, RMS = 0.53213
Epoca 43, RMS = 0.53162
Epoca 44, RMS = 0.53164
Epoca 45, RMS = 0.53220
Epoca 46, RMS = 0.53318
Epoca 47, RMS = 0.53438
Epoca 48, RMS = 0.53563
Epoca 49, RMS = 0.53681
Epoca 50, RMS = 0.53783
Epoca 51, RMS = 0.53866
Epoca 52, RMS = 0.53929
Epoca 53, RMS = 0.53970
Epoca 54, RMS = 0.53989
Epoca 55, RMS = 0.53988
Epoca 56, RMS = 0.53966
Epoca 57, RMS = 0.53922
Epoca 58, RMS = 0.53857
Epoca 59, RMS = 0.53771
Epoca 60, RMS = 0.53666
Epoca 61, RMS = 0.53545
Epoca 62, RMS = 0.53418
Epoca 63, RMS = 0.53300
Epoca 64, RMS = 0.53211
Epoca 65, RMS = 0.53170
Epoca 66, RMS = 0.53184
Epoca 67, RMS = 0.53244
Epoca 68, RMS = 0.53328
Epoca 69, RMS = 0.53415
Epoca 70, RMS = 0.53490
Epoca 71, RMS = 0.53546
Epoca 72, RMS = 0.53581
Epoca 73, RMS = 0.53594
Epoca 74, RMS = 0.53587
Epoca 75, RMS = 0.53559
Epoca 76, RMS = 0.53514
Epoca 77, RMS = 0.53454
Epoca 78, RMS = 0.53383
Epoca 79, RMS = 0.53310
Epoca 80, RMS = 0.53248
Epoca 81, RMS = 0.53208
Epoca 82, RMS = 0.53204
Epoca 83, RMS = 0.53239
Epoca 84, RMS = 0.53308
Epoca 85, RMS = 0.53399
Epoca 86, RMS = 0.53497
Epoca 87, RMS = 0.53593
Epoca 88, RMS = 0.53679
Epoca 89, RMS = 0.53751
Epoca 90, RMS = 0.53807
Epoca 91, RMS = 0.53847
Epoca 92, RMS = 0.53869
Epoca 93, RMS = 0.53874
Epoca 94, RMS = 0.53862
Epoca 95, RMS = 0.53833
Epoca 96, RMS = 0.53786
Epoca 97, RMS = 0.53721
Epoca 98, RMS = 0.53638
Epoca 99, RMS = 0.53542
Epoca 100, RMS = 0.53436
Epoca 101, RMS = 0.53331
Epoca 102, RMS = 0.53240
Epoca 103, RMS = 0.53177
Epoca 104, RMS = 0.53154
Epoca 105, RMS = 0.53172
Epoca 106, RMS = 0.53224
Epoca 107, RMS = 0.53294
Epoca 108, RMS = 0.53369
Epoca 109, RMS = 0.53439
Epoca 110, RMS = 0.53496
Epoca 111, RMS = 0.53537
Epoca 112, RMS = 0.53560
Epoca 113, RMS = 0.53564
Epoca 114, RMS = 0.53550
Epoca 115, RMS = 0.53518
Epoca 116, RMS = 0.53474
Epoca 117, RMS = 0.53422
Epoca 118, RMS = 0.53373
Epoca 119, RMS = 0.53336
Epoca 120, RMS = 0.53320
Epoca 121, RMS = 0.53331
Epoca 122, RMS = 0.53367
Epoca 123, RMS = 0.53421
Epoca 124, RMS = 0.53483
Epoca 125, RMS = 0.53546
Epoca 126, RMS = 0.53603
Epoca 127, RMS = 0.53651
Epoca 128, RMS = 0.53689
Epoca 129, RMS = 0.53716
Epoca 130, RMS = 0.53732
Epoca 131, RMS = 0.53736
Epoca 132, RMS = 0.53729
Epoca 133, RMS = 0.53709
Epoca 134, RMS = 0.53676
Epoca 135, RMS = 0.53628
Epoca 136, RMS = 0.53566
Epoca 137, RMS = 0.53490
Epoca 138, RMS = 0.53406
Epoca 139, RMS = 0.53319
Epoca 140, RMS = 0.53239
Epoca 141, RMS = 0.53178
Epoca 142, RMS = 0.53142
Epoca 143, RMS = 0.53136
Epoca 144, RMS = 0.53156
Epoca 145, RMS = 0.53197
Epoca 146, RMS = 0.53249
Epoca 147, RMS = 0.53305
Epoca 148, RMS = 0.53360
Epoca 149, RMS = 0.53409
Epoca 150, RMS = 0.53447
Epoca 151, RMS = 0.53472
Epoca 152, RMS = 0.53483
Epoca 153, RMS = 0.53480
Epoca 154, RMS = 0.53466
Epoca 155, RMS = 0.53445
Epoca 156, RMS = 0.53425
Epoca 157, RMS = 0.53413
Epoca 158, RMS = 0.53413
Epoca 159, RMS = 0.53427
Epoca 160, RMS = 0.53454
Epoca 161, RMS = 0.53488
Epoca 162, RMS = 0.53524
Epoca 163, RMS = 0.53556
Epoca 164, RMS = 0.53581
Epoca 165, RMS = 0.53596
Epoca 166, RMS = 0.53602
Epoca 167, RMS = 0.53598
Epoca 168, RMS = 0.53587
Epoca 169, RMS = 0.53570
Epoca 170, RMS = 0.53550
Epoca 171, RMS = 0.53525
Epoca 172, RMS = 0.53497
Epoca 173, RMS = 0.53465
Epoca 174, RMS = 0.53427
Epoca 175, RMS = 0.53383
Epoca 176, RMS = 0.53336
Epoca 177, RMS = 0.53288
Epoca 178, RMS = 0.53245
Epoca 179, RMS = 0.53209
Epoca 180, RMS = 0.53182
Epoca 181, RMS = 0.53165
Epoca 182, RMS = 0.53156
Epoca 183, RMS = 0.53154
Epoca 184, RMS = 0.53159
Epoca 185, RMS = 0.53169
Epoca 186, RMS = 0.53187
Epoca 187, RMS = 0.53212
Epoca 188, RMS = 0.53242
Epoca 189, RMS = 0.53275
Epoca 190, RMS = 0.53307
Epoca 191, RMS = 0.53338
Epoca 192, RMS = 0.53366
Epoca 193, RMS = 0.53393
Epoca 194, RMS = 0.53422
Epoca 195, RMS = 0.53453
Epoca 196, RMS = 0.53487
Epoca 197, RMS = 0.53523
Epoca 198, RMS = 0.53558
Epoca 199, RMS = 0.53588
Epoca 200, RMS = 0.53611
Epoca 201, RMS = 0.53622
Epoca 202, RMS = 0.53620
Epoca 203, RMS = 0.53604
Epoca 204, RMS = 0.53576
Epoca 205, RMS = 0.53535
Epoca 206, RMS = 0.53486
Epoca 207, RMS = 0.53431
Epoca 208, RMS = 0.53376
Epoca 209, RMS = 0.53325
Epoca 210, RMS = 0.53283
Epoca 211, RMS = 0.53253
Epoca 212, RMS = 0.53236
Epoca 213, RMS = 0.53231
Epoca 214, RMS = 0.53235
Epoca 215, RMS = 0.53245
Epoca 216, RMS = 0.53257
Epoca 217, RMS = 0.53266
Epoca 218, RMS = 0.53269
Epoca 219, RMS = 0.53263
Epoca 220, RMS = 0.53245
Epoca 221, RMS = 0.53215
Epoca 222, RMS = 0.53176
Epoca 223, RMS = 0.53133
Epoca 224, RMS = 0.53092
Epoca 225, RMS = 0.53062
Epoca 226, RMS = 0.53049
Epoca 227, RMS = 0.53059
Epoca 228, RMS = 0.53092
Epoca 229, RMS = 0.53145
Epoca 230, RMS = 0.53213
Epoca 231, RMS = 0.53289
Epoca 232, RMS = 0.53368
Epoca 233, RMS = 0.53444
Epoca 234, RMS = 0.53514
Epoca 235, RMS = 0.53574
Epoca 236, RMS = 0.53622
Epoca 237, RMS = 0.53656
Epoca 238, RMS = 0.53674
Epoca 239, RMS = 0.53676
Epoca 240, RMS = 0.53663
Epoca 241, RMS = 0.53633
Epoca 242, RMS = 0.53589
Epoca 243, RMS = 0.53531
Epoca 244, RMS = 0.53464
Epoca 245, RMS = 0.53390
Epoca 246, RMS = 0.53314
Epoca 247, RMS = 0.53241
Epoca 248, RMS = 0.53178
Epoca 249, RMS = 0.53131
Epoca 250, RMS = 0.53106
Epoca 251, RMS = 0.53105
Epoca 252, RMS = 0.53127
Epoca 253, RMS = 0.53165
Epoca 254, RMS = 0.53212
Epoca 255, RMS = 0.53259
Epoca 256, RMS = 0.53297
Epoca 257, RMS = 0.53322
Epoca 258, RMS = 0.53331
Epoca 259, RMS = 0.53322
Epoca 260, RMS = 0.53297
Epoca 261, RMS = 0.53257
Epoca 262, RMS = 0.53207
Epoca 263, RMS = 0.53152
Epoca 264, RMS = 0.53100
Epoca 265, RMS = 0.53059
Epoca 266, RMS = 0.53038
Epoca 267, RMS = 0.53044
Epoca 268, RMS = 0.53078
Epoca 269, RMS = 0.53139
Epoca 270, RMS = 0.53218
Epoca 271, RMS = 0.53305
Epoca 272, RMS = 0.53391
Epoca 273, RMS = 0.53468
Epoca 274, RMS = 0.53533
Epoca 275, RMS = 0.53581
Epoca 276, RMS = 0.53613
Epoca 277, RMS = 0.53629
Epoca 278, RMS = 0.53629
Epoca 279, RMS = 0.53615
Epoca 280, RMS = 0.53589
Epoca 281, RMS = 0.53553
Epoca 282, RMS = 0.53509
Epoca 283, RMS = 0.53458
Epoca 284, RMS = 0.53403
Epoca 285, RMS = 0.53345
Epoca 286, RMS = 0.53287
