0.49 -0.21 
0.27 
0.48 
-0.21 -0.48 -0.02 

##################LEARN##################
Epoca 1, RMS = 1.15272
Epoca 2, RMS = 0.96703
Epoca 3, RMS = 0.78936
Epoca 4, RMS = 0.65211
Epoca 5, RMS = 0.56246
Epoca 6, RMS = 0.50694
Epoca 7, RMS = 0.47203
Epoca 8, RMS = 0.44929
Epoca 9, RMS = 0.43392
Epoca 10, RMS = 0.42318
Epoca 11, RMS = 0.41543
Epoca 12, RMS = 0.40969
Epoca 13, RMS = 0.40534
Epoca 14, RMS = 0.40198
Epoca 15, RMS = 0.39932
Epoca 16, RMS = 0.39719
Epoca 17, RMS = 0.39545
Epoca 18, RMS = 0.39403
Epoca 19, RMS = 0.39284
Epoca 20, RMS = 0.39185
Epoca 21, RMS = 0.39101
Epoca 22, RMS = 0.39029
Epoca 23, RMS = 0.38968
Epoca 24, RMS = 0.38915
Epoca 25, RMS = 0.38869
Epoca 26, RMS = 0.38829
Epoca 27, RMS = 0.38794
Epoca 28, RMS = 0.38764
Epoca 29, RMS = 0.38737
Epoca 30, RMS = 0.38713
Epoca 31, RMS = 0.38693
Epoca 32, RMS = 0.38674
Epoca 33, RMS = 0.38658
Epoca 34, RMS = 0.38643
Epoca 35, RMS = 0.38630
Epoca 36, RMS = 0.38619
Epoca 37, RMS = 0.38608
Epoca 38, RMS = 0.38599
Epoca 39, RMS = 0.38591
Epoca 40, RMS = 0.38583
Epoca 41, RMS = 0.38576
Epoca 42, RMS = 0.38570
Epoca 43, RMS = 0.38565
Epoca 44, RMS = 0.38560
Epoca 45, RMS = 0.38556
Epoca 46, RMS = 0.38552
Epoca 47, RMS = 0.38548
Epoca 48, RMS = 0.38545
Epoca 49, RMS = 0.38542
Epoca 50, RMS = 0.38539
Epoca 51, RMS = 0.38537
Epoca 52, RMS = 0.38535
Epoca 53, RMS = 0.38533
Epoca 54, RMS = 0.38531
Epoca 55, RMS = 0.38530
Epoca 56, RMS = 0.38528
Epoca 57, RMS = 0.38527
Epoca 58, RMS = 0.38526
Epoca 59, RMS = 0.38525
Epoca 60, RMS = 0.38524
Epoca 61, RMS = 0.38523
Epoca 62, RMS = 0.38522
Epoca 63, RMS = 0.38521
Epoca 64, RMS = 0.38521
Epoca 65, RMS = 0.38520
Epoca 66, RMS = 0.38520
Epoca 67, RMS = 0.38519
Epoca 68, RMS = 0.38519
Epoca 69, RMS = 0.38518
Epoca 70, RMS = 0.38518
Epoca 71, RMS = 0.38518
Epoca 72, RMS = 0.38517
Epoca 73, RMS = 0.38517
Epoca 74, RMS = 0.38517
Epoca 75, RMS = 0.38517
Epoca 76, RMS = 0.38517
Epoca 77, RMS = 0.38516
Epoca 78, RMS = 0.38516
Epoca 79, RMS = 0.38516
Epoca 80, RMS = 0.38516
Epoca 81, RMS = 0.38516
Epoca 82, RMS = 0.38516
Epoca 83, RMS = 0.38516
Epoca 84, RMS = 0.38516
Epoca 85, RMS = 0.38516
Epoca 86, RMS = 0.38516
Epoca 87, RMS = 0.38516
Epoca 88, RMS = 0.38516
Epoca 89, RMS = 0.38516
Epoca 90, RMS = 0.38516
Epoca 91, RMS = 0.38516
Epoca 92, RMS = 0.38516
Epoca 93, RMS = 0.38516
Epoca 94, RMS = 0.38516
Epoca 95, RMS = 0.38516
Epoca 96, RMS = 0.38516
Epoca 97, RMS = 0.38516
Epoca 98, RMS = 0.38516
Epoca 99, RMS = 0.38516
Epoca 100, RMS = 0.38516
Epoca 101, RMS = 0.38516
Epoca 102, RMS = 0.38516
Epoca 103, RMS = 0.38516
Epoca 104, RMS = 0.38517
Epoca 105, RMS = 0.38517
Epoca 106, RMS = 0.38517
Epoca 107, RMS = 0.38517
Epoca 108, RMS = 0.38517
Epoca 109, RMS = 0.38517
Epoca 110, RMS = 0.38517
Epoca 111, RMS = 0.38517
Epoca 112, RMS = 0.38517
Epoca 113, RMS = 0.38517
Epoca 114, RMS = 0.38517
Epoca 115, RMS = 0.38517
Epoca 116, RMS = 0.38517
Epoca 117, RMS = 0.38517
Epoca 118, RMS = 0.38517
Epoca 119, RMS = 0.38517
Epoca 120, RMS = 0.38517
Epoca 121, RMS = 0.38518
Epoca 122, RMS = 0.38518
Epoca 123, RMS = 0.38518
Epoca 124, RMS = 0.38518
Epoca 125, RMS = 0.38518
Epoca 126, RMS = 0.38518
Epoca 127, RMS = 0.38518
Epoca 128, RMS = 0.38518
Epoca 129, RMS = 0.38518
Epoca 130, RMS = 0.38518
