0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 0.41 
-0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 

##################LEARN##################
Epoca 1, RMS = 1.49651
Epoca 2, RMS = 1.19251
Epoca 3, RMS = 0.91395
Epoca 4, RMS = 0.71141
Epoca 5, RMS = 0.58571
Epoca 6, RMS = 0.51357
Epoca 7, RMS = 0.47243
Epoca 8, RMS = 0.44785
Epoca 9, RMS = 0.43230
Epoca 10, RMS = 0.42199
Epoca 11, RMS = 0.41490
Epoca 12, RMS = 0.40987
Epoca 13, RMS = 0.40623
Epoca 14, RMS = 0.40356
Epoca 15, RMS = 0.40156
Epoca 16, RMS = 0.40005
Epoca 17, RMS = 0.39890
Epoca 18, RMS = 0.39801
Epoca 19, RMS = 0.39732
Epoca 20, RMS = 0.39679
Epoca 21, RMS = 0.39636
Epoca 22, RMS = 0.39602
Epoca 23, RMS = 0.39576
Epoca 24, RMS = 0.39554
Epoca 25, RMS = 0.39537
Epoca 26, RMS = 0.39523
Epoca 27, RMS = 0.39511
Epoca 28, RMS = 0.39502
Epoca 29, RMS = 0.39495
Epoca 30, RMS = 0.39489
Epoca 31, RMS = 0.39484
Epoca 32, RMS = 0.39480
Epoca 33, RMS = 0.39477
Epoca 34, RMS = 0.39474
Epoca 35, RMS = 0.39472
Epoca 36, RMS = 0.39470
Epoca 37, RMS = 0.39469
Epoca 38, RMS = 0.39468
Epoca 39, RMS = 0.39467
Epoca 40, RMS = 0.39466
Epoca 41, RMS = 0.39466
Epoca 42, RMS = 0.39466
Epoca 43, RMS = 0.39466
Epoca 44, RMS = 0.39465
Epoca 45, RMS = 0.39465
Epoca 46, RMS = 0.39465
Epoca 47, RMS = 0.39465
Epoca 48, RMS = 0.39466
Epoca 49, RMS = 0.39466
Epoca 50, RMS = 0.39466
Epoca 51, RMS = 0.39466
Epoca 52, RMS = 0.39466
Epoca 53, RMS = 0.39466
Epoca 54, RMS = 0.39467
Epoca 55, RMS = 0.39467
Epoca 56, RMS = 0.39467
Epoca 57, RMS = 0.39467
Epoca 58, RMS = 0.39467
Epoca 59, RMS = 0.39467
Epoca 60, RMS = 0.39468
Epoca 61, RMS = 0.39468
Epoca 62, RMS = 0.39468
Epoca 63, RMS = 0.39468
Epoca 64, RMS = 0.39468
Epoca 65, RMS = 0.39468
Epoca 66, RMS = 0.39468
Epoca 67, RMS = 0.39468
Epoca 68, RMS = 0.39468
Epoca 69, RMS = 0.39468
Epoca 70, RMS = 0.39468
Epoca 71, RMS = 0.39468
Epoca 72, RMS = 0.39468
Epoca 73, RMS = 0.39468
Epoca 74, RMS = 0.39468
Epoca 75, RMS = 0.39468
Epoca 76, RMS = 0.39468
Epoca 77, RMS = 0.39468
Epoca 78, RMS = 0.39468
Epoca 79, RMS = 0.39467
Epoca 80, RMS = 0.39467
Epoca 81, RMS = 0.39467
Epoca 82, RMS = 0.39467
Epoca 83, RMS = 0.39467
Epoca 84, RMS = 0.39466
Epoca 85, RMS = 0.39466
Epoca 86, RMS = 0.39466
Epoca 87, RMS = 0.39465
Epoca 88, RMS = 0.39465
Epoca 89, RMS = 0.39465
Epoca 90, RMS = 0.39464
Epoca 91, RMS = 0.39464
Epoca 92, RMS = 0.39464
Epoca 93, RMS = 0.39463
Epoca 94, RMS = 0.39463
Epoca 95, RMS = 0.39462
Epoca 96, RMS = 0.39462
Epoca 97, RMS = 0.39461
Epoca 98, RMS = 0.39461
Epoca 99, RMS = 0.39460
Epoca 100, RMS = 0.39459
Epoca 101, RMS = 0.39459
Epoca 102, RMS = 0.39458
Epoca 103, RMS = 0.39458
Epoca 104, RMS = 0.39457
Epoca 105, RMS = 0.39456
Epoca 106, RMS = 0.39455
Epoca 107, RMS = 0.39455
Epoca 108, RMS = 0.39454
Epoca 109, RMS = 0.39453
Epoca 110, RMS = 0.39452
Epoca 111, RMS = 0.39451
Epoca 112, RMS = 0.39450
Epoca 113, RMS = 0.39449
Epoca 114, RMS = 0.39448
Epoca 115, RMS = 0.39447
Epoca 116, RMS = 0.39446
Epoca 117, RMS = 0.39445
Epoca 118, RMS = 0.39444
Epoca 119, RMS = 0.39443
Epoca 120, RMS = 0.39442
Epoca 121, RMS = 0.39440
Epoca 122, RMS = 0.39439
Epoca 123, RMS = 0.39438
Epoca 124, RMS = 0.39436
Epoca 125, RMS = 0.39435
Epoca 126, RMS = 0.39433
Epoca 127, RMS = 0.39432
Epoca 128, RMS = 0.39430
Epoca 129, RMS = 0.39429
Epoca 130, RMS = 0.39427
Epoca 131, RMS = 0.39425
Epoca 132, RMS = 0.39423
Epoca 133, RMS = 0.39421
Epoca 134, RMS = 0.39419
Epoca 135, RMS = 0.39417
Epoca 136, RMS = 0.39415
Epoca 137, RMS = 0.39413
Epoca 138, RMS = 0.39411
Epoca 139, RMS = 0.39409
Epoca 140, RMS = 0.39406
Epoca 141, RMS = 0.39404
