0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 

##################LEARN##################
Epoca 1, RMS = 0.64809
Epoca 2, RMS = 0.58046
Epoca 3, RMS = 0.51548
Epoca 4, RMS = 0.46665
Epoca 5, RMS = 0.43720
Epoca 6, RMS = 0.42204
Epoca 7, RMS = 0.41482
Epoca 8, RMS = 0.41148
Epoca 9, RMS = 0.40994
Epoca 10, RMS = 0.40922
Epoca 11, RMS = 0.40883
Epoca 12, RMS = 0.40857
Epoca 13, RMS = 0.40834
Epoca 14, RMS = 0.40811
Epoca 15, RMS = 0.40787
Epoca 16, RMS = 0.40762
Epoca 17, RMS = 0.40734
Epoca 18, RMS = 0.40706
Epoca 19, RMS = 0.40677
Epoca 20, RMS = 0.40647
Epoca 21, RMS = 0.40617
Epoca 22, RMS = 0.40587
Epoca 23, RMS = 0.40557
Epoca 24, RMS = 0.40528
Epoca 25, RMS = 0.40499
Epoca 26, RMS = 0.40471
Epoca 27, RMS = 0.40443
Epoca 28, RMS = 0.40417
Epoca 29, RMS = 0.40391
Epoca 30, RMS = 0.40366
Epoca 31, RMS = 0.40341
Epoca 32, RMS = 0.40318
Epoca 33, RMS = 0.40295
Epoca 34, RMS = 0.40274
Epoca 35, RMS = 0.40253
Epoca 36, RMS = 0.40233
Epoca 37, RMS = 0.40213
Epoca 38, RMS = 0.40195
Epoca 39, RMS = 0.40177
Epoca 40, RMS = 0.40159
Epoca 41, RMS = 0.40142
Epoca 42, RMS = 0.40126
Epoca 43, RMS = 0.40110
Epoca 44, RMS = 0.40095
Epoca 45, RMS = 0.40079
Epoca 46, RMS = 0.40065
Epoca 47, RMS = 0.40050
Epoca 48, RMS = 0.40036
Epoca 49, RMS = 0.40022
Epoca 50, RMS = 0.40008
Epoca 51, RMS = 0.39994
Epoca 52, RMS = 0.39980
Epoca 53, RMS = 0.39967
Epoca 54, RMS = 0.39953
Epoca 55, RMS = 0.39939
Epoca 56, RMS = 0.39925
Epoca 57, RMS = 0.39911
Epoca 58, RMS = 0.39897
Epoca 59, RMS = 0.39883
Epoca 60, RMS = 0.39868
Epoca 61, RMS = 0.39853
Epoca 62, RMS = 0.39838
Epoca 63, RMS = 0.39823
Epoca 64, RMS = 0.39807
Epoca 65, RMS = 0.39791
Epoca 66, RMS = 0.39774
Epoca 67, RMS = 0.39757
Epoca 68, RMS = 0.39739
Epoca 69, RMS = 0.39720
Epoca 70, RMS = 0.39701
Epoca 71, RMS = 0.39682
Epoca 72, RMS = 0.39661
Epoca 73, RMS = 0.39640
Epoca 74, RMS = 0.39618
Epoca 75, RMS = 0.39594
Epoca 76, RMS = 0.39570
Epoca 77, RMS = 0.39544
Epoca 78, RMS = 0.39518
Epoca 79, RMS = 0.39490
Epoca 80, RMS = 0.39460
Epoca 81, RMS = 0.39429
Epoca 82, RMS = 0.39396
Epoca 83, RMS = 0.39361
Epoca 84, RMS = 0.39324
Epoca 85, RMS = 0.39285
Epoca 86, RMS = 0.39243
Epoca 87, RMS = 0.39199
Epoca 88, RMS = 0.39151
Epoca 89, RMS = 0.39100
Epoca 90, RMS = 0.39045
Epoca 91, RMS = 0.38987
Epoca 92, RMS = 0.38924
Epoca 93, RMS = 0.38856
Epoca 94, RMS = 0.38782
Epoca 95, RMS = 0.38702
Epoca 96, RMS = 0.38616
Epoca 97, RMS = 0.38523
Epoca 98, RMS = 0.38421
Epoca 99, RMS = 0.38311
Epoca 100, RMS = 0.38192
Epoca 101, RMS = 0.38063
Epoca 102, RMS = 0.37925
Epoca 103, RMS = 0.37778
Epoca 104, RMS = 0.37623
Epoca 105, RMS = 0.37465
Epoca 106, RMS = 0.37307
Epoca 107, RMS = 0.37159
Epoca 108, RMS = 0.37032
Epoca 109, RMS = 0.36941
Epoca 110, RMS = 0.36901
Epoca 111, RMS = 0.36924
Epoca 112, RMS = 0.37013
Epoca 113, RMS = 0.37156
Epoca 114, RMS = 0.37325
Epoca 115, RMS = 0.37487
Epoca 116, RMS = 0.37616
Epoca 117, RMS = 0.37696
Epoca 118, RMS = 0.37728
Epoca 119, RMS = 0.37719
Epoca 120, RMS = 0.37681
Epoca 121, RMS = 0.37626
Epoca 122, RMS = 0.37561
Epoca 123, RMS = 0.37494
Epoca 124, RMS = 0.37428
Epoca 125, RMS = 0.37368
Epoca 126, RMS = 0.37314
Epoca 127, RMS = 0.37269
Epoca 128, RMS = 0.37232
Epoca 129, RMS = 0.37204
Epoca 130, RMS = 0.37185
Epoca 131, RMS = 0.37172
Epoca 132, RMS = 0.37164
Epoca 133, RMS = 0.37160
Epoca 134, RMS = 0.37157
Epoca 135, RMS = 0.37156
Epoca 136, RMS = 0.37153
Epoca 137, RMS = 0.37150
Epoca 138, RMS = 0.37144
Epoca 139, RMS = 0.37136
Epoca 140, RMS = 0.37126
Epoca 141, RMS = 0.37114
Epoca 142, RMS = 0.37101
Epoca 143, RMS = 0.37086
Epoca 144, RMS = 0.37071
Epoca 145, RMS = 0.37055
Epoca 146, RMS = 0.37038
Epoca 147, RMS = 0.37022
Epoca 148, RMS = 0.37005
Epoca 149, RMS = 0.36989
Epoca 150, RMS = 0.36972
Epoca 151, RMS = 0.36956
Epoca 152, RMS = 0.36939
Epoca 153, RMS = 0.36922
Epoca 154, RMS = 0.36905
Epoca 155, RMS = 0.36888
Epoca 156, RMS = 0.36870
Epoca 157, RMS = 0.36851
Epoca 158, RMS = 0.36832
Epoca 159, RMS = 0.36813
Epoca 160, RMS = 0.36793
Epoca 161, RMS = 0.36773
Epoca 162, RMS = 0.36753
Epoca 163, RMS = 0.36732
Epoca 164, RMS = 0.36710
Epoca 165, RMS = 0.36689
Epoca 166, RMS = 0.36667
Epoca 167, RMS = 0.36645
Epoca 168, RMS = 0.36622
Epoca 169, RMS = 0.36599
Epoca 170, RMS = 0.36576
Epoca 171, RMS = 0.36552
Epoca 172, RMS = 0.36528
Epoca 173, RMS = 0.36504
Epoca 174, RMS = 0.36479
Epoca 175, RMS = 0.36454
Epoca 176, RMS = 0.36429
Epoca 177, RMS = 0.36403
Epoca 178, RMS = 0.36377
Epoca 179, RMS = 0.36351
Epoca 180, RMS = 0.36325
Epoca 181, RMS = 0.36298
Epoca 182, RMS = 0.36270
Epoca 183, RMS = 0.36243
Epoca 184, RMS = 0.36215
Epoca 185, RMS = 0.36187
Epoca 186, RMS = 0.36159
Epoca 187, RMS = 0.36130
Epoca 188, RMS = 0.36101
Epoca 189, RMS = 0.36072
Epoca 190, RMS = 0.36043
Epoca 191, RMS = 0.36013
Epoca 192, RMS = 0.35983
Epoca 193, RMS = 0.35953
Epoca 194, RMS = 0.35922
Epoca 195, RMS = 0.35892
Epoca 196, RMS = 0.35861
