0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 0.33 -0.47 -0.48 
-0.29 -0.35 -0.13 0.03 -0.19 
0.49 0.49 0.10 -0.35 -0.35 0.21 -0.05 

##################LEARN##################
Epoca 1, RMS = 1.08016
Epoca 2, RMS = 0.90350
Epoca 3, RMS = 0.75892
Epoca 4, RMS = 0.65163
Epoca 5, RMS = 0.57999
Epoca 6, RMS = 0.53589
Epoca 7, RMS = 0.50589
Epoca 8, RMS = 0.48185
Epoca 9, RMS = 0.46240
Epoca 10, RMS = 0.44775
Epoca 11, RMS = 0.43734
Epoca 12, RMS = 0.43013
Epoca 13, RMS = 0.42508
Epoca 14, RMS = 0.42143
Epoca 15, RMS = 0.41868
Epoca 16, RMS = 0.41654
Epoca 17, RMS = 0.41482
Epoca 18, RMS = 0.41341
Epoca 19, RMS = 0.41223
Epoca 20, RMS = 0.41122
Epoca 21, RMS = 0.41035
Epoca 22, RMS = 0.40959
Epoca 23, RMS = 0.40891
Epoca 24, RMS = 0.40830
Epoca 25, RMS = 0.40775
Epoca 26, RMS = 0.40724
Epoca 27, RMS = 0.40678
Epoca 28, RMS = 0.40634
Epoca 29, RMS = 0.40593
Epoca 30, RMS = 0.40555
Epoca 31, RMS = 0.40519
Epoca 32, RMS = 0.40484
Epoca 33, RMS = 0.40451
Epoca 34, RMS = 0.40418
Epoca 35, RMS = 0.40387
Epoca 36, RMS = 0.40357
Epoca 37, RMS = 0.40327
Epoca 38, RMS = 0.40298
Epoca 39, RMS = 0.40269
Epoca 40, RMS = 0.40241
Epoca 41, RMS = 0.40213
Epoca 42, RMS = 0.40185
Epoca 43, RMS = 0.40156
Epoca 44, RMS = 0.40128
Epoca 45, RMS = 0.40100
Epoca 46, RMS = 0.40071
Epoca 47, RMS = 0.40042
Epoca 48, RMS = 0.40013
Epoca 49, RMS = 0.39984
Epoca 50, RMS = 0.39954
Epoca 51, RMS = 0.39923
Epoca 52, RMS = 0.39893
Epoca 53, RMS = 0.39862
Epoca 54, RMS = 0.39830
Epoca 55, RMS = 0.39799
Epoca 56, RMS = 0.39768
Epoca 57, RMS = 0.39737
Epoca 58, RMS = 0.39706
Epoca 59, RMS = 0.39677
Epoca 60, RMS = 0.39649
Epoca 61, RMS = 0.39623
Epoca 62, RMS = 0.39601
