0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 -0.13 
0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 

##################LEARN##################
Epoca 1, RMS = 0.89791
Epoca 2, RMS = 0.74094
Epoca 3, RMS = 0.60976
Epoca 4, RMS = 0.52198
Epoca 5, RMS = 0.47040
Epoca 6, RMS = 0.43950
Epoca 7, RMS = 0.42069
Epoca 8, RMS = 0.41027
Epoca 9, RMS = 0.40505
Epoca 10, RMS = 0.40256
Epoca 11, RMS = 0.40135
Epoca 12, RMS = 0.40074
Epoca 13, RMS = 0.40041
Epoca 14, RMS = 0.40023
Epoca 15, RMS = 0.40014
Epoca 16, RMS = 0.40009
Epoca 17, RMS = 0.40006
Epoca 18, RMS = 0.40001
Epoca 19, RMS = 0.39993
Epoca 20, RMS = 0.39980
Epoca 21, RMS = 0.39962
Epoca 22, RMS = 0.39939
Epoca 23, RMS = 0.39909
Epoca 24, RMS = 0.39874
Epoca 25, RMS = 0.39834
Epoca 26, RMS = 0.39788
Epoca 27, RMS = 0.39737
Epoca 28, RMS = 0.39682
Epoca 29, RMS = 0.39623
Epoca 30, RMS = 0.39559
Epoca 31, RMS = 0.39490
Epoca 32, RMS = 0.39418
Epoca 33, RMS = 0.39342
Epoca 34, RMS = 0.39262
Epoca 35, RMS = 0.39177
Epoca 36, RMS = 0.39089
Epoca 37, RMS = 0.38996
Epoca 38, RMS = 0.38900
Epoca 39, RMS = 0.38799
Epoca 40, RMS = 0.38694
Epoca 41, RMS = 0.38584
Epoca 42, RMS = 0.38472
Epoca 43, RMS = 0.38356
Epoca 44, RMS = 0.38237
Epoca 45, RMS = 0.38117
Epoca 46, RMS = 0.37997
Epoca 47, RMS = 0.37879
Epoca 48, RMS = 0.37765
Epoca 49, RMS = 0.37658
Epoca 50, RMS = 0.37562
Epoca 51, RMS = 0.37481
Epoca 52, RMS = 0.37419
Epoca 53, RMS = 0.37380
Epoca 54, RMS = 0.37366
Epoca 55, RMS = 0.37380
Epoca 56, RMS = 0.37421
Epoca 57, RMS = 0.37487
Epoca 58, RMS = 0.37572
Epoca 59, RMS = 0.37672
Epoca 60, RMS = 0.37780
Epoca 61, RMS = 0.37889
Epoca 62, RMS = 0.37995
Epoca 63, RMS = 0.38094
Epoca 64, RMS = 0.38184
Epoca 65, RMS = 0.38264
Epoca 66, RMS = 0.38333
Epoca 67, RMS = 0.38393
Epoca 68, RMS = 0.38444
Epoca 69, RMS = 0.38487
Epoca 70, RMS = 0.38524
Epoca 71, RMS = 0.38556
Epoca 72, RMS = 0.38583
Epoca 73, RMS = 0.38607
Epoca 74, RMS = 0.38627
Epoca 75, RMS = 0.38646
Epoca 76, RMS = 0.38662
Epoca 77, RMS = 0.38677
Epoca 78, RMS = 0.38690
Epoca 79, RMS = 0.38701
Epoca 80, RMS = 0.38711
Epoca 81, RMS = 0.38719
Epoca 82, RMS = 0.38726
Epoca 83, RMS = 0.38731
Epoca 84, RMS = 0.38734
Epoca 85, RMS = 0.38735
Epoca 86, RMS = 0.38734
Epoca 87, RMS = 0.38730
Epoca 88, RMS = 0.38725
Epoca 89, RMS = 0.38717
Epoca 90, RMS = 0.38706
Epoca 91, RMS = 0.38694
Epoca 92, RMS = 0.38678
Epoca 93, RMS = 0.38661
Epoca 94, RMS = 0.38641
Epoca 95, RMS = 0.38619
Epoca 96, RMS = 0.38595
Epoca 97, RMS = 0.38570
Epoca 98, RMS = 0.38545
Epoca 99, RMS = 0.38519
Epoca 100, RMS = 0.38493
Epoca 101, RMS = 0.38469
Epoca 102, RMS = 0.38447
Epoca 103, RMS = 0.38429
Epoca 104, RMS = 0.38416
Epoca 105, RMS = 0.38407
Epoca 106, RMS = 0.38405
Epoca 107, RMS = 0.38407
Epoca 108, RMS = 0.38414
Epoca 109, RMS = 0.38423
Epoca 110, RMS = 0.38432
Epoca 111, RMS = 0.38438
Epoca 112, RMS = 0.38437
Epoca 113, RMS = 0.38425
Epoca 114, RMS = 0.38402
Epoca 115, RMS = 0.38364
Epoca 116, RMS = 0.38312
Epoca 117, RMS = 0.38246
Epoca 118, RMS = 0.38169
Epoca 119, RMS = 0.38083
Epoca 120, RMS = 0.37990
Epoca 121, RMS = 0.37894
Epoca 122, RMS = 0.37798
Epoca 123, RMS = 0.37703
Epoca 124, RMS = 0.37612
Epoca 125, RMS = 0.37525
Epoca 126, RMS = 0.37443
Epoca 127, RMS = 0.37366
Epoca 128, RMS = 0.37296
Epoca 129, RMS = 0.37230
Epoca 130, RMS = 0.37170
Epoca 131, RMS = 0.37114
Epoca 132, RMS = 0.37063
Epoca 133, RMS = 0.37015
Epoca 134, RMS = 0.36971
Epoca 135, RMS = 0.36929
Epoca 136, RMS = 0.36889
Epoca 137, RMS = 0.36852
Epoca 138, RMS = 0.36817
Epoca 139, RMS = 0.36783
Epoca 140, RMS = 0.36750
Epoca 141, RMS = 0.36719
Epoca 142, RMS = 0.36690
Epoca 143, RMS = 0.36661
Epoca 144, RMS = 0.36633
Epoca 145, RMS = 0.36606
Epoca 146, RMS = 0.36579
Epoca 147, RMS = 0.36553
Epoca 148, RMS = 0.36528
Epoca 149, RMS = 0.36503
Epoca 150, RMS = 0.36479
Epoca 151, RMS = 0.36455
Epoca 152, RMS = 0.36431
Epoca 153, RMS = 0.36408
Epoca 154, RMS = 0.36384
Epoca 155, RMS = 0.36361
Epoca 156, RMS = 0.36338
Epoca 157, RMS = 0.36314
Epoca 158, RMS = 0.36291
Epoca 159, RMS = 0.36267
Epoca 160, RMS = 0.36244
Epoca 161, RMS = 0.36220
Epoca 162, RMS = 0.36196
Epoca 163, RMS = 0.36172
Epoca 164, RMS = 0.36147
Epoca 165, RMS = 0.36123
Epoca 166, RMS = 0.36097
Epoca 167, RMS = 0.36072
Epoca 168, RMS = 0.36046
Epoca 169, RMS = 0.36020
Epoca 170, RMS = 0.35994
Epoca 171, RMS = 0.35967
Epoca 172, RMS = 0.35939
Epoca 173, RMS = 0.35911
Epoca 174, RMS = 0.35883
Epoca 175, RMS = 0.35853
Epoca 176, RMS = 0.35824
Epoca 177, RMS = 0.35793
Epoca 178, RMS = 0.35762
Epoca 179, RMS = 0.35730
Epoca 180, RMS = 0.35698
Epoca 181, RMS = 0.35664
Epoca 182, RMS = 0.35630
Epoca 183, RMS = 0.35595
Epoca 184, RMS = 0.35558
Epoca 185, RMS = 0.35521
Epoca 186, RMS = 0.35482
Epoca 187, RMS = 0.35443
Epoca 188, RMS = 0.35402
