0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 -0.35 -0.13 0.03 -0.19 0.49 
0.49 0.10 -0.35 -0.35 0.21 -0.05 0.17 
0.17 0.24 0.41 0.15 -0.47 0.18 0.13 -0.18 0.19 

##################LEARN##################
Epoca 1, RMS = 1.00273
Epoca 2, RMS = 0.81269
Epoca 3, RMS = 0.63761
Epoca 4, RMS = 0.51789
Epoca 5, RMS = 0.45685
Epoca 6, RMS = 0.43158
Epoca 7, RMS = 0.42192
Epoca 8, RMS = 0.41807
Epoca 9, RMS = 0.41629
Epoca 10, RMS = 0.41530
Epoca 11, RMS = 0.41467
Epoca 12, RMS = 0.41426
Epoca 13, RMS = 0.41399
Epoca 14, RMS = 0.41380
Epoca 15, RMS = 0.41366
Epoca 16, RMS = 0.41354
Epoca 17, RMS = 0.41341
Epoca 18, RMS = 0.41325
Epoca 19, RMS = 0.41307
Epoca 20, RMS = 0.41286
Epoca 21, RMS = 0.41261
Epoca 22, RMS = 0.41234
Epoca 23, RMS = 0.41204
Epoca 24, RMS = 0.41172
Epoca 25, RMS = 0.41137
Epoca 26, RMS = 0.41101
Epoca 27, RMS = 0.41063
Epoca 28, RMS = 0.41024
Epoca 29, RMS = 0.40984
Epoca 30, RMS = 0.40944
Epoca 31, RMS = 0.40902
Epoca 32, RMS = 0.40861
Epoca 33, RMS = 0.40818
Epoca 34, RMS = 0.40776
Epoca 35, RMS = 0.40733
Epoca 36, RMS = 0.40690
Epoca 37, RMS = 0.40646
Epoca 38, RMS = 0.40602
Epoca 39, RMS = 0.40557
Epoca 40, RMS = 0.40512
Epoca 41, RMS = 0.40467
Epoca 42, RMS = 0.40421
Epoca 43, RMS = 0.40374
Epoca 44, RMS = 0.40326
Epoca 45, RMS = 0.40278
Epoca 46, RMS = 0.40228
Epoca 47, RMS = 0.40178
Epoca 48, RMS = 0.40126
Epoca 49, RMS = 0.40074
Epoca 50, RMS = 0.40020
Epoca 51, RMS = 0.39964
Epoca 52, RMS = 0.39908
Epoca 53, RMS = 0.39849
Epoca 54, RMS = 0.39790
Epoca 55, RMS = 0.39729
Epoca 56, RMS = 0.39667
Epoca 57, RMS = 0.39604
Epoca 58, RMS = 0.39540
Epoca 59, RMS = 0.39475
Epoca 60, RMS = 0.39410
Epoca 61, RMS = 0.39345
Epoca 62, RMS = 0.39280
Epoca 63, RMS = 0.39217
Epoca 64, RMS = 0.39156
Epoca 65, RMS = 0.39098
Epoca 66, RMS = 0.39044
Epoca 67, RMS = 0.38996
Epoca 68, RMS = 0.38955
Epoca 69, RMS = 0.38923
Epoca 70, RMS = 0.38901
Epoca 71, RMS = 0.38890
Epoca 72, RMS = 0.38893
Epoca 73, RMS = 0.38911
Epoca 74, RMS = 0.38943
Epoca 75, RMS = 0.38992
Epoca 76, RMS = 0.39057
Epoca 77, RMS = 0.39137
Epoca 78, RMS = 0.39233
Epoca 79, RMS = 0.39343
Epoca 80, RMS = 0.39466
Epoca 81, RMS = 0.39602
Epoca 82, RMS = 0.39750
Epoca 83, RMS = 0.39906
Epoca 84, RMS = 0.40069
Epoca 85, RMS = 0.40235
Epoca 86, RMS = 0.40402
Epoca 87, RMS = 0.40563
Epoca 88, RMS = 0.40716
Epoca 89, RMS = 0.40855
Epoca 90, RMS = 0.40979
Epoca 91, RMS = 0.41084
Epoca 92, RMS = 0.41170
Epoca 93, RMS = 0.41237
Epoca 94, RMS = 0.41286
Epoca 95, RMS = 0.41318
Epoca 96, RMS = 0.41334
Epoca 97, RMS = 0.41337
Epoca 98, RMS = 0.41328
Epoca 99, RMS = 0.41310
Epoca 100, RMS = 0.41283
Epoca 101, RMS = 0.41249
Epoca 102, RMS = 0.41209
Epoca 103, RMS = 0.41165
Epoca 104, RMS = 0.41117
Epoca 105, RMS = 0.41065
Epoca 106, RMS = 0.41011
Epoca 107, RMS = 0.40954
Epoca 108, RMS = 0.40895
Epoca 109, RMS = 0.40834
Epoca 110, RMS = 0.40771
Epoca 111, RMS = 0.40706
Epoca 112, RMS = 0.40639
Epoca 113, RMS = 0.40570
Epoca 114, RMS = 0.40498
Epoca 115, RMS = 0.40424
Epoca 116, RMS = 0.40347
Epoca 117, RMS = 0.40267
Epoca 118, RMS = 0.40183
Epoca 119, RMS = 0.40095
Epoca 120, RMS = 0.40002
Epoca 121, RMS = 0.39903
Epoca 122, RMS = 0.39799
Epoca 123, RMS = 0.39687
Epoca 124, RMS = 0.39568
Epoca 125, RMS = 0.39439
Epoca 126, RMS = 0.39301
Epoca 127, RMS = 0.39152
Epoca 128, RMS = 0.38991
Epoca 129, RMS = 0.38818
Epoca 130, RMS = 0.38633
Epoca 131, RMS = 0.38437
Epoca 132, RMS = 0.38234
Epoca 133, RMS = 0.38033
Epoca 134, RMS = 0.37847
Epoca 135, RMS = 0.37700
Epoca 136, RMS = 0.37624
Epoca 137, RMS = 0.37658
Epoca 138, RMS = 0.37835
Epoca 139, RMS = 0.38159
Epoca 140, RMS = 0.38588
Epoca 141, RMS = 0.39046
Epoca 142, RMS = 0.39457
Epoca 143, RMS = 0.39782
Epoca 144, RMS = 0.40013
Epoca 145, RMS = 0.40166
Epoca 146, RMS = 0.40259
Epoca 147, RMS = 0.40310
Epoca 148, RMS = 0.40329
Epoca 149, RMS = 0.40326
Epoca 150, RMS = 0.40305
Epoca 151, RMS = 0.40270
Epoca 152, RMS = 0.40224
Epoca 153, RMS = 0.40168
Epoca 154, RMS = 0.40105
Epoca 155, RMS = 0.40034
Epoca 156, RMS = 0.39957
Epoca 157, RMS = 0.39874
Epoca 158, RMS = 0.39785
Epoca 159, RMS = 0.39692
Epoca 160, RMS = 0.39593
Epoca 161, RMS = 0.39490
Epoca 162, RMS = 0.39382
Epoca 163, RMS = 0.39270
Epoca 164, RMS = 0.39154
Epoca 165, RMS = 0.39034
Epoca 166, RMS = 0.38910
Epoca 167, RMS = 0.38784
Epoca 168, RMS = 0.38656
Epoca 169, RMS = 0.38526
Epoca 170, RMS = 0.38395
Epoca 171, RMS = 0.38264
Epoca 172, RMS = 0.38135
Epoca 173, RMS = 0.38010
Epoca 174, RMS = 0.37890
Epoca 175, RMS = 0.37778
Epoca 176, RMS = 0.37678
Epoca 177, RMS = 0.37593
Epoca 178, RMS = 0.37527
Epoca 179, RMS = 0.37484
Epoca 180, RMS = 0.37468
Epoca 181, RMS = 0.37479
Epoca 182, RMS = 0.37519
Epoca 183, RMS = 0.37586
Epoca 184, RMS = 0.37673
Epoca 185, RMS = 0.37776
Epoca 186, RMS = 0.37885
Epoca 187, RMS = 0.37994
Epoca 188, RMS = 0.38096
Epoca 189, RMS = 0.38186
Epoca 190, RMS = 0.38261
Epoca 191, RMS = 0.38318
Epoca 192, RMS = 0.38358
Epoca 193, RMS = 0.38381
Epoca 194, RMS = 0.38387
Epoca 195, RMS = 0.38376
Epoca 196, RMS = 0.38351
Epoca 197, RMS = 0.38312
Epoca 198, RMS = 0.38260
Epoca 199, RMS = 0.38196
Epoca 200, RMS = 0.38124
Epoca 201, RMS = 0.38044
Epoca 202, RMS = 0.37962
Epoca 203, RMS = 0.37884
Epoca 204, RMS = 0.37818
Epoca 205, RMS = 0.37777
Epoca 206, RMS = 0.37777
Epoca 207, RMS = 0.37837
Epoca 208, RMS = 0.37977
Epoca 209, RMS = 0.38207
Epoca 210, RMS = 0.38524
Epoca 211, RMS = 0.38900
Epoca 212, RMS = 0.39294
Epoca 213, RMS = 0.39663
Epoca 214, RMS = 0.39981
Epoca 215, RMS = 0.40237
Epoca 216, RMS = 0.40440
Epoca 217, RMS = 0.40599
Epoca 218, RMS = 0.40725
Epoca 219, RMS = 0.40827
Epoca 220, RMS = 0.40908
Epoca 221, RMS = 0.40972
Epoca 222, RMS = 0.41021
Epoca 223, RMS = 0.41054
Epoca 224, RMS = 0.41071
Epoca 225, RMS = 0.41074
Epoca 226, RMS = 0.41061
Epoca 227, RMS = 0.41032
Epoca 228, RMS = 0.40988
Epoca 229, RMS = 0.40929
Epoca 230, RMS = 0.40856
Epoca 231, RMS = 0.40767
Epoca 232, RMS = 0.40665
Epoca 233, RMS = 0.40549
Epoca 234, RMS = 0.40420
Epoca 235, RMS = 0.40277
Epoca 236, RMS = 0.40122
Epoca 237, RMS = 0.39954
Epoca 238, RMS = 0.39772
Epoca 239, RMS = 0.39577
Epoca 240, RMS = 0.39367
Epoca 241, RMS = 0.39142
Epoca 242, RMS = 0.38901
Epoca 243, RMS = 0.38641
Epoca 244, RMS = 0.38363
Epoca 245, RMS = 0.38066
Epoca 246, RMS = 0.37751
Epoca 247, RMS = 0.37420
Epoca 248, RMS = 0.37079
Epoca 249, RMS = 0.36733
Epoca 250, RMS = 0.36393
Epoca 251, RMS = 0.36069
Epoca 252, RMS = 0.35772
Epoca 253, RMS = 0.35514
Epoca 254, RMS = 0.35306
Epoca 255, RMS = 0.35160
Epoca 256, RMS = 0.35085
Epoca 257, RMS = 0.35082
Epoca 258, RMS = 0.35147
Epoca 259, RMS = 0.35266
Epoca 260, RMS = 0.35417
Epoca 261, RMS = 0.35581
Epoca 262, RMS = 0.35741
Epoca 263, RMS = 0.35888
Epoca 264, RMS = 0.36020
Epoca 265, RMS = 0.36141
Epoca 266, RMS = 0.36255
Epoca 267, RMS = 0.36365
Epoca 268, RMS = 0.36476
Epoca 269, RMS = 0.36591
Epoca 270, RMS = 0.36710
Epoca 271, RMS = 0.36833
Epoca 272, RMS = 0.36960
Epoca 273, RMS = 0.37088
Epoca 274, RMS = 0.37214
Epoca 275, RMS = 0.37338
Epoca 276, RMS = 0.37457
Epoca 277, RMS = 0.37569
Epoca 278, RMS = 0.37673
Epoca 279, RMS = 0.37769
Epoca 280, RMS = 0.37856
Epoca 281, RMS = 0.37932
Epoca 282, RMS = 0.37998
Epoca 283, RMS = 0.38052
Epoca 284, RMS = 0.38096
Epoca 285, RMS = 0.38128
Epoca 286, RMS = 0.38148
Epoca 287, RMS = 0.38157
Epoca 288, RMS = 0.38154
Epoca 289, RMS = 0.38141
Epoca 290, RMS = 0.38117
Epoca 291, RMS = 0.38085
Epoca 292, RMS = 0.38045
Epoca 293, RMS = 0.37998
Epoca 294, RMS = 0.37947
Epoca 295, RMS = 0.37894
Epoca 296, RMS = 0.37840
Epoca 297, RMS = 0.37786
Epoca 298, RMS = 0.37736
Epoca 299, RMS = 0.37690
Epoca 300, RMS = 0.37650
Epoca 301, RMS = 0.37615
Epoca 302, RMS = 0.37588
Epoca 303, RMS = 0.37567
Epoca 304, RMS = 0.37552
Epoca 305, RMS = 0.37543
Epoca 306, RMS = 0.37539
Epoca 307, RMS = 0.37540
Epoca 308, RMS = 0.37544
Epoca 309, RMS = 0.37552
Epoca 310, RMS = 0.37561
Epoca 311, RMS = 0.37571
Epoca 312, RMS = 0.37582
Epoca 313, RMS = 0.37593
Epoca 314, RMS = 0.37605
Epoca 315, RMS = 0.37615
Epoca 316, RMS = 0.37625
Epoca 317, RMS = 0.37635
Epoca 318, RMS = 0.37643
Epoca 319, RMS = 0.37651
Epoca 320, RMS = 0.37658
Epoca 321, RMS = 0.37663
Epoca 322, RMS = 0.37669
Epoca 323, RMS = 0.37673
Epoca 324, RMS = 0.37676
Epoca 325, RMS = 0.37678
Epoca 326, RMS = 0.37680
Epoca 327, RMS = 0.37680
Epoca 328, RMS = 0.37679
Epoca 329, RMS = 0.37677
Epoca 330, RMS = 0.37674
Epoca 331, RMS = 0.37669
Epoca 332, RMS = 0.37663
Epoca 333, RMS = 0.37655
Epoca 334, RMS = 0.37645
Epoca 335, RMS = 0.37633
Epoca 336, RMS = 0.37618
Epoca 337, RMS = 0.37601
Epoca 338, RMS = 0.37582
Epoca 339, RMS = 0.37559
Epoca 340, RMS = 0.37533
Epoca 341, RMS = 0.37503
Epoca 342, RMS = 0.37468
Epoca 343, RMS = 0.37430
Epoca 344, RMS = 0.37386
Epoca 345, RMS = 0.37336
Epoca 346, RMS = 0.37281
Epoca 347, RMS = 0.37218
Epoca 348, RMS = 0.37147
Epoca 349, RMS = 0.37068
Epoca 350, RMS = 0.36978
Epoca 351, RMS = 0.36877
Epoca 352, RMS = 0.36764
Epoca 353, RMS = 0.36636
Epoca 354, RMS = 0.36492
Epoca 355, RMS = 0.36329
Epoca 356, RMS = 0.36145
Epoca 357, RMS = 0.35938
Epoca 358, RMS = 0.35706
Epoca 359, RMS = 0.35446
Epoca 360, RMS = 0.35160
Epoca 361, RMS = 0.34849
Epoca 362, RMS = 0.34523
Epoca 363, RMS = 0.34201
Epoca 364, RMS = 0.33915
Epoca 365, RMS = 0.33703
Epoca 366, RMS = 0.33588
Epoca 367, RMS = 0.33542
Epoca 368, RMS = 0.33480
Epoca 369, RMS = 0.33340
Epoca 370, RMS = 0.33146
Epoca 371, RMS = 0.32956
Epoca 372, RMS = 0.32792
Epoca 373, RMS = 0.32625
Epoca 374, RMS = 0.32416
Epoca 375, RMS = 0.32147
Epoca 376, RMS = 0.31832
Epoca 377, RMS = 0.31500
Epoca 378, RMS = 0.31191
Epoca 379, RMS = 0.30933
Epoca 380, RMS = 0.30740
Epoca 381, RMS = 0.30608
Epoca 382, RMS = 0.30517
Epoca 383, RMS = 0.30446
Epoca 384, RMS = 0.30380
Epoca 385, RMS = 0.30319
Epoca 386, RMS = 0.30277
Epoca 387, RMS = 0.30266
Epoca 388, RMS = 0.30294
Epoca 389, RMS = 0.30361
Epoca 390, RMS = 0.30467
Epoca 391, RMS = 0.30608
Epoca 392, RMS = 0.30782
Epoca 393, RMS = 0.30984
Epoca 394, RMS = 0.31205
Epoca 395, RMS = 0.31438
Epoca 396, RMS = 0.31674
Epoca 397, RMS = 0.31907
Epoca 398, RMS = 0.32135
Epoca 399, RMS = 0.32356
Epoca 400, RMS = 0.32568
Epoca 401, RMS = 0.32773
Epoca 402, RMS = 0.32971
Epoca 403, RMS = 0.33160
Epoca 404, RMS = 0.33341
Epoca 405, RMS = 0.33514
Epoca 406, RMS = 0.33677
Epoca 407, RMS = 0.33834
Epoca 408, RMS = 0.33985
Epoca 409, RMS = 0.34132
Epoca 410, RMS = 0.34278
Epoca 411, RMS = 0.34420
Epoca 412, RMS = 0.34560
Epoca 413, RMS = 0.34695
Epoca 414, RMS = 0.34822
Epoca 415, RMS = 0.34942
Epoca 416, RMS = 0.35052
Epoca 417, RMS = 0.35152
Epoca 418, RMS = 0.35241
Epoca 419, RMS = 0.35320
Epoca 420, RMS = 0.35388
Epoca 421, RMS = 0.35446
Epoca 422, RMS = 0.35494
Epoca 423, RMS = 0.35532
Epoca 424, RMS = 0.35560
Epoca 425, RMS = 0.35581
Epoca 426, RMS = 0.35593
Epoca 427, RMS = 0.35599
Epoca 428, RMS = 0.35599
Epoca 429, RMS = 0.35594
Epoca 430, RMS = 0.35585
Epoca 431, RMS = 0.35573
Epoca 432, RMS = 0.35558
Epoca 433, RMS = 0.35540
Epoca 434, RMS = 0.35521
Epoca 435, RMS = 0.35501
Epoca 436, RMS = 0.35480
Epoca 437, RMS = 0.35457
Epoca 438, RMS = 0.35434
Epoca 439, RMS = 0.35411
Epoca 440, RMS = 0.35386
Epoca 441, RMS = 0.35360
Epoca 442, RMS = 0.35333
Epoca 443, RMS = 0.35305
Epoca 444, RMS = 0.35275
Epoca 445, RMS = 0.35244
Epoca 446, RMS = 0.35210
Epoca 447, RMS = 0.35175
Epoca 448, RMS = 0.35138
Epoca 449, RMS = 0.35099
Epoca 450, RMS = 0.35057
Epoca 451, RMS = 0.35014
Epoca 452, RMS = 0.34968
Epoca 453, RMS = 0.34920
Epoca 454, RMS = 0.34870
Epoca 455, RMS = 0.34818
Epoca 456, RMS = 0.34764
Epoca 457, RMS = 0.34709
Epoca 458, RMS = 0.34652
Epoca 459, RMS = 0.34595
Epoca 460, RMS = 0.34537
Epoca 461, RMS = 0.34478
Epoca 462, RMS = 0.34419
Epoca 463, RMS = 0.34361
Epoca 464, RMS = 0.34303
Epoca 465, RMS = 0.34246
Epoca 466, RMS = 0.34190
Epoca 467, RMS = 0.34135
Epoca 468, RMS = 0.34082
