0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 
-0.47 0.18 0.13 -0.18 0.19 -0.39 -0.34 0.11 -0.05 -0.40 

##################LEARN##################
Epoca 1, RMS = 1.20290
Epoca 2, RMS = 0.93280
Epoca 3, RMS = 0.68384
Epoca 4, RMS = 0.53011
Epoca 5, RMS = 0.45923
Epoca 6, RMS = 0.42804
Epoca 7, RMS = 0.41324
Epoca 8, RMS = 0.40687
Epoca 9, RMS = 0.40554
Epoca 10, RMS = 0.40666
Epoca 11, RMS = 0.40839
Epoca 12, RMS = 0.40987
Epoca 13, RMS = 0.41089
Epoca 14, RMS = 0.41151
Epoca 15, RMS = 0.41184
Epoca 16, RMS = 0.41198
Epoca 17, RMS = 0.41198
Epoca 18, RMS = 0.41188
Epoca 19, RMS = 0.41170
Epoca 20, RMS = 0.41148
Epoca 21, RMS = 0.41121
Epoca 22, RMS = 0.41091
Epoca 23, RMS = 0.41058
Epoca 24, RMS = 0.41024
Epoca 25, RMS = 0.40989
Epoca 26, RMS = 0.40952
Epoca 27, RMS = 0.40915
Epoca 28, RMS = 0.40877
Epoca 29, RMS = 0.40839
Epoca 30, RMS = 0.40800
Epoca 31, RMS = 0.40760
Epoca 32, RMS = 0.40720
Epoca 33, RMS = 0.40678
Epoca 34, RMS = 0.40637
Epoca 35, RMS = 0.40594
Epoca 36, RMS = 0.40550
Epoca 37, RMS = 0.40504
Epoca 38, RMS = 0.40458
Epoca 39, RMS = 0.40409
Epoca 40, RMS = 0.40359
Epoca 41, RMS = 0.40307
Epoca 42, RMS = 0.40252
Epoca 43, RMS = 0.40196
Epoca 44, RMS = 0.40136
Epoca 45, RMS = 0.40074
Epoca 46, RMS = 0.40009
Epoca 47, RMS = 0.39941
Epoca 48, RMS = 0.39869
Epoca 49, RMS = 0.39794
Epoca 50, RMS = 0.39715
Epoca 51, RMS = 0.39632
Epoca 52, RMS = 0.39546
