0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 0.41 
-0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 

##################LEARN##################
Epoca 1, RMS = 1.48359
Epoca 2, RMS = 1.17392
Epoca 3, RMS = 0.88450
Epoca 4, RMS = 0.66890
Epoca 5, RMS = 0.54022
Epoca 6, RMS = 0.47393
Epoca 7, RMS = 0.44009
Epoca 8, RMS = 0.42160
Epoca 9, RMS = 0.41067
Epoca 10, RMS = 0.40374
Epoca 11, RMS = 0.39908
Epoca 12, RMS = 0.39579
Epoca 13, RMS = 0.39338
Epoca 14, RMS = 0.39154
Epoca 15, RMS = 0.39010
Epoca 16, RMS = 0.38894
Epoca 17, RMS = 0.38798
Epoca 18, RMS = 0.38717
Epoca 19, RMS = 0.38647
Epoca 20, RMS = 0.38586
Epoca 21, RMS = 0.38532
Epoca 22, RMS = 0.38482
Epoca 23, RMS = 0.38437
Epoca 24, RMS = 0.38396
Epoca 25, RMS = 0.38357
Epoca 26, RMS = 0.38320
Epoca 27, RMS = 0.38285
Epoca 28, RMS = 0.38251
Epoca 29, RMS = 0.38219
Epoca 30, RMS = 0.38187
Epoca 31, RMS = 0.38157
Epoca 32, RMS = 0.38128
Epoca 33, RMS = 0.38099
Epoca 34, RMS = 0.38071
Epoca 35, RMS = 0.38044
Epoca 36, RMS = 0.38017
Epoca 37, RMS = 0.37991
Epoca 38, RMS = 0.37965
Epoca 39, RMS = 0.37940
Epoca 40, RMS = 0.37916
Epoca 41, RMS = 0.37893
Epoca 42, RMS = 0.37871
Epoca 43, RMS = 0.37850
Epoca 44, RMS = 0.37830
Epoca 45, RMS = 0.37811
Epoca 46, RMS = 0.37794
Epoca 47, RMS = 0.37779
Epoca 48, RMS = 0.37766
Epoca 49, RMS = 0.37754
Epoca 50, RMS = 0.37745
Epoca 51, RMS = 0.37738
Epoca 52, RMS = 0.37734
Epoca 53, RMS = 0.37733
Epoca 54, RMS = 0.37735
Epoca 55, RMS = 0.37740
Epoca 56, RMS = 0.37748
Epoca 57, RMS = 0.37759
Epoca 58, RMS = 0.37774
Epoca 59, RMS = 0.37791
Epoca 60, RMS = 0.37811
Epoca 61, RMS = 0.37833
Epoca 62, RMS = 0.37857
Epoca 63, RMS = 0.37883
Epoca 64, RMS = 0.37910
Epoca 65, RMS = 0.37938
Epoca 66, RMS = 0.37965
Epoca 67, RMS = 0.37993
Epoca 68, RMS = 0.38019
Epoca 69, RMS = 0.38044
Epoca 70, RMS = 0.38067
Epoca 71, RMS = 0.38088
Epoca 72, RMS = 0.38106
Epoca 73, RMS = 0.38122
Epoca 74, RMS = 0.38134
Epoca 75, RMS = 0.38144
Epoca 76, RMS = 0.38150
Epoca 77, RMS = 0.38153
Epoca 78, RMS = 0.38154
Epoca 79, RMS = 0.38151
Epoca 80, RMS = 0.38145
Epoca 81, RMS = 0.38136
Epoca 82, RMS = 0.38125
Epoca 83, RMS = 0.38112
Epoca 84, RMS = 0.38096
Epoca 85, RMS = 0.38078
Epoca 86, RMS = 0.38058
Epoca 87, RMS = 0.38037
Epoca 88, RMS = 0.38013
Epoca 89, RMS = 0.37989
Epoca 90, RMS = 0.37963
Epoca 91, RMS = 0.37936
Epoca 92, RMS = 0.37908
Epoca 93, RMS = 0.37880
Epoca 94, RMS = 0.37850
Epoca 95, RMS = 0.37820
Epoca 96, RMS = 0.37790
Epoca 97, RMS = 0.37759
Epoca 98, RMS = 0.37727
Epoca 99, RMS = 0.37696
Epoca 100, RMS = 0.37664
Epoca 101, RMS = 0.37631
Epoca 102, RMS = 0.37599
Epoca 103, RMS = 0.37566
Epoca 104, RMS = 0.37533
Epoca 105, RMS = 0.37500
Epoca 106, RMS = 0.37466
