0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 

##################LEARN##################
Epoca 1, RMS = 0.70001
Epoca 2, RMS = 0.61152
Epoca 3, RMS = 0.52530
Epoca 4, RMS = 0.45333
Epoca 5, RMS = 0.40256
Epoca 6, RMS = 0.37250
Epoca 7, RMS = 0.35724
Epoca 8, RMS = 0.35074
Epoca 9, RMS = 0.34892
Epoca 10, RMS = 0.34939
Epoca 11, RMS = 0.35082
Epoca 12, RMS = 0.35254
Epoca 13, RMS = 0.35424
Epoca 14, RMS = 0.35580
Epoca 15, RMS = 0.35720
Epoca 16, RMS = 0.35842
Epoca 17, RMS = 0.35948
Epoca 18, RMS = 0.36039
Epoca 19, RMS = 0.36117
Epoca 20, RMS = 0.36181
Epoca 21, RMS = 0.36234
Epoca 22, RMS = 0.36277
Epoca 23, RMS = 0.36310
Epoca 24, RMS = 0.36334
Epoca 25, RMS = 0.36349
Epoca 26, RMS = 0.36357
Epoca 27, RMS = 0.36357
Epoca 28, RMS = 0.36351
Epoca 29, RMS = 0.36337
Epoca 30, RMS = 0.36318
Epoca 31, RMS = 0.36292
Epoca 32, RMS = 0.36260
Epoca 33, RMS = 0.36223
Epoca 34, RMS = 0.36179
Epoca 35, RMS = 0.36129
Epoca 36, RMS = 0.36072
Epoca 37, RMS = 0.36010
Epoca 38, RMS = 0.35941
Epoca 39, RMS = 0.35865
Epoca 40, RMS = 0.35782
Epoca 41, RMS = 0.35691
Epoca 42, RMS = 0.35593
Epoca 43, RMS = 0.35488
Epoca 44, RMS = 0.35373
Epoca 45, RMS = 0.35251
Epoca 46, RMS = 0.35119
Epoca 47, RMS = 0.34979
Epoca 48, RMS = 0.34831
Epoca 49, RMS = 0.34674
Epoca 50, RMS = 0.34510
Epoca 51, RMS = 0.34339
Epoca 52, RMS = 0.34165
Epoca 53, RMS = 0.33990
Epoca 54, RMS = 0.33819
Epoca 55, RMS = 0.33656
Epoca 56, RMS = 0.33511
Epoca 57, RMS = 0.33390
Epoca 58, RMS = 0.33303
Epoca 59, RMS = 0.33257
Epoca 60, RMS = 0.33257
Epoca 61, RMS = 0.33304
Epoca 62, RMS = 0.33388
Epoca 63, RMS = 0.33495
Epoca 64, RMS = 0.33606
Epoca 65, RMS = 0.33701
Epoca 66, RMS = 0.33765
Epoca 67, RMS = 0.33790
Epoca 68, RMS = 0.33773
Epoca 69, RMS = 0.33720
Epoca 70, RMS = 0.33637
Epoca 71, RMS = 0.33532
Epoca 72, RMS = 0.33413
Epoca 73, RMS = 0.33286
Epoca 74, RMS = 0.33158
Epoca 75, RMS = 0.33032
Epoca 76, RMS = 0.32912
Epoca 77, RMS = 0.32799
Epoca 78, RMS = 0.32695
Epoca 79, RMS = 0.32600
Epoca 80, RMS = 0.32513
Epoca 81, RMS = 0.32434
Epoca 82, RMS = 0.32361
Epoca 83, RMS = 0.32293
Epoca 84, RMS = 0.32226
Epoca 85, RMS = 0.32160
Epoca 86, RMS = 0.32093
Epoca 87, RMS = 0.32024
Epoca 88, RMS = 0.31951
Epoca 89, RMS = 0.31874
Epoca 90, RMS = 0.31794
Epoca 91, RMS = 0.31709
Epoca 92, RMS = 0.31622
Epoca 93, RMS = 0.31532
Epoca 94, RMS = 0.31439
Epoca 95, RMS = 0.31346
Epoca 96, RMS = 0.31251
Epoca 97, RMS = 0.31155
Epoca 98, RMS = 0.31059
Epoca 99, RMS = 0.30963
Epoca 100, RMS = 0.30866
Epoca 101, RMS = 0.30768
Epoca 102, RMS = 0.30670
Epoca 103, RMS = 0.30571
Epoca 104, RMS = 0.30472
Epoca 105, RMS = 0.30371
Epoca 106, RMS = 0.30269
Epoca 107, RMS = 0.30166
Epoca 108, RMS = 0.30062
Epoca 109, RMS = 0.29957
Epoca 110, RMS = 0.29850
Epoca 111, RMS = 0.29743
Epoca 112, RMS = 0.29635
Epoca 113, RMS = 0.29526
Epoca 114, RMS = 0.29417
Epoca 115, RMS = 0.29306
Epoca 116, RMS = 0.29196
Epoca 117, RMS = 0.29084
Epoca 118, RMS = 0.28972
Epoca 119, RMS = 0.28859
Epoca 120, RMS = 0.28746
Epoca 121, RMS = 0.28631
Epoca 122, RMS = 0.28517
Epoca 123, RMS = 0.28401
Epoca 124, RMS = 0.28285
Epoca 125, RMS = 0.28169
Epoca 126, RMS = 0.28051
Epoca 127, RMS = 0.27933
Epoca 128, RMS = 0.27815
Epoca 129, RMS = 0.27696
Epoca 130, RMS = 0.27576
Epoca 131, RMS = 0.27456
Epoca 132, RMS = 0.27335
Epoca 133, RMS = 0.27213
Epoca 134, RMS = 0.27091
Epoca 135, RMS = 0.26968
Epoca 136, RMS = 0.26844
Epoca 137, RMS = 0.26720
Epoca 138, RMS = 0.26594
Epoca 139, RMS = 0.26468
Epoca 140, RMS = 0.26341
Epoca 141, RMS = 0.26213
Epoca 142, RMS = 0.26084
Epoca 143, RMS = 0.25954
Epoca 144, RMS = 0.25823
Epoca 145, RMS = 0.25691
Epoca 146, RMS = 0.25557
Epoca 147, RMS = 0.25423
Epoca 148, RMS = 0.25287
Epoca 149, RMS = 0.25150
Epoca 150, RMS = 0.25012
Epoca 151, RMS = 0.24872
Epoca 152, RMS = 0.24731
Epoca 153, RMS = 0.24589
Epoca 154, RMS = 0.24446
Epoca 155, RMS = 0.24302
Epoca 156, RMS = 0.24157
Epoca 157, RMS = 0.24012
Epoca 158, RMS = 0.23866
Epoca 159, RMS = 0.23720
Epoca 160, RMS = 0.23573
Epoca 161, RMS = 0.23427
Epoca 162, RMS = 0.23281
Epoca 163, RMS = 0.23136
Epoca 164, RMS = 0.22989
Epoca 165, RMS = 0.22842
Epoca 166, RMS = 0.22692
Epoca 167, RMS = 0.22537
Epoca 168, RMS = 0.22376
Epoca 169, RMS = 0.22205
Epoca 170, RMS = 0.22022
Epoca 171, RMS = 0.21824
Epoca 172, RMS = 0.21610
Epoca 173, RMS = 0.21382
Epoca 174, RMS = 0.21141
Epoca 175, RMS = 0.20892
Epoca 176, RMS = 0.20640
Epoca 177, RMS = 0.20391
Epoca 178, RMS = 0.20151
Epoca 179, RMS = 0.19923
Epoca 180, RMS = 0.19710
