0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 -0.13 
0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 

##################LEARN##################
Epoca 1, RMS = 0.79576
Epoca 2, RMS = 0.64672
Epoca 3, RMS = 0.51825
Epoca 4, RMS = 0.42657
Epoca 5, RMS = 0.37307
Epoca 6, RMS = 0.34853
Epoca 7, RMS = 0.34069
Epoca 8, RMS = 0.34073
Epoca 9, RMS = 0.34369
Epoca 10, RMS = 0.34721
Epoca 11, RMS = 0.35039
Epoca 12, RMS = 0.35302
Epoca 13, RMS = 0.35513
Epoca 14, RMS = 0.35680
Epoca 15, RMS = 0.35810
Epoca 16, RMS = 0.35907
Epoca 17, RMS = 0.35974
Epoca 18, RMS = 0.36015
Epoca 19, RMS = 0.36029
Epoca 20, RMS = 0.36019
Epoca 21, RMS = 0.35986
Epoca 22, RMS = 0.35931
Epoca 23, RMS = 0.35854
Epoca 24, RMS = 0.35757
Epoca 25, RMS = 0.35640
Epoca 26, RMS = 0.35504
Epoca 27, RMS = 0.35349
Epoca 28, RMS = 0.35176
Epoca 29, RMS = 0.34984
Epoca 30, RMS = 0.34775
Epoca 31, RMS = 0.34548
Epoca 32, RMS = 0.34304
Epoca 33, RMS = 0.34047
Epoca 34, RMS = 0.33779
Epoca 35, RMS = 0.33505
Epoca 36, RMS = 0.33235
Epoca 37, RMS = 0.32979
Epoca 38, RMS = 0.32753
Epoca 39, RMS = 0.32574
Epoca 40, RMS = 0.32463
Epoca 41, RMS = 0.32436
Epoca 42, RMS = 0.32497
Epoca 43, RMS = 0.32634
Epoca 44, RMS = 0.32820
Epoca 45, RMS = 0.33014
Epoca 46, RMS = 0.33176
Epoca 47, RMS = 0.33280
Epoca 48, RMS = 0.33319
Epoca 49, RMS = 0.33298
Epoca 50, RMS = 0.33231
Epoca 51, RMS = 0.33132
Epoca 52, RMS = 0.33016
Epoca 53, RMS = 0.32895
Epoca 54, RMS = 0.32776
Epoca 55, RMS = 0.32666
Epoca 56, RMS = 0.32568
Epoca 57, RMS = 0.32485
Epoca 58, RMS = 0.32416
Epoca 59, RMS = 0.32362
Epoca 60, RMS = 0.32319
Epoca 61, RMS = 0.32287
Epoca 62, RMS = 0.32262
Epoca 63, RMS = 0.32241
Epoca 64, RMS = 0.32223
Epoca 65, RMS = 0.32204
Epoca 66, RMS = 0.32183
Epoca 67, RMS = 0.32160
Epoca 68, RMS = 0.32134
Epoca 69, RMS = 0.32104
Epoca 70, RMS = 0.32072
Epoca 71, RMS = 0.32037
Epoca 72, RMS = 0.32000
Epoca 73, RMS = 0.31961
Epoca 74, RMS = 0.31922
Epoca 75, RMS = 0.31882
Epoca 76, RMS = 0.31841
Epoca 77, RMS = 0.31800
Epoca 78, RMS = 0.31759
Epoca 79, RMS = 0.31718
Epoca 80, RMS = 0.31677
Epoca 81, RMS = 0.31636
Epoca 82, RMS = 0.31594
Epoca 83, RMS = 0.31552
Epoca 84, RMS = 0.31509
Epoca 85, RMS = 0.31466
Epoca 86, RMS = 0.31423
Epoca 87, RMS = 0.31379
Epoca 88, RMS = 0.31335
Epoca 89, RMS = 0.31290
Epoca 90, RMS = 0.31245
Epoca 91, RMS = 0.31200
Epoca 92, RMS = 0.31154
Epoca 93, RMS = 0.31107
Epoca 94, RMS = 0.31061
Epoca 95, RMS = 0.31014
Epoca 96, RMS = 0.30966
Epoca 97, RMS = 0.30918
Epoca 98, RMS = 0.30870
Epoca 99, RMS = 0.30822
Epoca 100, RMS = 0.30773
Epoca 101, RMS = 0.30724
Epoca 102, RMS = 0.30674
Epoca 103, RMS = 0.30624
Epoca 104, RMS = 0.30573
Epoca 105, RMS = 0.30522
Epoca 106, RMS = 0.30471
Epoca 107, RMS = 0.30418
Epoca 108, RMS = 0.30366
Epoca 109, RMS = 0.30313
Epoca 110, RMS = 0.30259
Epoca 111, RMS = 0.30204
Epoca 112, RMS = 0.30149
Epoca 113, RMS = 0.30093
