0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 
-0.47 0.18 0.13 -0.18 0.19 -0.39 -0.34 0.11 -0.05 -0.40 

##################LEARN##################
Epoca 1, RMS = 0.99362
Epoca 2, RMS = 0.74089
Epoca 3, RMS = 0.52882
Epoca 4, RMS = 0.42436
Epoca 5, RMS = 0.39236
Epoca 6, RMS = 0.38702
Epoca 7, RMS = 0.38764
Epoca 8, RMS = 0.38829
Epoca 9, RMS = 0.38810
Epoca 10, RMS = 0.38739
Epoca 11, RMS = 0.38651
Epoca 12, RMS = 0.38560
Epoca 13, RMS = 0.38469
Epoca 14, RMS = 0.38375
Epoca 15, RMS = 0.38278
Epoca 16, RMS = 0.38175
Epoca 17, RMS = 0.38066
Epoca 18, RMS = 0.37951
Epoca 19, RMS = 0.37831
Epoca 20, RMS = 0.37706
Epoca 21, RMS = 0.37577
Epoca 22, RMS = 0.37445
Epoca 23, RMS = 0.37311
Epoca 24, RMS = 0.37175
Epoca 25, RMS = 0.37039
Epoca 26, RMS = 0.36903
Epoca 27, RMS = 0.36769
Epoca 28, RMS = 0.36636
Epoca 29, RMS = 0.36506
Epoca 30, RMS = 0.36379
Epoca 31, RMS = 0.36257
Epoca 32, RMS = 0.36140
Epoca 33, RMS = 0.36028
Epoca 34, RMS = 0.35922
Epoca 35, RMS = 0.35823
Epoca 36, RMS = 0.35728
Epoca 37, RMS = 0.35638
Epoca 38, RMS = 0.35551
Epoca 39, RMS = 0.35463
Epoca 40, RMS = 0.35374
Epoca 41, RMS = 0.35279
Epoca 42, RMS = 0.35177
Epoca 43, RMS = 0.35065
Epoca 44, RMS = 0.34940
Epoca 45, RMS = 0.34802
Epoca 46, RMS = 0.34651
Epoca 47, RMS = 0.34488
