-0.17 -0.33 0.30 -0.18 -0.49 -0.31 0.30 -0.47 -0.45 
0.49 
0.42 
0.37 0.03 -0.15 

##################LEARN##################
Epoca 1, RMS = 0.46445
Epoca 2, RMS = 0.45525
Epoca 3, RMS = 0.45526
Epoca 4, RMS = 0.45524
Epoca 5, RMS = 0.45517
Epoca 6, RMS = 0.46410
Epoca 7, RMS = 0.41086
Epoca 8, RMS = 0.17840
Epoca 9, RMS = 0.11200
Epoca 10, RMS = 0.08371
Epoca 11, RMS = 0.07513
Epoca 12, RMS = 0.07059
Epoca 13, RMS = 0.06778
Epoca 14, RMS = 0.06666
Epoca 15, RMS = 0.06612
Epoca 16, RMS = 0.06564
Epoca 17, RMS = 0.06517
Epoca 18, RMS = 0.06488
Epoca 19, RMS = 0.06477
Epoca 20, RMS = 0.06477
Epoca 21, RMS = 0.06482
Epoca 22, RMS = 0.06488
Epoca 23, RMS = 0.06493
Epoca 24, RMS = 0.06496
Epoca 25, RMS = 0.06499
Epoca 26, RMS = 0.06501
Epoca 27, RMS = 0.06503
Epoca 28, RMS = 0.06506
Epoca 29, RMS = 0.06510
Epoca 30, RMS = 0.06514
Epoca 31, RMS = 0.06520
Epoca 32, RMS = 0.06526
Epoca 33, RMS = 0.06533
Epoca 34, RMS = 0.06541
Epoca 35, RMS = 0.06550
Epoca 36, RMS = 0.06560
Epoca 37, RMS = 0.06570
Epoca 38, RMS = 0.06580
Epoca 39, RMS = 0.06591
Epoca 40, RMS = 0.06601
Epoca 41, RMS = 0.06612
Epoca 42, RMS = 0.06623
Epoca 43, RMS = 0.06633
Epoca 44, RMS = 0.06643
Epoca 45, RMS = 0.06652
Epoca 46, RMS = 0.06660
Epoca 47, RMS = 0.06668
Epoca 48, RMS = 0.06675
Epoca 49, RMS = 0.06681
Epoca 50, RMS = 0.06686
Epoca 51, RMS = 0.06690
Epoca 52, RMS = 0.06693
Epoca 53, RMS = 0.06695
Epoca 54, RMS = 0.06696
Epoca 55, RMS = 0.06696
Epoca 56, RMS = 0.06695
Epoca 57, RMS = 0.06694
Epoca 58, RMS = 0.06691
Epoca 59, RMS = 0.06688
Epoca 60, RMS = 0.06684
Epoca 61, RMS = 0.06680
Epoca 62, RMS = 0.06675
Epoca 63, RMS = 0.06669
Epoca 64, RMS = 0.06663
Epoca 65, RMS = 0.06657
Epoca 66, RMS = 0.06651
Epoca 67, RMS = 0.06645
Epoca 68, RMS = 0.06638
Epoca 69, RMS = 0.06632
Epoca 70, RMS = 0.06626
Epoca 71, RMS = 0.06620
Epoca 72, RMS = 0.06615
Epoca 73, RMS = 0.06610
Epoca 74, RMS = 0.06605
Epoca 75, RMS = 0.06601
Epoca 76, RMS = 0.06597
Epoca 77, RMS = 0.06594
Epoca 78, RMS = 0.06592
Epoca 79, RMS = 0.06590
Epoca 80, RMS = 0.06589
Epoca 81, RMS = 0.06589
Epoca 82, RMS = 0.06589
Epoca 83, RMS = 0.06589
Epoca 84, RMS = 0.06591
Epoca 85, RMS = 0.06592
Epoca 86, RMS = 0.06594
Epoca 87, RMS = 0.06597
Epoca 88, RMS = 0.06599
