0.29 0.40 0.41 -0.20 0.25 0.08 0.34 -0.49 -0.24 
-0.29 0.31 0.42 -0.48 0.28 0.11 0.49 0.19 -0.40 
0.48 0.25 
0.09 -0.21 
-0.21 -0.19 -0.30 -0.00 

##################LEARN##################
Epoca 1, RMS = 0.47834
Epoca 2, RMS = 0.46291
Epoca 3, RMS = 0.45877
Epoca 4, RMS = 0.43102
Epoca 5, RMS = 0.16340
Epoca 6, RMS = 0.08827
Epoca 7, RMS = 0.08284
Epoca 8, RMS = 0.07959
Epoca 9, RMS = 0.07523
Epoca 10, RMS = 0.07280
Epoca 11, RMS = 0.07116
Epoca 12, RMS = 0.07145
Epoca 13, RMS = 0.07031
Epoca 14, RMS = 0.06906
Epoca 15, RMS = 0.06799
Epoca 16, RMS = 0.06702
Epoca 17, RMS = 0.06611
Epoca 18, RMS = 0.06527
Epoca 19, RMS = 0.06450
Epoca 20, RMS = 0.06380
Epoca 21, RMS = 0.06318
Epoca 22, RMS = 0.06265
Epoca 23, RMS = 0.06218
Epoca 24, RMS = 0.06179
Epoca 25, RMS = 0.06145
Epoca 26, RMS = 0.06116
Epoca 27, RMS = 0.06091
Epoca 28, RMS = 0.06069
Epoca 29, RMS = 0.06049
Epoca 30, RMS = 0.06031
Epoca 31, RMS = 0.06014
Epoca 32, RMS = 0.05997
Epoca 33, RMS = 0.05982
Epoca 34, RMS = 0.05966
Epoca 35, RMS = 0.05951
Epoca 36, RMS = 0.05936
Epoca 37, RMS = 0.05921
Epoca 38, RMS = 0.05905
Epoca 39, RMS = 0.05890
Epoca 40, RMS = 0.05876
Epoca 41, RMS = 0.05861
Epoca 42, RMS = 0.05849
Epoca 43, RMS = 0.05837
Epoca 44, RMS = 0.05829
Epoca 45, RMS = 0.05823
Epoca 46, RMS = 0.05822
Epoca 47, RMS = 0.05825
Epoca 48, RMS = 0.05834
Epoca 49, RMS = 0.05849
Epoca 50, RMS = 0.05873
Epoca 51, RMS = 0.05904
Epoca 52, RMS = 0.05946
Epoca 53, RMS = 0.05995
Epoca 54, RMS = 0.06022
Epoca 55, RMS = 0.05993
Epoca 56, RMS = 0.05962
Epoca 57, RMS = 0.05937
Epoca 58, RMS = 0.05915
Epoca 59, RMS = 0.05922
Epoca 60, RMS = 0.05896
Epoca 61, RMS = 0.05905
Epoca 62, RMS = 0.05892
Epoca 63, RMS = 0.05891
Epoca 64, RMS = 0.05887
Epoca 65, RMS = 0.05884
Epoca 66, RMS = 0.05882
Epoca 67, RMS = 0.05881
Epoca 68, RMS = 0.05880
Epoca 69, RMS = 0.05880
Epoca 70, RMS = 0.05881
Epoca 71, RMS = 0.05882
Epoca 72, RMS = 0.05883
Epoca 73, RMS = 0.05885
Epoca 74, RMS = 0.05887
Epoca 75, RMS = 0.05890
Epoca 76, RMS = 0.05893
Epoca 77, RMS = 0.05896
Epoca 78, RMS = 0.05900
Epoca 79, RMS = 0.05903
Epoca 80, RMS = 0.05907
Epoca 81, RMS = 0.05911
Epoca 82, RMS = 0.05915
Epoca 83, RMS = 0.05919
Epoca 84, RMS = 0.05923
Epoca 85, RMS = 0.05927
Epoca 86, RMS = 0.05931
Epoca 87, RMS = 0.05936
Epoca 88, RMS = 0.05940
Epoca 89, RMS = 0.05944
Epoca 90, RMS = 0.05948
Epoca 91, RMS = 0.05952
Epoca 92, RMS = 0.05957
Epoca 93, RMS = 0.05961
Epoca 94, RMS = 0.05965
Epoca 95, RMS = 0.05969
Epoca 96, RMS = 0.05973
Epoca 97, RMS = 0.05978
Epoca 98, RMS = 0.05982
Epoca 99, RMS = 0.05986
Epoca 100, RMS = 0.05990
Epoca 101, RMS = 0.05994
Epoca 102, RMS = 0.05998
Epoca 103, RMS = 0.06003
Epoca 104, RMS = 0.06007
Epoca 105, RMS = 0.06011
Epoca 106, RMS = 0.06015
Epoca 107, RMS = 0.06019
Epoca 108, RMS = 0.06023
Epoca 109, RMS = 0.06027
Epoca 110, RMS = 0.06031
Epoca 111, RMS = 0.06035
Epoca 112, RMS = 0.06038
