-0.06 -0.14 0.40 -0.40 -0.15 -0.03 0.21 -0.34 0.49 
-0.26 -0.49 0.40 -0.42 -0.22 0.38 -0.30 0.49 0.19 
-0.11 -0.44 0.06 0.38 0.22 -0.29 0.16 -0.28 0.28 
0.07 -0.34 0.02 
0.25 0.11 0.38 
0.15 0.20 -0.27 -0.38 -0.09 

##################LEARN##################
Epoca 1, RMS = 0.47725
Epoca 2, RMS = 0.46601
Epoca 3, RMS = 0.46585
Epoca 4, RMS = 0.46268
Epoca 5, RMS = 0.47034
Epoca 6, RMS = 0.46266
Epoca 7, RMS = 0.32667
Epoca 8, RMS = 0.12590
Epoca 9, RMS = 0.11052
Epoca 10, RMS = 0.09605
Epoca 11, RMS = 0.08983
Epoca 12, RMS = 0.08622
Epoca 13, RMS = 0.08342
Epoca 14, RMS = 0.08108
Epoca 15, RMS = 0.07905
Epoca 16, RMS = 0.07716
Epoca 17, RMS = 0.07443
Epoca 18, RMS = 0.07209
Epoca 19, RMS = 0.07041
Epoca 20, RMS = 0.06886
Epoca 21, RMS = 0.06403
Epoca 22, RMS = 0.06321
Epoca 23, RMS = 0.06269
Epoca 24, RMS = 0.06230
Epoca 25, RMS = 0.06203
Epoca 26, RMS = 0.06182
Epoca 27, RMS = 0.06165
Epoca 28, RMS = 0.06153
Epoca 29, RMS = 0.06142
Epoca 30, RMS = 0.06133
Epoca 31, RMS = 0.07039
Epoca 32, RMS = 0.08235
Epoca 33, RMS = 0.06003
Epoca 34, RMS = 0.05940
Epoca 35, RMS = 0.05911
Epoca 36, RMS = 0.05890
Epoca 37, RMS = 0.05871
Epoca 38, RMS = 0.05855
Epoca 39, RMS = 0.05847
Epoca 40, RMS = 0.05848
Epoca 41, RMS = 0.05854
Epoca 42, RMS = 0.05864
Epoca 43, RMS = 0.05874
Epoca 44, RMS = 0.05886
Epoca 45, RMS = 0.05899
Epoca 46, RMS = 0.05911
Epoca 47, RMS = 0.05925
Epoca 48, RMS = 0.05957
Epoca 49, RMS = 0.06551
Epoca 50, RMS = 0.06026
Epoca 51, RMS = 0.06426
Epoca 52, RMS = 0.06226
Epoca 53, RMS = 0.06162
Epoca 54, RMS = 0.06346
Epoca 55, RMS = 0.06095
Epoca 56, RMS = 0.06637
Epoca 57, RMS = 0.06121
Epoca 58, RMS = 0.06125
Epoca 59, RMS = 0.06355
Epoca 60, RMS = 0.06220
Epoca 61, RMS = 0.06106
Epoca 62, RMS = 0.06561
Epoca 63, RMS = 0.06363
Epoca 64, RMS = 0.06202
Epoca 65, RMS = 0.06357
Epoca 66, RMS = 0.06194
Epoca 67, RMS = 0.06816
Epoca 68, RMS = 0.06450
Epoca 69, RMS = 0.06332
Epoca 70, RMS = 0.06339
Epoca 71, RMS = 0.06207
Epoca 72, RMS = 0.06112
Epoca 73, RMS = 0.07131
Epoca 74, RMS = 0.06456
Epoca 75, RMS = 0.06375
Epoca 76, RMS = 0.06427
Epoca 77, RMS = 0.06143
Epoca 78, RMS = 0.06961
Epoca 79, RMS = 0.06542
Epoca 80, RMS = 0.06480
Epoca 81, RMS = 0.06373
Epoca 82, RMS = 0.06173
Epoca 83, RMS = 0.06426
Epoca 84, RMS = 0.06601
Epoca 85, RMS = 0.06354
Epoca 86, RMS = 0.06194
Epoca 87, RMS = 0.06089
Epoca 88, RMS = 0.06292
Epoca 89, RMS = 0.06673
Epoca 90, RMS = 0.06334
Epoca 91, RMS = 0.06105
Epoca 92, RMS = 0.06028
Epoca 93, RMS = 0.06820
Epoca 94, RMS = 0.06481
Epoca 95, RMS = 0.06140
Epoca 96, RMS = 0.06012
Epoca 97, RMS = 0.06556
Epoca 98, RMS = 0.06013
Epoca 99, RMS = 0.06108
Epoca 100, RMS = 0.06499
Epoca 101, RMS = 0.05996
Epoca 102, RMS = 0.05985
Epoca 103, RMS = 0.06549
Epoca 104, RMS = 0.06217
Epoca 105, RMS = 0.05971
Epoca 106, RMS = 0.06419
Epoca 107, RMS = 0.06153
Epoca 108, RMS = 0.05952
Epoca 109, RMS = 0.06593
Epoca 110, RMS = 0.06333
Epoca 111, RMS = 0.05882
Epoca 112, RMS = 0.06352
Epoca 113, RMS = 0.06088
Epoca 114, RMS = 0.06121
Epoca 115, RMS = 0.06152
Epoca 116, RMS = 0.05999
