-0.47 -0.11 0.44 0.04 -0.03 0.07 -0.49 -0.29 -0.28 
0.17 -0.44 -0.04 0.37 -0.37 -0.15 -0.26 -0.19 -0.48 
-0.38 0.12 0.27 -0.47 -0.47 0.16 -0.06 0.11 -0.22 
0.48 0.24 -0.07 0.40 0.27 0.32 0.34 -0.18 -0.21 
-0.09 -0.18 0.00 0.13 0.50 0.07 -0.41 0.37 0.20 
-0.06 -0.38 -0.50 -0.04 -0.26 0.12 -0.27 -0.23 0.16 
0.39 0.22 -0.23 -0.33 0.20 -0.49 
0.10 0.10 0.29 -0.09 -0.07 -0.39 
0.21 0.34 -0.07 -0.29 -0.03 -0.07 0.28 0.06 

##################LEARN##################
Epoca 1, RMS = 0.40023
Epoca 2, RMS = 0.12955
Epoca 3, RMS = 0.08545
Epoca 4, RMS = 0.09168
Epoca 5, RMS = 0.09189
Epoca 6, RMS = 0.09257
Epoca 7, RMS = 0.08888
Epoca 8, RMS = 0.08432
Epoca 9, RMS = 0.08656
Epoca 10, RMS = 0.09169
Epoca 11, RMS = 0.08888
Epoca 12, RMS = 0.08141
Epoca 13, RMS = 0.08055
Epoca 14, RMS = 0.08383
Epoca 15, RMS = 0.08502
Epoca 16, RMS = 0.08645
Epoca 17, RMS = 0.08162
Epoca 18, RMS = 0.08150
Epoca 19, RMS = 0.08126
Epoca 20, RMS = 0.07448
Epoca 21, RMS = 0.07815
Epoca 22, RMS = 0.07707
Epoca 23, RMS = 0.07697
Epoca 24, RMS = 0.08559
Epoca 25, RMS = 0.07388
Epoca 26, RMS = 0.07804
Epoca 27, RMS = 0.06951
Epoca 28, RMS = 0.06850
Epoca 29, RMS = 0.07215
Epoca 30, RMS = 0.06592
Epoca 31, RMS = 0.06634
Epoca 32, RMS = 0.06552
Epoca 33, RMS = 0.06647
Epoca 34, RMS = 0.06584
Epoca 35, RMS = 0.06212
Epoca 36, RMS = 0.06594
Epoca 37, RMS = 0.06186
Epoca 38, RMS = 0.06501
Epoca 39, RMS = 0.06159
Epoca 40, RMS = 0.06041
Epoca 41, RMS = 0.06719
Epoca 42, RMS = 0.05959
Epoca 43, RMS = 0.07450
Epoca 44, RMS = 0.06188
Epoca 45, RMS = 0.06864
Epoca 46, RMS = 0.06344
Epoca 47, RMS = 0.07692
Epoca 48, RMS = 0.06790
Epoca 49, RMS = 0.06422
Epoca 50, RMS = 0.06544
Epoca 51, RMS = 0.06177
Epoca 52, RMS = 0.06196
Epoca 53, RMS = 0.05815
Epoca 54, RMS = 0.07145
Epoca 55, RMS = 0.06813
Epoca 56, RMS = 0.07622
Epoca 57, RMS = 0.06460
Epoca 58, RMS = 0.06730
Epoca 59, RMS = 0.05877
Epoca 60, RMS = 0.06366
Epoca 61, RMS = 0.05782
Epoca 62, RMS = 0.06050
Epoca 63, RMS = 0.07261
Epoca 64, RMS = 0.06901
Epoca 65, RMS = 0.06363
Epoca 66, RMS = 0.05755
Epoca 67, RMS = 0.06064
Epoca 68, RMS = 0.06447
Epoca 69, RMS = 0.06913
Epoca 70, RMS = 0.06008
Epoca 71, RMS = 0.06054
Epoca 72, RMS = 0.08152
Epoca 73, RMS = 0.06764
Epoca 74, RMS = 0.06715
Epoca 75, RMS = 0.08151
Epoca 76, RMS = 0.06855
Epoca 77, RMS = 0.06239
Epoca 78, RMS = 0.06011
Epoca 79, RMS = 0.07049
Epoca 80, RMS = 0.06716
Epoca 81, RMS = 0.05852
Epoca 82, RMS = 0.05957
Epoca 83, RMS = 0.06776
Epoca 84, RMS = 0.05973
Epoca 85, RMS = 0.06018
Epoca 86, RMS = 0.05880
Epoca 87, RMS = 0.06436
Epoca 88, RMS = 0.06340
Epoca 89, RMS = 0.05761
Epoca 90, RMS = 0.06381
Epoca 91, RMS = 0.06625
Epoca 92, RMS = 0.05879
Epoca 93, RMS = 0.06135
Epoca 94, RMS = 0.06532
Epoca 95, RMS = 0.05830
Epoca 96, RMS = 0.06200
Epoca 97, RMS = 0.06652
Epoca 98, RMS = 0.05645
Epoca 99, RMS = 0.06079
Epoca 100, RMS = 0.06707
Epoca 101, RMS = 0.06604
Epoca 102, RMS = 0.06219
Epoca 103, RMS = 0.05542
Epoca 104, RMS = 0.06105
Epoca 105, RMS = 0.07257
Epoca 106, RMS = 0.06872
Epoca 107, RMS = 0.06051
Epoca 108, RMS = 0.05572
Epoca 109, RMS = 0.07029
Epoca 110, RMS = 0.06655
Epoca 111, RMS = 0.05870
Epoca 112, RMS = 0.05839
Epoca 113, RMS = 0.06709
Epoca 114, RMS = 0.06132
Epoca 115, RMS = 0.05718
Epoca 116, RMS = 0.06483
Epoca 117, RMS = 0.06563
Epoca 118, RMS = 0.05673
Epoca 119, RMS = 0.06194
Epoca 120, RMS = 0.07004
Epoca 121, RMS = 0.05923
