0.35 -0.07 0.47 0.26 0.38 0.36 0.27 0.30 0.38 
-0.13 -0.48 -0.36 -0.20 0.49 0.19 0.43 0.11 0.32 
-0.01 -0.24 -0.32 0.19 -0.34 0.39 0.22 -0.17 0.25 
0.40 0.13 -0.35 -0.47 -0.02 0.08 0.50 -0.26 -0.04 
0.35 -0.49 -0.24 0.24 -0.12 -0.22 0.37 0.18 -0.23 
0.06 0.11 0.38 -0.12 -0.39 -0.36 0.06 0.30 -0.20 
-0.05 0.01 0.12 -0.30 -0.09 -0.25 -0.16 -0.06 0.23 
0.42 -0.06 0.47 -0.12 -0.21 0.48 0.14 -0.48 -0.14 
0.42 0.39 -0.46 -0.31 -0.04 0.15 -0.43 0.34 
0.26 -0.29 -0.10 0.06 0.01 0.35 -0.43 -0.36 
-0.45 -0.02 -0.11 -0.11 0.42 -0.38 -0.19 -0.14 -0.41 0.20 

##################LEARN##################
Epoca 1, RMS = 0.38156
Epoca 2, RMS = 0.11575
Epoca 3, RMS = 0.09656
Epoca 4, RMS = 0.09723
Epoca 5, RMS = 0.09074
Epoca 6, RMS = 0.10671
Epoca 7, RMS = 0.10265
Epoca 8, RMS = 0.11732
Epoca 9, RMS = 0.09536
Epoca 10, RMS = 0.09904
Epoca 11, RMS = 0.11339
Epoca 12, RMS = 0.07839
Epoca 13, RMS = 0.11914
Epoca 14, RMS = 0.13267
Epoca 15, RMS = 0.08536
Epoca 16, RMS = 0.09989
Epoca 17, RMS = 0.15565
Epoca 18, RMS = 0.10214
Epoca 19, RMS = 0.10325
Epoca 20, RMS = 0.10879
Epoca 21, RMS = 0.09982
Epoca 22, RMS = 0.14048
Epoca 23, RMS = 0.11604
Epoca 24, RMS = 0.08383
Epoca 25, RMS = 0.08613
Epoca 26, RMS = 0.07984
Epoca 27, RMS = 0.09110
Epoca 28, RMS = 0.10229
Epoca 29, RMS = 0.13272
Epoca 30, RMS = 0.12044
Epoca 31, RMS = 0.07456
Epoca 32, RMS = 0.08515
Epoca 33, RMS = 0.07576
Epoca 34, RMS = 0.09030
Epoca 35, RMS = 0.11472
Epoca 36, RMS = 0.09342
Epoca 37, RMS = 0.08529
Epoca 38, RMS = 0.09888
Epoca 39, RMS = 0.16290
Epoca 40, RMS = 0.09675
Epoca 41, RMS = 0.08684
Epoca 42, RMS = 0.08702
Epoca 43, RMS = 0.10734
Epoca 44, RMS = 0.08703
Epoca 45, RMS = 0.07704
Epoca 46, RMS = 0.20798
Epoca 47, RMS = 0.19352
Epoca 48, RMS = 0.13905
Epoca 49, RMS = 0.18603
Epoca 50, RMS = 0.09836
Epoca 51, RMS = 0.25595
Epoca 52, RMS = 0.12038
Epoca 53, RMS = 0.14516
Epoca 54, RMS = 0.23050
Epoca 55, RMS = 0.17638
Epoca 56, RMS = 0.14194
Epoca 57, RMS = 0.10621
Epoca 58, RMS = 0.19771
Epoca 59, RMS = 0.15146
Epoca 60, RMS = 0.14969
Epoca 61, RMS = 0.16347
Epoca 62, RMS = 0.16132
Epoca 63, RMS = 0.10108
Epoca 64, RMS = 0.09940
Epoca 65, RMS = 0.11675
Epoca 66, RMS = 0.10179
Epoca 67, RMS = 0.09470
Epoca 68, RMS = 0.12528
Epoca 69, RMS = 0.12651
