0.49 -0.21 
0.27 
0.48 
-0.21 -0.48 -0.02 

##################LEARN##################
Epoca 1, RMS = 1.26737
Epoca 2, RMS = 1.09451
Epoca 3, RMS = 0.92509
Epoca 4, RMS = 0.78733
Epoca 5, RMS = 0.69253
Epoca 6, RMS = 0.63206
Epoca 7, RMS = 0.59375
Epoca 8, RMS = 0.56903
Epoca 9, RMS = 0.55271
Epoca 10, RMS = 0.54168
Epoca 11, RMS = 0.53407
Epoca 12, RMS = 0.52873
Epoca 13, RMS = 0.52492
Epoca 14, RMS = 0.52217
Epoca 15, RMS = 0.52016
Epoca 16, RMS = 0.51867
Epoca 17, RMS = 0.51756
Epoca 18, RMS = 0.51673
Epoca 19, RMS = 0.51610
Epoca 20, RMS = 0.51562
Epoca 21, RMS = 0.51525
Epoca 22, RMS = 0.51497
Epoca 23, RMS = 0.51475
Epoca 24, RMS = 0.51459
Epoca 25, RMS = 0.51445
Epoca 26, RMS = 0.51435
Epoca 27, RMS = 0.51427
Epoca 28, RMS = 0.51421
Epoca 29, RMS = 0.51416
Epoca 30, RMS = 0.51412
Epoca 31, RMS = 0.51409
Epoca 32, RMS = 0.51407
Epoca 33, RMS = 0.51405
Epoca 34, RMS = 0.51403
Epoca 35, RMS = 0.51402
Epoca 36, RMS = 0.51401
Epoca 37, RMS = 0.51401
Epoca 38, RMS = 0.51400
Epoca 39, RMS = 0.51400
Epoca 40, RMS = 0.51399
Epoca 41, RMS = 0.51399
Epoca 42, RMS = 0.51399
Epoca 43, RMS = 0.51399
Epoca 44, RMS = 0.51399
Epoca 45, RMS = 0.51399
Epoca 46, RMS = 0.51399
Epoca 47, RMS = 0.51399
Epoca 48, RMS = 0.51399
Epoca 49, RMS = 0.51399
Epoca 50, RMS = 0.51399
Epoca 51, RMS = 0.51399
Epoca 52, RMS = 0.51399
Epoca 53, RMS = 0.51400
Epoca 54, RMS = 0.51400
Epoca 55, RMS = 0.51400
Epoca 56, RMS = 0.51400
Epoca 57, RMS = 0.51400
Epoca 58, RMS = 0.51400
Epoca 59, RMS = 0.51400
Epoca 60, RMS = 0.51400
Epoca 61, RMS = 0.51401
Epoca 62, RMS = 0.51401
Epoca 63, RMS = 0.51401
Epoca 64, RMS = 0.51401
Epoca 65, RMS = 0.51401
Epoca 66, RMS = 0.51401
Epoca 67, RMS = 0.51401
Epoca 68, RMS = 0.51401
