0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75485
Epoca 2, RMS = 0.70893
Epoca 3, RMS = 0.67215
Epoca 4, RMS = 0.64292
Epoca 5, RMS = 0.61968
Epoca 6, RMS = 0.60106
Epoca 7, RMS = 0.58597
Epoca 8, RMS = 0.57359
Epoca 9, RMS = 0.56329
Epoca 10, RMS = 0.55464
Epoca 11, RMS = 0.54732
Epoca 12, RMS = 0.54112
Epoca 13, RMS = 0.53589
Epoca 14, RMS = 0.53148
Epoca 15, RMS = 0.52781
Epoca 16, RMS = 0.52477
Epoca 17, RMS = 0.52228
Epoca 18, RMS = 0.52024
Epoca 19, RMS = 0.51859
Epoca 20, RMS = 0.51725
Epoca 21, RMS = 0.51616
Epoca 22, RMS = 0.51528
Epoca 23, RMS = 0.51456
Epoca 24, RMS = 0.51397
Epoca 25, RMS = 0.51350
Epoca 26, RMS = 0.51310
Epoca 27, RMS = 0.51278
Epoca 28, RMS = 0.51253
Epoca 29, RMS = 0.51232
Epoca 30, RMS = 0.51216
Epoca 31, RMS = 0.51204
Epoca 32, RMS = 0.51195
Epoca 33, RMS = 0.51189
Epoca 34, RMS = 0.51186
Epoca 35, RMS = 0.51186
Epoca 36, RMS = 0.51187
Epoca 37, RMS = 0.51191
Epoca 38, RMS = 0.51197
Epoca 39, RMS = 0.51204
Epoca 40, RMS = 0.51213
Epoca 41, RMS = 0.51223
Epoca 42, RMS = 0.51234
Epoca 43, RMS = 0.51246
Epoca 44, RMS = 0.51258
Epoca 45, RMS = 0.51271
Epoca 46, RMS = 0.51284
Epoca 47, RMS = 0.51296
Epoca 48, RMS = 0.51309
Epoca 49, RMS = 0.51320
Epoca 50, RMS = 0.51331
Epoca 51, RMS = 0.51342
Epoca 52, RMS = 0.51351
Epoca 53, RMS = 0.51359
Epoca 54, RMS = 0.51367
Epoca 55, RMS = 0.51373
Epoca 56, RMS = 0.51379
Epoca 57, RMS = 0.51384
Epoca 58, RMS = 0.51387
Epoca 59, RMS = 0.51390
Epoca 60, RMS = 0.51393
Epoca 61, RMS = 0.51395
Epoca 62, RMS = 0.51396
Epoca 63, RMS = 0.51398
Epoca 64, RMS = 0.51398
Epoca 65, RMS = 0.51399
Epoca 66, RMS = 0.51400
Epoca 67, RMS = 0.51400
Epoca 68, RMS = 0.51400
Epoca 69, RMS = 0.51401
Epoca 70, RMS = 0.51401
Epoca 71, RMS = 0.51402
Epoca 72, RMS = 0.51403
Epoca 73, RMS = 0.51404
Epoca 74, RMS = 0.51405
Epoca 75, RMS = 0.51406
Epoca 76, RMS = 0.51407
Epoca 77, RMS = 0.51409
Epoca 78, RMS = 0.51411
