0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 0.41 
-0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 

##################LEARN##################
Epoca 1, RMS = 1.49433
Epoca 2, RMS = 1.21255
Epoca 3, RMS = 0.94824
Epoca 4, RMS = 0.75428
Epoca 5, RMS = 0.63939
Epoca 6, RMS = 0.58081
Epoca 7, RMS = 0.55205
Epoca 8, RMS = 0.53753
Epoca 9, RMS = 0.52995
Epoca 10, RMS = 0.52594
Epoca 11, RMS = 0.52382
Epoca 12, RMS = 0.52273
Epoca 13, RMS = 0.52223
Epoca 14, RMS = 0.52204
Epoca 15, RMS = 0.52203
Epoca 16, RMS = 0.52211
Epoca 17, RMS = 0.52225
Epoca 18, RMS = 0.52240
Epoca 19, RMS = 0.52256
Epoca 20, RMS = 0.52271
Epoca 21, RMS = 0.52287
Epoca 22, RMS = 0.52301
Epoca 23, RMS = 0.52314
Epoca 24, RMS = 0.52327
Epoca 25, RMS = 0.52339
Epoca 26, RMS = 0.52350
Epoca 27, RMS = 0.52360
Epoca 28, RMS = 0.52369
Epoca 29, RMS = 0.52378
Epoca 30, RMS = 0.52386
Epoca 31, RMS = 0.52394
Epoca 32, RMS = 0.52401
Epoca 33, RMS = 0.52407
Epoca 34, RMS = 0.52414
Epoca 35, RMS = 0.52419
Epoca 36, RMS = 0.52424
Epoca 37, RMS = 0.52429
Epoca 38, RMS = 0.52434
Epoca 39, RMS = 0.52438
Epoca 40, RMS = 0.52441
Epoca 41, RMS = 0.52445
Epoca 42, RMS = 0.52448
Epoca 43, RMS = 0.52451
Epoca 44, RMS = 0.52453
Epoca 45, RMS = 0.52456
Epoca 46, RMS = 0.52458
Epoca 47, RMS = 0.52459
Epoca 48, RMS = 0.52461
Epoca 49, RMS = 0.52462
Epoca 50, RMS = 0.52463
Epoca 51, RMS = 0.52464
Epoca 52, RMS = 0.52465
Epoca 53, RMS = 0.52465
Epoca 54, RMS = 0.52465
Epoca 55, RMS = 0.52466
Epoca 56, RMS = 0.52465
Epoca 57, RMS = 0.52465
Epoca 58, RMS = 0.52465
Epoca 59, RMS = 0.52464
Epoca 60, RMS = 0.52463
Epoca 61, RMS = 0.52462
Epoca 62, RMS = 0.52461
Epoca 63, RMS = 0.52459
Epoca 64, RMS = 0.52458
Epoca 65, RMS = 0.52456
Epoca 66, RMS = 0.52454
Epoca 67, RMS = 0.52452
Epoca 68, RMS = 0.52449
Epoca 69, RMS = 0.52447
Epoca 70, RMS = 0.52444
