0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 

##################LEARN##################
Epoca 1, RMS = 0.67753
Epoca 2, RMS = 0.63364
Epoca 3, RMS = 0.59000
Epoca 4, RMS = 0.55460
Epoca 5, RMS = 0.53178
Epoca 6, RMS = 0.52052
Epoca 7, RMS = 0.51653
Epoca 8, RMS = 0.51595
Epoca 9, RMS = 0.51658
Epoca 10, RMS = 0.51746
Epoca 11, RMS = 0.51826
Epoca 12, RMS = 0.51891
Epoca 13, RMS = 0.51943
Epoca 14, RMS = 0.51984
Epoca 15, RMS = 0.52016
Epoca 16, RMS = 0.52039
Epoca 17, RMS = 0.52054
Epoca 18, RMS = 0.52061
Epoca 19, RMS = 0.52060
Epoca 20, RMS = 0.52053
Epoca 21, RMS = 0.52041
Epoca 22, RMS = 0.52027
Epoca 23, RMS = 0.52011
Epoca 24, RMS = 0.51997
Epoca 25, RMS = 0.51984
Epoca 26, RMS = 0.51973
Epoca 27, RMS = 0.51966
Epoca 28, RMS = 0.51961
Epoca 29, RMS = 0.51959
Epoca 30, RMS = 0.51960
Epoca 31, RMS = 0.51963
Epoca 32, RMS = 0.51967
Epoca 33, RMS = 0.51972
Epoca 34, RMS = 0.51977
Epoca 35, RMS = 0.51983
Epoca 36, RMS = 0.51989
Epoca 37, RMS = 0.51994
Epoca 38, RMS = 0.51999
Epoca 39, RMS = 0.52003
Epoca 40, RMS = 0.52007
Epoca 41, RMS = 0.52011
Epoca 42, RMS = 0.52015
Epoca 43, RMS = 0.52018
Epoca 44, RMS = 0.52021
Epoca 45, RMS = 0.52025
Epoca 46, RMS = 0.52028
Epoca 47, RMS = 0.52031
Epoca 48, RMS = 0.52034
Epoca 49, RMS = 0.52038
Epoca 50, RMS = 0.52041
Epoca 51, RMS = 0.52044
Epoca 52, RMS = 0.52047
Epoca 53, RMS = 0.52050
Epoca 54, RMS = 0.52053
Epoca 55, RMS = 0.52056
Epoca 56, RMS = 0.52059
Epoca 57, RMS = 0.52063
Epoca 58, RMS = 0.52066
Epoca 59, RMS = 0.52069
Epoca 60, RMS = 0.52072
Epoca 61, RMS = 0.52076
Epoca 62, RMS = 0.52080
