0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 0.33 -0.47 -0.48 
-0.29 -0.35 -0.13 0.03 -0.19 
0.49 0.49 0.10 -0.35 -0.35 0.21 -0.05 

##################LEARN##################
Epoca 1, RMS = 0.93302
Epoca 2, RMS = 0.82300
Epoca 3, RMS = 0.72754
Epoca 4, RMS = 0.65258
Epoca 5, RMS = 0.59938
Epoca 6, RMS = 0.56482
Epoca 7, RMS = 0.54405
Epoca 8, RMS = 0.53258
Epoca 9, RMS = 0.52689
Epoca 10, RMS = 0.52444
Epoca 11, RMS = 0.52365
Epoca 12, RMS = 0.52361
Epoca 13, RMS = 0.52386
Epoca 14, RMS = 0.52419
Epoca 15, RMS = 0.52449
Epoca 16, RMS = 0.52475
Epoca 17, RMS = 0.52496
Epoca 18, RMS = 0.52513
Epoca 19, RMS = 0.52527
Epoca 20, RMS = 0.52539
Epoca 21, RMS = 0.52551
Epoca 22, RMS = 0.52561
Epoca 23, RMS = 0.52571
Epoca 24, RMS = 0.52581
Epoca 25, RMS = 0.52590
Epoca 26, RMS = 0.52599
Epoca 27, RMS = 0.52609
Epoca 28, RMS = 0.52617
Epoca 29, RMS = 0.52626
Epoca 30, RMS = 0.52634
Epoca 31, RMS = 0.52642
Epoca 32, RMS = 0.52650
Epoca 33, RMS = 0.52657
Epoca 34, RMS = 0.52664
Epoca 35, RMS = 0.52671
Epoca 36, RMS = 0.52677
Epoca 37, RMS = 0.52683
Epoca 38, RMS = 0.52689
Epoca 39, RMS = 0.52695
Epoca 40, RMS = 0.52700
Epoca 41, RMS = 0.52705
Epoca 42, RMS = 0.52710
Epoca 43, RMS = 0.52714
Epoca 44, RMS = 0.52718
Epoca 45, RMS = 0.52722
Epoca 46, RMS = 0.52726
Epoca 47, RMS = 0.52730
Epoca 48, RMS = 0.52733
Epoca 49, RMS = 0.52736
Epoca 50, RMS = 0.52739
Epoca 51, RMS = 0.52741
Epoca 52, RMS = 0.52743
Epoca 53, RMS = 0.52745
Epoca 54, RMS = 0.52747
Epoca 55, RMS = 0.52748
Epoca 56, RMS = 0.52749
Epoca 57, RMS = 0.52750
Epoca 58, RMS = 0.52750
Epoca 59, RMS = 0.52751
Epoca 60, RMS = 0.52751
Epoca 61, RMS = 0.52750
Epoca 62, RMS = 0.52750
Epoca 63, RMS = 0.52749
Epoca 64, RMS = 0.52749
Epoca 65, RMS = 0.52748
Epoca 66, RMS = 0.52746
Epoca 67, RMS = 0.52745
Epoca 68, RMS = 0.52744
Epoca 69, RMS = 0.52742
Epoca 70, RMS = 0.52740
Epoca 71, RMS = 0.52739
Epoca 72, RMS = 0.52737
Epoca 73, RMS = 0.52735
Epoca 74, RMS = 0.52733
Epoca 75, RMS = 0.52731
Epoca 76, RMS = 0.52728
Epoca 77, RMS = 0.52726
Epoca 78, RMS = 0.52724
Epoca 79, RMS = 0.52721
Epoca 80, RMS = 0.52719
Epoca 81, RMS = 0.52716
Epoca 82, RMS = 0.52714
Epoca 83, RMS = 0.52711
Epoca 84, RMS = 0.52709
Epoca 85, RMS = 0.52706
Epoca 86, RMS = 0.52703
Epoca 87, RMS = 0.52700
Epoca 88, RMS = 0.52697
Epoca 89, RMS = 0.52694
Epoca 90, RMS = 0.52691
Epoca 91, RMS = 0.52688
Epoca 92, RMS = 0.52685
Epoca 93, RMS = 0.52682
Epoca 94, RMS = 0.52678
Epoca 95, RMS = 0.52675
Epoca 96, RMS = 0.52671
Epoca 97, RMS = 0.52668
Epoca 98, RMS = 0.52664
Epoca 99, RMS = 0.52660
Epoca 100, RMS = 0.52656
Epoca 101, RMS = 0.52652
Epoca 102, RMS = 0.52647
Epoca 103, RMS = 0.52643
Epoca 104, RMS = 0.52638
Epoca 105, RMS = 0.52634
Epoca 106, RMS = 0.52629
Epoca 107, RMS = 0.52623
Epoca 108, RMS = 0.52618
Epoca 109, RMS = 0.52613
Epoca 110, RMS = 0.52607
Epoca 111, RMS = 0.52601
Epoca 112, RMS = 0.52595
Epoca 113, RMS = 0.52589
Epoca 114, RMS = 0.52583
Epoca 115, RMS = 0.52576
Epoca 116, RMS = 0.52569
Epoca 117, RMS = 0.52562
Epoca 118, RMS = 0.52555
Epoca 119, RMS = 0.52548
Epoca 120, RMS = 0.52540
Epoca 121, RMS = 0.52533
Epoca 122, RMS = 0.52525
Epoca 123, RMS = 0.52518
Epoca 124, RMS = 0.52510
Epoca 125, RMS = 0.52502
Epoca 126, RMS = 0.52495
Epoca 127, RMS = 0.52488
Epoca 128, RMS = 0.52482
Epoca 129, RMS = 0.52476
Epoca 130, RMS = 0.52471
Epoca 131, RMS = 0.52467
Epoca 132, RMS = 0.52464
Epoca 133, RMS = 0.52463
Epoca 134, RMS = 0.52464
Epoca 135, RMS = 0.52468
Epoca 136, RMS = 0.52475
Epoca 137, RMS = 0.52485
Epoca 138, RMS = 0.52498
Epoca 139, RMS = 0.52515
Epoca 140, RMS = 0.52534
Epoca 141, RMS = 0.52554
Epoca 142, RMS = 0.52572
Epoca 143, RMS = 0.52584
Epoca 144, RMS = 0.52587
Epoca 145, RMS = 0.52576
Epoca 146, RMS = 0.52553
Epoca 147, RMS = 0.52517
Epoca 148, RMS = 0.52474
Epoca 149, RMS = 0.52427
Epoca 150, RMS = 0.52378
Epoca 151, RMS = 0.52331
Epoca 152, RMS = 0.52288
Epoca 153, RMS = 0.52251
Epoca 154, RMS = 0.52220
Epoca 155, RMS = 0.52194
Epoca 156, RMS = 0.52175
Epoca 157, RMS = 0.52159
Epoca 158, RMS = 0.52145
Epoca 159, RMS = 0.52133
Epoca 160, RMS = 0.52121
Epoca 161, RMS = 0.52109
Epoca 162, RMS = 0.52095
Epoca 163, RMS = 0.52079
Epoca 164, RMS = 0.52061
Epoca 165, RMS = 0.52041
Epoca 166, RMS = 0.52018
Epoca 167, RMS = 0.51994
Epoca 168, RMS = 0.51971
Epoca 169, RMS = 0.51956
Epoca 170, RMS = 0.51963
Epoca 171, RMS = 0.52018
Epoca 172, RMS = 0.52157
Epoca 173, RMS = 0.52401
Epoca 174, RMS = 0.52705
Epoca 175, RMS = 0.52955
Epoca 176, RMS = 0.53062
Epoca 177, RMS = 0.53027
Epoca 178, RMS = 0.52908
Epoca 179, RMS = 0.52762
Epoca 180, RMS = 0.52623
Epoca 181, RMS = 0.52507
Epoca 182, RMS = 0.52416
Epoca 183, RMS = 0.52349
Epoca 184, RMS = 0.52301
Epoca 185, RMS = 0.52269
Epoca 186, RMS = 0.52249
Epoca 187, RMS = 0.52238
Epoca 188, RMS = 0.52234
Epoca 189, RMS = 0.52235
Epoca 190, RMS = 0.52239
Epoca 191, RMS = 0.52245
Epoca 192, RMS = 0.52251
Epoca 193, RMS = 0.52258
Epoca 194, RMS = 0.52264
Epoca 195, RMS = 0.52267
Epoca 196, RMS = 0.52269
Epoca 197, RMS = 0.52267
Epoca 198, RMS = 0.52262
Epoca 199, RMS = 0.52254
Epoca 200, RMS = 0.52244
Epoca 201, RMS = 0.52230
Epoca 202, RMS = 0.52215
Epoca 203, RMS = 0.52199
Epoca 204, RMS = 0.52182
Epoca 205, RMS = 0.52165
Epoca 206, RMS = 0.52148
Epoca 207, RMS = 0.52132
Epoca 208, RMS = 0.52117
Epoca 209, RMS = 0.52103
Epoca 210, RMS = 0.52090
Epoca 211, RMS = 0.52079
Epoca 212, RMS = 0.52069
Epoca 213, RMS = 0.52060
Epoca 214, RMS = 0.52053
Epoca 215, RMS = 0.52046
Epoca 216, RMS = 0.52040
Epoca 217, RMS = 0.52035
Epoca 218, RMS = 0.52031
Epoca 219, RMS = 0.52027
Epoca 220, RMS = 0.52024
Epoca 221, RMS = 0.52022
Epoca 222, RMS = 0.52020
Epoca 223, RMS = 0.52019
Epoca 224, RMS = 0.52018
Epoca 225, RMS = 0.52018
Epoca 226, RMS = 0.52019
Epoca 227, RMS = 0.52020
Epoca 228, RMS = 0.52022
Epoca 229, RMS = 0.52025
Epoca 230, RMS = 0.52029
Epoca 231, RMS = 0.52033
Epoca 232, RMS = 0.52038
Epoca 233, RMS = 0.52044
Epoca 234, RMS = 0.52051
Epoca 235, RMS = 0.52059
Epoca 236, RMS = 0.52067
Epoca 237, RMS = 0.52076
Epoca 238, RMS = 0.52086
Epoca 239, RMS = 0.52096
Epoca 240, RMS = 0.52107
Epoca 241, RMS = 0.52118
Epoca 242, RMS = 0.52129
Epoca 243, RMS = 0.52139
Epoca 244, RMS = 0.52149
Epoca 245, RMS = 0.52159
Epoca 246, RMS = 0.52167
Epoca 247, RMS = 0.52173
Epoca 248, RMS = 0.52179
Epoca 249, RMS = 0.52182
Epoca 250, RMS = 0.52183
Epoca 251, RMS = 0.52182
Epoca 252, RMS = 0.52179
Epoca 253, RMS = 0.52174
Epoca 254, RMS = 0.52166
Epoca 255, RMS = 0.52155
Epoca 256, RMS = 0.52142
Epoca 257, RMS = 0.52127
Epoca 258, RMS = 0.52109
Epoca 259, RMS = 0.52090
Epoca 260, RMS = 0.52068
Epoca 261, RMS = 0.52045
Epoca 262, RMS = 0.52020
Epoca 263, RMS = 0.51995
Epoca 264, RMS = 0.51969
Epoca 265, RMS = 0.51944
Epoca 266, RMS = 0.51921
Epoca 267, RMS = 0.51902
Epoca 268, RMS = 0.51889
Epoca 269, RMS = 0.51886
Epoca 270, RMS = 0.51895
Epoca 271, RMS = 0.51919
Epoca 272, RMS = 0.51960
Epoca 273, RMS = 0.52018
Epoca 274, RMS = 0.52088
Epoca 275, RMS = 0.52162
Epoca 276, RMS = 0.52229
Epoca 277, RMS = 0.52279
Epoca 278, RMS = 0.52303
Epoca 279, RMS = 0.52302
Epoca 280, RMS = 0.52284
Epoca 281, RMS = 0.52258
Epoca 282, RMS = 0.52234
