0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 -0.13 
0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 

##################LEARN##################
Epoca 1, RMS = 0.89046
Epoca 2, RMS = 0.78005
Epoca 3, RMS = 0.68182
Epoca 4, RMS = 0.60473
Epoca 5, RMS = 0.55412
Epoca 6, RMS = 0.52905
Epoca 7, RMS = 0.52062
Epoca 8, RMS = 0.51975
Epoca 9, RMS = 0.52139
Epoca 10, RMS = 0.52348
Epoca 11, RMS = 0.52531
Epoca 12, RMS = 0.52674
Epoca 13, RMS = 0.52781
Epoca 14, RMS = 0.52863
Epoca 15, RMS = 0.52928
Epoca 16, RMS = 0.52982
Epoca 17, RMS = 0.53031
Epoca 18, RMS = 0.53077
Epoca 19, RMS = 0.53120
Epoca 20, RMS = 0.53163
Epoca 21, RMS = 0.53203
Epoca 22, RMS = 0.53242
Epoca 23, RMS = 0.53279
Epoca 24, RMS = 0.53313
Epoca 25, RMS = 0.53344
Epoca 26, RMS = 0.53373
Epoca 27, RMS = 0.53398
Epoca 28, RMS = 0.53421
Epoca 29, RMS = 0.53441
Epoca 30, RMS = 0.53459
Epoca 31, RMS = 0.53474
Epoca 32, RMS = 0.53486
Epoca 33, RMS = 0.53497
Epoca 34, RMS = 0.53505
Epoca 35, RMS = 0.53512
Epoca 36, RMS = 0.53517
Epoca 37, RMS = 0.53521
Epoca 38, RMS = 0.53523
Epoca 39, RMS = 0.53524
Epoca 40, RMS = 0.53524
Epoca 41, RMS = 0.53523
Epoca 42, RMS = 0.53521
Epoca 43, RMS = 0.53518
Epoca 44, RMS = 0.53515
Epoca 45, RMS = 0.53511
Epoca 46, RMS = 0.53506
Epoca 47, RMS = 0.53501
Epoca 48, RMS = 0.53495
Epoca 49, RMS = 0.53489
Epoca 50, RMS = 0.53482
Epoca 51, RMS = 0.53475
Epoca 52, RMS = 0.53467
Epoca 53, RMS = 0.53460
Epoca 54, RMS = 0.53452
Epoca 55, RMS = 0.53443
Epoca 56, RMS = 0.53434
Epoca 57, RMS = 0.53425
Epoca 58, RMS = 0.53416
Epoca 59, RMS = 0.53406
Epoca 60, RMS = 0.53396
Epoca 61, RMS = 0.53386
Epoca 62, RMS = 0.53375
Epoca 63, RMS = 0.53364
Epoca 64, RMS = 0.53353
Epoca 65, RMS = 0.53341
Epoca 66, RMS = 0.53329
Epoca 67, RMS = 0.53316
Epoca 68, RMS = 0.53304
Epoca 69, RMS = 0.53290
Epoca 70, RMS = 0.53277
Epoca 71, RMS = 0.53262
Epoca 72, RMS = 0.53248
