0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 -0.35 -0.13 0.03 -0.19 0.49 
0.49 0.10 -0.35 -0.35 0.21 -0.05 0.17 
0.17 0.24 0.41 0.15 -0.47 0.18 0.13 -0.18 0.19 

##################LEARN##################
Epoca 1, RMS = 1.11374
Epoca 2, RMS = 0.91211
Epoca 3, RMS = 0.72469
Epoca 4, RMS = 0.60460
Epoca 5, RMS = 0.55008
Epoca 6, RMS = 0.53109
Epoca 7, RMS = 0.52660
Epoca 8, RMS = 0.52720
Epoca 9, RMS = 0.52912
Epoca 10, RMS = 0.53098
Epoca 11, RMS = 0.53236
Epoca 12, RMS = 0.53321
Epoca 13, RMS = 0.53367
Epoca 14, RMS = 0.53388
Epoca 15, RMS = 0.53399
Epoca 16, RMS = 0.53408
Epoca 17, RMS = 0.53422
Epoca 18, RMS = 0.53443
Epoca 19, RMS = 0.53471
Epoca 20, RMS = 0.53503
Epoca 21, RMS = 0.53539
Epoca 22, RMS = 0.53577
Epoca 23, RMS = 0.53614
Epoca 24, RMS = 0.53651
Epoca 25, RMS = 0.53686
Epoca 26, RMS = 0.53719
Epoca 27, RMS = 0.53750
Epoca 28, RMS = 0.53779
Epoca 29, RMS = 0.53806
Epoca 30, RMS = 0.53830
Epoca 31, RMS = 0.53853
Epoca 32, RMS = 0.53874
Epoca 33, RMS = 0.53893
Epoca 34, RMS = 0.53911
Epoca 35, RMS = 0.53927
Epoca 36, RMS = 0.53941
Epoca 37, RMS = 0.53955
Epoca 38, RMS = 0.53967
Epoca 39, RMS = 0.53978
Epoca 40, RMS = 0.53988
Epoca 41, RMS = 0.53998
Epoca 42, RMS = 0.54006
Epoca 43, RMS = 0.54013
Epoca 44, RMS = 0.54019
Epoca 45, RMS = 0.54024
Epoca 46, RMS = 0.54029
Epoca 47, RMS = 0.54032
Epoca 48, RMS = 0.54035
Epoca 49, RMS = 0.54037
Epoca 50, RMS = 0.54039
Epoca 51, RMS = 0.54039
Epoca 52, RMS = 0.54039
Epoca 53, RMS = 0.54038
Epoca 54, RMS = 0.54037
Epoca 55, RMS = 0.54035
Epoca 56, RMS = 0.54032
Epoca 57, RMS = 0.54028
Epoca 58, RMS = 0.54024
Epoca 59, RMS = 0.54019
Epoca 60, RMS = 0.54013
Epoca 61, RMS = 0.54007
Epoca 62, RMS = 0.54000
Epoca 63, RMS = 0.53992
Epoca 64, RMS = 0.53983
Epoca 65, RMS = 0.53974
Epoca 66, RMS = 0.53964
Epoca 67, RMS = 0.53954
Epoca 68, RMS = 0.53943
Epoca 69, RMS = 0.53931
Epoca 70, RMS = 0.53918
Epoca 71, RMS = 0.53904
Epoca 72, RMS = 0.53890
Epoca 73, RMS = 0.53875
Epoca 74, RMS = 0.53860
Epoca 75, RMS = 0.53843
Epoca 76, RMS = 0.53826
Epoca 77, RMS = 0.53808
Epoca 78, RMS = 0.53789
Epoca 79, RMS = 0.53770
Epoca 80, RMS = 0.53749
Epoca 81, RMS = 0.53728
Epoca 82, RMS = 0.53706
Epoca 83, RMS = 0.53684
Epoca 84, RMS = 0.53661
Epoca 85, RMS = 0.53637
Epoca 86, RMS = 0.53612
Epoca 87, RMS = 0.53587
Epoca 88, RMS = 0.53562
Epoca 89, RMS = 0.53536
Epoca 90, RMS = 0.53510
Epoca 91, RMS = 0.53484
Epoca 92, RMS = 0.53458
Epoca 93, RMS = 0.53432
Epoca 94, RMS = 0.53407
Epoca 95, RMS = 0.53383
Epoca 96, RMS = 0.53361
Epoca 97, RMS = 0.53340
Epoca 98, RMS = 0.53321
Epoca 99, RMS = 0.53304
Epoca 100, RMS = 0.53289
Epoca 101, RMS = 0.53276
Epoca 102, RMS = 0.53263
Epoca 103, RMS = 0.53251
Epoca 104, RMS = 0.53235
Epoca 105, RMS = 0.53214
Epoca 106, RMS = 0.53185
Epoca 107, RMS = 0.53144
Epoca 108, RMS = 0.53090
Epoca 109, RMS = 0.53024
Epoca 110, RMS = 0.52948
Epoca 111, RMS = 0.52870
Epoca 112, RMS = 0.52795
Epoca 113, RMS = 0.52731
Epoca 114, RMS = 0.52685
Epoca 115, RMS = 0.52659
Epoca 116, RMS = 0.52655
Epoca 117, RMS = 0.52669
Epoca 118, RMS = 0.52699
Epoca 119, RMS = 0.52742
Epoca 120, RMS = 0.52794
Epoca 121, RMS = 0.52853
Epoca 122, RMS = 0.52918
Epoca 123, RMS = 0.52987
Epoca 124, RMS = 0.53058
Epoca 125, RMS = 0.53128
Epoca 126, RMS = 0.53194
Epoca 127, RMS = 0.53257
Epoca 128, RMS = 0.53313
Epoca 129, RMS = 0.53364
Epoca 130, RMS = 0.53408
Epoca 131, RMS = 0.53446
Epoca 132, RMS = 0.53478
Epoca 133, RMS = 0.53505
Epoca 134, RMS = 0.53527
Epoca 135, RMS = 0.53545
Epoca 136, RMS = 0.53559
Epoca 137, RMS = 0.53568
Epoca 138, RMS = 0.53575
Epoca 139, RMS = 0.53578
Epoca 140, RMS = 0.53579
Epoca 141, RMS = 0.53577
Epoca 142, RMS = 0.53573
Epoca 143, RMS = 0.53567
Epoca 144, RMS = 0.53558
Epoca 145, RMS = 0.53549
Epoca 146, RMS = 0.53537
Epoca 147, RMS = 0.53524
Epoca 148, RMS = 0.53510
Epoca 149, RMS = 0.53494
Epoca 150, RMS = 0.53478
Epoca 151, RMS = 0.53460
Epoca 152, RMS = 0.53441
Epoca 153, RMS = 0.53422
Epoca 154, RMS = 0.53402
Epoca 155, RMS = 0.53382
Epoca 156, RMS = 0.53361
Epoca 157, RMS = 0.53340
Epoca 158, RMS = 0.53319
Epoca 159, RMS = 0.53299
Epoca 160, RMS = 0.53280
