0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 
-0.47 0.18 0.13 -0.18 0.19 -0.39 -0.34 0.11 -0.05 -0.40 

##################LEARN##################
Epoca 1, RMS = 1.13351
Epoca 2, RMS = 0.90704
Epoca 3, RMS = 0.70154
Epoca 4, RMS = 0.58653
Epoca 5, RMS = 0.54547
Epoca 6, RMS = 0.53652
Epoca 7, RMS = 0.53689
Epoca 8, RMS = 0.53869
Epoca 9, RMS = 0.53989
Epoca 10, RMS = 0.54027
Epoca 11, RMS = 0.54009
Epoca 12, RMS = 0.53964
Epoca 13, RMS = 0.53914
Epoca 14, RMS = 0.53871
Epoca 15, RMS = 0.53842
Epoca 16, RMS = 0.53827
Epoca 17, RMS = 0.53824
Epoca 18, RMS = 0.53832
Epoca 19, RMS = 0.53846
Epoca 20, RMS = 0.53865
Epoca 21, RMS = 0.53886
Epoca 22, RMS = 0.53909
Epoca 23, RMS = 0.53932
Epoca 24, RMS = 0.53955
Epoca 25, RMS = 0.53976
Epoca 26, RMS = 0.53997
Epoca 27, RMS = 0.54016
Epoca 28, RMS = 0.54033
Epoca 29, RMS = 0.54049
Epoca 30, RMS = 0.54064
Epoca 31, RMS = 0.54077
Epoca 32, RMS = 0.54089
Epoca 33, RMS = 0.54099
Epoca 34, RMS = 0.54109
Epoca 35, RMS = 0.54116
Epoca 36, RMS = 0.54123
Epoca 37, RMS = 0.54128
Epoca 38, RMS = 0.54132
Epoca 39, RMS = 0.54135
Epoca 40, RMS = 0.54137
Epoca 41, RMS = 0.54138
Epoca 42, RMS = 0.54138
Epoca 43, RMS = 0.54137
Epoca 44, RMS = 0.54135
Epoca 45, RMS = 0.54132
Epoca 46, RMS = 0.54128
Epoca 47, RMS = 0.54123
Epoca 48, RMS = 0.54117
Epoca 49, RMS = 0.54111
Epoca 50, RMS = 0.54103
Epoca 51, RMS = 0.54095
Epoca 52, RMS = 0.54086
Epoca 53, RMS = 0.54077
Epoca 54, RMS = 0.54066
Epoca 55, RMS = 0.54055
Epoca 56, RMS = 0.54044
Epoca 57, RMS = 0.54031
Epoca 58, RMS = 0.54017
Epoca 59, RMS = 0.54003
Epoca 60, RMS = 0.53988
Epoca 61, RMS = 0.53972
Epoca 62, RMS = 0.53955
Epoca 63, RMS = 0.53938
Epoca 64, RMS = 0.53919
Epoca 65, RMS = 0.53899
Epoca 66, RMS = 0.53878
Epoca 67, RMS = 0.53856
Epoca 68, RMS = 0.53833
Epoca 69, RMS = 0.53808
Epoca 70, RMS = 0.53783
Epoca 71, RMS = 0.53757
Epoca 72, RMS = 0.53730
Epoca 73, RMS = 0.53702
Epoca 74, RMS = 0.53674
Epoca 75, RMS = 0.53645
Epoca 76, RMS = 0.53616
Epoca 77, RMS = 0.53587
Epoca 78, RMS = 0.53558
Epoca 79, RMS = 0.53530
Epoca 80, RMS = 0.53502
Epoca 81, RMS = 0.53475
Epoca 82, RMS = 0.53450
Epoca 83, RMS = 0.53425
Epoca 84, RMS = 0.53403
Epoca 85, RMS = 0.53383
Epoca 86, RMS = 0.53365
Epoca 87, RMS = 0.53351
Epoca 88, RMS = 0.53340
Epoca 89, RMS = 0.53333
Epoca 90, RMS = 0.53331
Epoca 91, RMS = 0.53334
Epoca 92, RMS = 0.53343
Epoca 93, RMS = 0.53357
Epoca 94, RMS = 0.53376
Epoca 95, RMS = 0.53400
Epoca 96, RMS = 0.53429
Epoca 97, RMS = 0.53459
Epoca 98, RMS = 0.53491
Epoca 99, RMS = 0.53522
Epoca 100, RMS = 0.53551
Epoca 101, RMS = 0.53577
Epoca 102, RMS = 0.53600
Epoca 103, RMS = 0.53618
Epoca 104, RMS = 0.53633
Epoca 105, RMS = 0.53646
Epoca 106, RMS = 0.53656
Epoca 107, RMS = 0.53665
Epoca 108, RMS = 0.53673
Epoca 109, RMS = 0.53681
Epoca 110, RMS = 0.53689
Epoca 111, RMS = 0.53697
Epoca 112, RMS = 0.53705
Epoca 113, RMS = 0.53713
Epoca 114, RMS = 0.53721
Epoca 115, RMS = 0.53728
Epoca 116, RMS = 0.53736
Epoca 117, RMS = 0.53744
Epoca 118, RMS = 0.53751
Epoca 119, RMS = 0.53758
Epoca 120, RMS = 0.53765
Epoca 121, RMS = 0.53772
Epoca 122, RMS = 0.53778
Epoca 123, RMS = 0.53784
Epoca 124, RMS = 0.53790
