Epoca 1 | RMS 1.57197
Epoca 2 | RMS 1.51438
Epoca 3 | RMS 1.49530
Epoca 4 | RMS 1.47473
Epoca 5 | RMS 1.45312
Epoca 6 | RMS 1.43085
Epoca 7 | RMS 1.40866
Epoca 8 | RMS 1.38742
Epoca 9 | RMS 1.36782
Epoca 10 | RMS 1.35028
Epoca 11 | RMS 1.33495
Epoca 12 | RMS 1.32172
Epoca 13 | RMS 1.31040
Epoca 14 | RMS 1.30073
Epoca 15 | RMS 1.29248
Epoca 16 | RMS 1.28544
Epoca 17 | RMS 1.27942
Epoca 18 | RMS 1.27429
Epoca 19 | RMS 1.26990
Epoca 20 | RMS 1.26615
Epoca 21 | RMS 1.26293
Epoca 22 | RMS 1.26016
Epoca 23 | RMS 1.25777
Epoca 24 | RMS 1.25570
Epoca 25 | RMS 1.25388
Epoca 26 | RMS 1.25227
Epoca 27 | RMS 1.25084
Epoca 28 | RMS 1.24956
Epoca 29 | RMS 1.24840
Epoca 30 | RMS 1.24734
Epoca 31 | RMS 1.24637
Epoca 32 | RMS 1.24546
Epoca 33 | RMS 1.24462
Epoca 34 | RMS 1.24382
Epoca 35 | RMS 1.24307
Epoca 36 | RMS 1.24235
Epoca 37 | RMS 1.24167
Epoca 38 | RMS 1.24102
Epoca 39 | RMS 1.24039
Epoca 40 | RMS 1.23979
Epoca 41 | RMS 1.23921
Epoca 42 | RMS 1.23865
Epoca 43 | RMS 1.23810
Epoca 44 | RMS 1.23758
Epoca 45 | RMS 1.23706
Epoca 46 | RMS 1.23657
Epoca 47 | RMS 1.23609
Epoca 48 | RMS 1.23562
Epoca 49 | RMS 1.23516
Epoca 50 | RMS 1.23472
Epoca 51 | RMS 1.23429
Epoca 52 | RMS 1.23387
Epoca 53 | RMS 1.23346
Epoca 54 | RMS 1.23305
Epoca 55 | RMS 1.23266
Epoca 56 | RMS 1.23228
Epoca 57 | RMS 1.23191
Epoca 58 | RMS 1.23154
Epoca 59 | RMS 1.23118
Epoca 60 | RMS 1.23083
Epoca 61 | RMS 1.23049
Epoca 62 | RMS 1.23016
Epoca 63 | RMS 1.22983
Epoca 64 | RMS 1.22950
Epoca 65 | RMS 1.22918
Epoca 66 | RMS 1.22887
Epoca 67 | RMS 1.22857
Epoca 68 | RMS 1.22827
Epoca 69 | RMS 1.22797
Epoca 70 | RMS 1.22768
Epoca 71 | RMS 1.22739
Epoca 72 | RMS 1.22711
Epoca 73 | RMS 1.22683
Epoca 74 | RMS 1.22655
Epoca 75 | RMS 1.22628
Epoca 76 | RMS 1.22601
Epoca 77 | RMS 1.22575
Epoca 78 | RMS 1.22548
Epoca 79 | RMS 1.22522
Epoca 80 | RMS 1.22497
Epoca 81 | RMS 1.22471
Epoca 82 | RMS 1.22446
Epoca 83 | RMS 1.22421
Epoca 84 | RMS 1.22397
Epoca 85 | RMS 1.22372
Epoca 86 | RMS 1.22348
Epoca 87 | RMS 1.22323
Epoca 88 | RMS 1.22299
Epoca 89 | RMS 1.22276
Epoca 90 | RMS 1.22252
Epoca 91 | RMS 1.22228
Epoca 92 | RMS 1.22205
Epoca 93 | RMS 1.22181
Epoca 94 | RMS 1.22158
Epoca 95 | RMS 1.22135
Epoca 96 | RMS 1.22112
Epoca 97 | RMS 1.22089
Epoca 98 | RMS 1.22066
Epoca 99 | RMS 1.22043
Epoca 100 | RMS 1.22020
Epoca 101 | RMS 1.21997
Epoca 102 | RMS 1.21974
Epoca 103 | RMS 1.21951
Epoca 104 | RMS 1.21928
Epoca 105 | RMS 1.21905
Epoca 106 | RMS 1.21883
Epoca 107 | RMS 1.21860
Epoca 108 | RMS 1.21837
Epoca 109 | RMS 1.21814
Epoca 110 | RMS 1.21791
Epoca 111 | RMS 1.21768
Epoca 112 | RMS 1.21745
Epoca 113 | RMS 1.21721
Epoca 114 | RMS 1.21698
Epoca 115 | RMS 1.21675
Epoca 116 | RMS 1.21651
Epoca 117 | RMS 1.21628
Epoca 118 | RMS 1.21604
Epoca 119 | RMS 1.21580
Epoca 120 | RMS 1.21557
Epoca 121 | RMS 1.21533
Epoca 122 | RMS 1.21508
Epoca 123 | RMS 1.21484
Epoca 124 | RMS 1.21460
Epoca 125 | RMS 1.21435
Epoca 126 | RMS 1.21410
Epoca 127 | RMS 1.21385
Epoca 128 | RMS 1.21360
Epoca 129 | RMS 1.21335
Epoca 130 | RMS 1.21309
Epoca 131 | RMS 1.21284
Epoca 132 | RMS 1.21258
Epoca 133 | RMS 1.21232
Epoca 134 | RMS 1.21205
Epoca 135 | RMS 1.21178
Epoca 136 | RMS 1.21152
Epoca 137 | RMS 1.21125
Epoca 138 | RMS 1.21097
Epoca 139 | RMS 1.21069
Epoca 140 | RMS 1.21041
Epoca 141 | RMS 1.21013
Epoca 142 | RMS 1.20985
Epoca 143 | RMS 1.20956
Epoca 144 | RMS 1.20926
Epoca 145 | RMS 1.20897
Epoca 146 | RMS 1.20867
Epoca 147 | RMS 1.20837
Epoca 148 | RMS 1.20806
Epoca 149 | RMS 1.20775
Epoca 150 | RMS 1.20744
Epoca 151 | RMS 1.20712
Epoca 152 | RMS 1.20680
Epoca 153 | RMS 1.20647
Epoca 154 | RMS 1.20614
Epoca 155 | RMS 1.20581
Epoca 156 | RMS 1.20547
Epoca 157 | RMS 1.20512
Epoca 158 | RMS 1.20477
Epoca 159 | RMS 1.20442
Epoca 160 | RMS 1.20406
Epoca 161 | RMS 1.20370
Epoca 162 | RMS 1.20333
Epoca 163 | RMS 1.20295
Epoca 164 | RMS 1.20257
Epoca 165 | RMS 1.20218
